5E92737C	"Give Me Letters 2, 3 and 6!": Partial Password Implementations and Attacks
3B8A90EE	[On the grain use productivity rising in carp feeding]
319FFE36	Dwarf crucian carp [Carassius carassius L.] population in a forest pond
76D7C44F	Non-PKI methods for public key distribution
7DD9ABFC	Influence of titanium dioxide nanoparticles on speciation and bioavailability of arsenite
0B0A0CAC	Understanding Latency of Koi herpesvirus in Common Carp (Cyprinus carpio L.)
832674AA	Atlas de la agroenergía y los biocombustibles en las Américas. II. Biodiesel.
7710385B	Detecting positively selected codons in the glycoprotein of spring viraemia of carp virus (SVCV) isolates from the USA and China
5C680947	Setting Passwords and File Access
78E60E9E	Peculiarities of Course of the Transamination Reactions in the Carp Organism under the Impact of Organophosphoric Compound in the Aquatic Medium
3CADBCAE	Epidemiology, co-occurrence and microhabitat distribution of gill monogeneans of carp [Cyprinus carpio L.] in the course of winter period
59369F74	Managing security online
72C286E4	Konsumsi Oksigen, Kadar Hb Darah, Dan Pertumbuhan Ikan Mas, Cyprinus carpio, Diberi Pakan Campuran Ampas Kelapa
7D6955CC	Microsoft .Net Passport: a security analysis
6B2B46DF	Infinite alphabet passwords: A unified model for a class of authentication systems
860F6E57	Security Protocols XXII - 22nd International Workshop, Revised Selected Papers
561B283F	Materials for the Study of Variation: INTRODUCTION
1476B159	Immunomodulatory activity of the dimerized lysozyme KLP - 602 after earlier suppression by atrazine in carp (Cyprinus carpio L.)
3C70108F	Comparison between natural and artificial substrates in the reproduction of the carp [Cyprinus carpio L.]
750F4C11	Zn 2+ differentially modulates glycine receptors versus GABA receptors in isolated carp retinal third-order neurons
7978D657	Pleco and Plectron -- Two Provably Secure Password Hashing Algorithms
807CEC5A	Keystroke-based authentication by key press intervals as a complementary behavioral biometric
71B4F41C	저전력 장비에 적합한 효율적인 RSA 기반의 PAKE 프로토콜
7BEF73C4	Tapeworm Khawia sinensis: review of the introduction and subsequent decline of a pathogen of carp, Cyprinus carpio.
14F905BB	Aerontonas hydrophila infection in koi carp and gold fish
5A51DB6A	Effect of Feed Preparation Methods on Dietary Energy Budgets in Carp and Rainbow Trout
7F2FE89B	Some remarks on protecting weak keys and poorly-chosen secrets from guessing attacks
58C66520	Alta disponibilidade em firewall utlizando PFSync e CARP sobre FreeBSD
59703970	Improving payment mechanisms in cash-based safety net programs
7F7CEA2B	Malathion-induced changes in the haematological profile, the immune response, and the oxidative/antioxidant status of Cyprinus carpio carpio : Protective role of propolis
86084578	Hemochemical changes in carp [Cyprinus carpio] exposed to low cadmium concentrations
7934E0F6	A new dynamic user authentication scheme using smart cards for wireless sensor network
7DF6ED3F	A password-authenticated key agreement scheme for ad hoc networks
788B1143	Biochemical and Sensory Characteristics of Whole Carp Inoculated With Autochthonous Starter Cultures
61547341	PERANCANGAN VOICE IDENTIFICATION CARD UNTUK MODEL SISTEM SAFETY BOX
634686BB	Effect van Koi Herpesvirus op Europese en mondiale schaal
397B64BB	Changes in the level of magnesium in organisms of carp Cyprinus carpio L. during intensive growth of fish
76EC5D14	Prolonging Shelf‐Life of Carp by Combined Ionising Radiation and Refrigeration
7A1CA093	The structure, composition and elastic properties of the teleost bulbus arteriosus in the carp, Cyprinus carpio
82D12417	User Identification, Verification, and Authentication: Challenge Question Second-Factor Approach
7C136AAE	Hangul Password System for Preventing Shoulder-Surfing
0518FB41	Statistical analysis of large passwords lists, used to optimize brute force attacks
59C3D4E8	Cryptanalysis of a Multi-Server Password Authenticated Key Agreement Scheme Using Smart Cards
79C5593C	Identification of calconectin, a calcium-binding protein specifically expressed by the mantle of Pinctada margaritifera
75F7F29E	A non-timestamped authorization model for data management systems
0FE8ACAC	Keystroke dynamics analysis for user authentication and account sharing detection
6261884F	Molecular cloning of novel myofibril-bound serine proteinase (MBP) from ordinary muscle of carp Cyprinus carpio
7DE99345	Analyzing Information Flow in JavaScript-Based Browser Extensions
3CC170A2	Proba zastosowania metody immunohistochemicznej do wykrywania antygenu bakteryjnego u ryb
79644A10	Partial oxidative-stress perturbs membrane permeability and fluidity of fish nucleated red blood cells
7D074AB8	Evaluation of the effect of dietary sesamin on white muscle lipid composition of common carp (Cyprinus carpio L.) juveniles
5B936494	Increased Levels of Mitochondrial ATP Synthase .BETA.-Subunit in Fast Skeletal Muscle of Carp Acclimated to Cold Temperature.
1C69A6A1	IOE LibGuides. Getting Started. Media.
7B6DDD3E	Protecting Privacy Credentials from Phishing and Spyware Attacks
347C39DB	Utilization of removable spawning substrate for the reproduction of the carp [Cyprinus carpio L.]
838694F2	Ecosystem management; selected readings.
1BEDB549	IOE LibGuides. Accessing Resources Remotely. Accessing LibQuiz.
1ACFEC32	IOE LibGuides. Getting Started. Moodle.
74387EED	Cryopreservation of carp ( Cyprinus carpio ) blastomeres
80E708AC	Thermal thresholds of lipid restructuring and Delta(9)-desaturase expression in the liver of carp (Cyprinus carpio L.)
7E780C92	Destabilization of CARP mRNAs by aloe‐emodin contributes to caspase‐8‐mediated p53‐independent apoptosis of human carcinoma cells
71E2CD30	Land reform, dispossession and new elites: A case study on coconut plantations in Davao Oriental, Philippines
6AFBDF92	Beyond Password Protection
09C0F616	Recovery Password tool Chrome, Internet Explorer, Mozilla.
5ED44035	Retention and Biotransformation of Arsenic Compounds Administered Intraperitoneally to Carp
7C7463F4	Cloning and analysis of transcripts and genes encoding fish-specific proteins related to PrP
59622AC1	Aplikasi Vaksin Dna Koi Herpes Virus (Khv) Melalui Metode Perendaman Dengan Dosis Yang Berbeda Dalam Upaya Pencegahan Penyakit Pada Ikan Mas (Cyprinus carpio)
7588B668	Minutiae-Based Structures for A Fuzzy Vault
765918C9	Principles for mujltimodal user inteface desgin
3D80EF61	Impact of different levels of rapeseed lecithin in diet on effects of rearing of carp [Cyprinus carpio L.] in cooling water
7B265B27	Password authenticated key exchange protocol for multi-server mobile networks based on Chebyshev chaotic map
0D657E04	Reflection Attack on a Generalized Key Agreement and Password Authentication Protocol(Fundamental Theories)
193BF5F6	"Adderall or Nothing" and "That's My Password" (two films)
10BD6517	Dissolved Oxygen and Sediment Contaminant Considerations in Refurbishment of Defunct Hydropower Sites: A Case Study on the Kalamazoo River, Michigan
098203AD	Análisis de Passwords de PHPBB
0910F36B	Creeping Environmental Problems and Sustainable Development in the Aral Sea Basin: Fish population as an ecosystem component and economic object in the Aral Sea basin
134FEEB7	Getting Started with SSH and PSCP for the Raspberry Pi
5C845407	Security Education: The Challenge beyond the Classroom
5FD6AC85	Fatty Acid Compositions of Biological Membranes from Fast Skeletal Muscle of Carp.
25C562AA	Password Authentication without the Server Public Key(Fundamental Theories for Communications)
7DCE7511	Security of TMN
7958FB7C	Comparações entre famílias de meio irmãos paterno através do fator de condição de Fulton, alométrico e a taxa de crescimento em curimbatá (Prochilodus lineatus)
83AB7A08	Hybrid Authentication Techniques as a Security Measure
3930E389	The Supreme Court in the American Legal System: The U.S. District Courts
78D7CBE8	Changes in Retinal Projections and Ganglion Cell Morphology after Unilateral Enucleation in the Common Carp
57D0C408	Saprolegnia polymorpha sp. nov., a fungal parasite on Koi carp, in the UK
76534B3C	Effect of modified atmosphere and vacuum packaging on selected chemical parameters of rainbow trout (Oncorhynchus mykiss) and carp (Cyprinus carpio) cuts freshness
7048E50A	New technologies, new risks? Innovation and countering the financing of terrorism
846F0FBE	Ley de pesca y acuacultura.
31D72A57	Production of the two-years old carp in ponds supplied with biologically pre-treated municipal sewage
7BE5E823	Evaluation of the toxicological effects of perfluorooctane sulfonic acid in the common carp ( Cyprinus carpio )
7A82A8A3	Smart parking reservation system using short message services (SMS)
76965E53	Effects of adding various oils to the diet on growth, feed conversion and chemical composition of carp (Cyprinus carpio)
5A188860	Gene Expression and Manipulation in Aquatic Organisms: Myosin heavy chain isogene expression in carp
81683B97	터치스크린을 이용한 터치 위치기반 사용자 인증
7917729E	A simple method for collecting 14 CO 2 in fish
80F9F2DF	ID management among clouds
71C1FF2E	Small-scale freshwater fish farming
5D89CC4F	Cryptanalysis of a Variant of Peyravian-Zunic's Password Authentication Scheme (Fundamental Theories)
76663BAC	Revokable and versatile electronic money (extended abstract)
5A3A7AAF	Apresentação do estudo de caso de uma rede de grande porte usando PF com OpenBSD para segurança de perímetro de rede com alta disponibilidade
05104767	Determining and testing the optimal pure-tone frequency for use in acoustic conditioning of free-ranging common carp (Cyprinus carpio)
74F218B2	Laos - Nam Theun 2 Multipurpose Project : nineteenth report of the international environmental and social panel of experts
5C53024E	Sublethal toxicity of esbiothrin relationship with total antioxidant status and in vivo genotoxicity assessment in fish ( Cyprinus carpio L ., 1758) using the micronucleus test and comet assay
0953D79C	Come proteggere un documento Word con la password
7AE766D4	Mode of action of (−)nicotine on GtH2 secretion from pituitary cells of common carp ( Cyprinus carpio L.)
7CD02F04	Modelling self-design of the aquatic community in a newly created freshwater wetland
78817B0E	Effects of monocalcium phosphate supplementation on phosphorus discharge and growth of carp (Caprinus carpio) grower
85C32FA8	Interactive diffie-hellman assumptions with applications to password-based authentication
35419E19	The influence of nutritive lipid sources on the growth and chemical and fatty acid composition of carp (Cyprinus carpio L.)
3669FE3F	Occurrence of agglutinins and precipitins to motile Aeromonas strains in normal serum of common carp [Cyprinus carpio L.] and their role in protection of the fish against these bacteria
5F15CB99	Fish and other animals
3D0B8CEB	Tips for Avoiding Email Scams
80D8D5A9	Carbon sequestration in the bottom sediments of aquaculture ponds of Orissa, India
72BA1002	스도쿠 퍼즐을 이용한 훔쳐보기 방지용 비밀번호 입력 시스템
82EC07B9	The influence of two-year old black carps on the dynamics of molluscs development at pond fish farms of Belarus
58FD4D53	Phishing and spam
15F810EE	ECONOMIC FEASABILITY OF CULTURE OF CONSUMPTION FISH UNDER DIFFERENT FEEDING CONDITIONS
76E91889	Anatomy of compromising email accounts
0753D2FD	USB Key-Based Approach for Virtual Assets Protection
788B4BC8	A user authentication-based probabilistic risk approach for Wireless Sensor Networks
5EA30261	A proposed formula for comparing kill password effectiveness in single password RFID systems
7C22F665	Immunomodulatory effects of alpha melanocyte stimulating hormone on common carp ( Cyprinus carpio L.)
7C155D02	Breaking and repairing a convertible undeniable signature scheme
096DFD93	Come recuperare password Twitter?
76FBDF27	Kierunki rozwoju maszyn od odgławiania ryb karpiowatych
11A19DCE	Influence of methisoprinol on the replication of rhabdoviruses isolated from carp [Cyprinus carpio] and catfish [Ictalurus melas]: in vitro study
7BAB2859	Influences of hot air drying and microwave drying on nutritional and odorous properties of grass carp ( Ctenopharyngodon idellus ) fillets
3973E468	Animals and Temperature: Evolution of endothermy in mammals, birds and their ancestors
751D9817	Influence of the polyphenolic tannic acid on the toxicity of the insecticide deltamethrin to fish. A comparative study examining both biochemical and cytopathological parameters
7698A16A	FEE FISHING AREAS IN ILLINOIS1
176A5A2E	Effects of Probiotic Additive Feedings on Algal Growh Potentials and Fecal Decomposition Rates in Cultured Carp, Cyprinus carpio.
7A4C6226	Mitochondrial proton leak and the uncoupling protein 1 homologues
7698B896	Expression analysis of heat shock genes in the skin, spleen and blood of common carp (Cyprinus carpio) after cadmium exposure and hypothermia.
38C8D72B	The surface topography of the tegument and haptor of the monogenean parasite Eudiplozoon nipponicum [Goto, 1891] from the gills of carp [Cyprinus carpio L.]
5F01AA31	The Improvement of YSYCT Scheme for Imbalanced Wireless Network
7A9F830E	Molecular cloning and functional charactrisation of a cathepsin L-like proteinase from the fish kinetoplastid parasite Trypanosoma carassii
58D8A380	Antivirus for Mac
76D9442E	The occurrence of three species of Trichodina (Ciliophora: Peritrichia) on Cyprinus carpio in relation to culture conditions, seasonality and host characteristics.
5DC1AAC2	Warunki środowiskowe oraz wyniki produkcyjne w ekologicznym oraz konwencjonalnym chowie karpi
80B719F8	Colour improvement of common carp (Cyprinus carpio) fillets by hydrogen peroxide for surimi production
5D0B3E77	STUDIES ON THE NORMAL SYNOVIAL FLUID FROM THE CARPAL JOINTS OF IRANIAN WATER BUFFALOES: PHYSICAL AND BIOCHEMICAL PARAMETERS
7702DD3E	The Web Security Password Authentication based the Single-block Hash Function
7DD99E05	Distribution + persistence = global virtual memory
7F6B72CE	Breaking an improved password authenticated key exchange protocol for imbalanced wireless networks
61EF47F7	A simple three party password based key exchange protocol
5D5D2288	Changes in biogenic amines in fermented silver carp sausages inoculated with mixed starter cultures
7889CD43	Migration patterns of five fish species in the Murray-Darling river system
7679F6B1	The Impact of Nutrient Concentration (N:P) and Manure Type on Fish Polyculture
5C17DEF4	Khawia japonensis (Cestoda: Caryophyllidea): another invasive parasite of carp, Cyprinus carpio L., imported to Europe
0A4E1159	Come saranno le password del futuro?
7867C9BE	New upper bounds for the multi-depot capacitated arc routing problem
802A8ECA	Password generator based on mouse clicks signal and screen cursor position
762EE4DC	Insulin and insulin-like growth factor-I receptors in fish brain
754B8ABC	FRESHWATER FISH CONSERVATION IN SOUTH AFRICA: A RISING TIDE
7A3A5300	Apparent digestibility of tuna oil for common carp, Cyprinus carpio — effect of inclusion level and adaptation time
2E22C139	Effects of electrode placement relative to the cardiac muscle on ECG pattern in carp [Cyprinus carpio L.]
81093882	The effect of zinc on maturational gonadotropin [GtH2] secretion modulated by GABAergic system in common carp [Cyprinus carpio L.]
7591B000	An empirical comparison of throughput-maximizing wireless mesh routing protocols
75D3CBE1	Clinical trials update from the American Heart Association meeting: ACORN‐CSD, primary care trial of chronic disease management, PEACE, CREATE, SHIELD, A‐HeFT, GEMINI, vitamin E meta‐analysis, ESCAPE, CARP, and SCD‐HeFT cost‐effectiveness study
7CB464D9	Primary Productivity of Phytoplankton, Environmental Covariates and Fish Growth in West Bengal Ponds under a Polyculture System
6F13A8D2	Measuring an information security awareness program
840E5D00	Secure and Cost Effective Design for Controlling Electronic Appliances
774CBBF7	CredEx: user-centric credential management for grid and Web services
548B261E	Remembering Password with Kee Pass
216F4C90	MOST FREQUENT CARP (Cyprinus carpio L.) DISEASES IN PONDS FROM 1994. TO 1998
5AD3A911	Latin Alive: The Career of Latin, I
853DF14D	Growing of common carp fingerlings in net cages at different stoking densities
85C40A54	Cultivo de peces en campos de arroz.
048A5B3C	Il modo più facile per resettare la password di WordPress tramite phpMyAdmin
7D75B767	Network security in the Unix environment
5A8C2799	Pest and Vector Control: Environmental/cultural control
1BDF388D	IOE LibGuides. Getting Started. Library.
79A4D668	A Global Look at Authentication
0C5B5776	Modèles acoustiques à structure temporelle renforcée pour la vérification du locuteur embarquée
23F10B29	Security and usability in click-based authentication systems
13432242	CGAP G2P research project : Colombia country report
7AACB3DB	Protection of crucian carp (Carassius auratus Gibelio) against septicaemia caused by Aeromonas hydrophila using specific egg yolk immunoglobulins
786DC0BC	Identification of a common Plasmodium epitope (CPE) recognised by a pan-specific inhibitory monoclonal antibody
74493367	멀티터치 환경에서의 다중 입력을 통한 패스워드 기반의 사용자 인증 기법
38F1C54E	Accumulation of mercury [Hg] in fish tissue in the conditions of laboratory experiment
842E8654	The Presence And Effect Of Endocrine DisruptorsOn Reproductive Organs Of Fish In A ReservoirUsed For Aquiculture
59E1A1A2	Exploiting transgenic tilapia and the tilapia genome
6D10FD51	Growth and metabolism during development of tench [ Tinca tinca [L.] ] embryos and larvae at 22 C
07FF1CCE	Identity Theft on Social Networking Sites: Developing Issues of Internet Impersonation
7CC054C1	Toxic effects of 2,4‐D herbicide on fish
7837C44F	Epithelio‐reticular cell thymoma in carp, Cyprinus carpio L: an ultrastructural study
65E4DDF7	Relationship between Temperature and Pharmacokinetic Parameters of Florfenicol in Carp (Cyprinus carpio)
780711DD	An Efficient and Leakage-Resilient RSA-Based Authenticated Key Exchange Protocol with Tight Security Reduction
16307FB8	Improvement of Password Authenticated Key Exchange Based on RSA for Imbalanced Wireless Networks(Fundamental Theories)
05DA7316	One Time Password Scheme Via Secret Sharing Techniques
793FA71F	An Investigative Study: Health Care Workers as Security Threat Suppliers
78CBEAE7	Autoradiographic localization and binding study of benzodiazepines receptor sites in carp brain ( Cyprinus carpio L.)
7698AC78	Effect of feeding frequency on growth, survival and feed utilization in mrigal, Cirrhinus mrigala , and rohu, Labeo rohita , during nursery rearing
71C001F9	Feed-borne exposure to deoxynivalenol leads to acute and chronic effects on liver enzymes and histology in carp
1D6F9470	IOE LibGuides. Accessing Resources Remotely. Databases.
7E82CA77	An Improved Password-Based Authenticated Key Agreement Scheme for Pervasive Applications
26FDE376	Cryptanalysis of Improvement of Password Authenticated Key Exchange Based on RSA for Imbalanced Wireless Networks(Fundamental Theories for Communications)
8374011A	Silent Summer: Going fishing: recent trends in recreational angling
75BBF79B	Environmental correlate of the testicular events in a major carp Catla catla in an annual reproductive cycle
0AAEED16	最近流行している穴あき病様疾病のコイから分離された非定型 Aeromonas salmonicida の性状
77C29BF9	Estimation of essential fatty acid requirements of common carp larvae using semi‐purified artificial diets
3D7BDABD	Parasites of common carp and three introduced cyprinid fish in pond culture
7AADEF2B	Amino acid transport in the intestinal mucosa of temperature-acclimated carp
8496CEF4	An Innovative Self-assurance Methodology for Challenging AI Problems in graphical passwords
76386CF3	Depletion of high energy phosphates implicates post-exercise mortality in carp and trout; an in vivo 31 P-NMR study
758545E0	Certificate-less user authentication with consent
7989D1D8	Approaches to handling :10Trojan Horse' threats
5A70C045	Adjusting to trade-policy changes in export markets : evidence from U.S. antidumping duties on Vietnamese catfish
7F241C78	Complete EAP Method: User Efficient and Forward Secure Authentication Protocol for IEEE 802.11 Wireless LANs
3BB5CBB7	Levels of selected metals in tissues and organs of 5-month-old-carp [Cyprinus carpio L.]
5D06BA05	New Efficient Password Authenticated Key Exchange Protocol for Imbalanced Wireless Networks
1A701EBD	IOE LibGuides. Accessing Resources Remotely. Computing Access.
7EB00F8F	Providing security framework for holding electronic examinations in virtual universities
80ADDAEE	Computer-access security systems using keystroke dynamics
7B6658E9	comments on “a password authentication scheme based on discrete logarithms“
323E610F	Effect of starvation on nutritive value of carp [Cyprinus carpio L.] and selected biochemical components of its blood
76A7A937	Quantum chemistry based quantitative structure-activity relationships for modeling the (sub)acute toxicity of substituted mononitrobenzenes in aquatic systems
03B7B5DF	Effect of L-cysteine on chilled carp (Cyprinus carpio) semen qualities.
80F02B75	User-identification on Window environment by using the speech
7EF3F42E	Purification of Parvalbumin from Carp: A Protocol that Avoids Heat‐Treatment
305C9663	Effects of commercial feeds on growth and chemical composition of carp [Cyprinus carpio L.] kept in power station cooling water
107132B8	Experimenting with Encryption
12382D16	Economic Espionage and Industrial Spying: Competitiveness and Legal Collection Versus Espionage and Economic Crime
46FC01BA	Biological Control of Aquatic Macrophytes by Herbivorous Carp Part I. Executive Summary
815BCA11	Cardio‐respiratory function in carp exposed to environmental nitrite
8320CF8C	Analisis Gambaran Darah terhadap Kelangsungan Hidup Relatif iiIkan Mas yyang Diberi Vaksin DNA aAnti-KHV melalui Pakan i dengan fFrekuensi Berbeda
4533E08C	The initial estimation of biological quality koi carp's sperm after stimulation of spermation using CPE, hCG and m-GnRH-a after breeding season in the summer
7936EB75	Multi-Level Security for Wireless LAN
7576B9F5	Pyrimidine regulation of the Escherichia coli and Salmonella typhimurium carAB operons: CarP and integration host factor (IHF) modulate the methylation status of a GATC site present in the control region.
775C60AC	Three‐dimensional study on the effect of organophosphate pesticide ‘monocrotophos’ on lens of fish and its recovery
0A7747DF	Credulity towards lecturer’s instructions (password revealing)
635AC2F0	Regulation of Carbohydrate Metabolism in Fish-XXX.Effects of Feed Restriction and Starvation on Fatty Acid Synthesis and Oxidation of Glucose and Alanine in Carp Hepatopancreas.
77B39390	Love and authentication
7FD037D9	Purification and characterization of the eighth and ninth components of carp complement
5AED830E	Efficient RFID authentication protocol for minimizing RFID tag computation
79DEDE58	Effect of high concentration of ammonia nitrogen on morphophysiological parameters of the juvenile carps.
7FA06CA4	Ethical, social, privacy, security and moral issues in an e-society
60864C5A	Pass-pic: A mobile user authentication
7C0C7CE4	Identification of a heparin activated amidolytic enzyme in carp ( Cyprinus carpio ) plasma
79A1483F	Evaluation of digestibility coefficients of some carbohydrate-rich feedstuffs for Indian major carp fingerlings
782860EA	Internal control in local area networks: An accountant's perspective
786EAFE4	CarP, involved in pyrimidine regulation of the escherichia coli carbamoylphosphate synthetase operon encodes a sequence-specific DNA-binding protein identical to XerB and PepA, also Required for Resolution of ColEI Multimers
273F8E64	Novel, robust and cost-effective authentication techniques for online services
767B7E91	The effect of sublethal concentration of Decis 2.5 EC pesticide on learning and memory processes in common carp, Cyprinus carpio (Actinopterygii: Cypriniformes: Cyprinidae)
65ACA846	Thermal Unfolding of the Cold-acclimated Type of Carp Light Meromyosin Expressed by Recombinant DNA in Escherichia coli.
05617D4D	TEKNlK-TEKNIK PENGAMANAN DATA PADA SISTEM JARINGAN KOMPUTER
6DD7198A	Is Secure and Usable Smartphone Authentication Asking Too Much?
7A4447A5	Changes in the Habitat and Fish Community of the Milwaukee River, Wisconsin, Following Removal of the Woolen Mills Dam
48D1953C	Effects of diversified pond carp culture. 3. Chemical composition of the water in ponds with different carp production
650811C4	Molecular cloning of the regulator of G signaling (RGS) protein from the head kidney cells of common carp Cyprinus carpio L.
4A793E44	ELECTRONIC HANDWRITING CHARACTER RECOGNITION (E-HWCR)
7ABE08CD	Ganglion cells of the terminal nerve: morphology and electrophysiology
7DDE8D35	User authentication scheme preserving anonymity for ubiquitous devices
7BDE2F30	A Proposal of an Associating Image-Based Password Creating Method and a Development of a Password Creating Support System
7B5AD799	GnIH and GnRH expressions in the central nervous system and pituitary of Indian major carp, Labeo rohita during ontogeny: An immunocytochemical study
32C9D66D	User authentication using touch positions in a touch-screen interface
59ACA083	PERANCANGAN SISTEM KEAMANAN PETI BESI DIGITAL DENGAN FASILITAS AUTO RESET
7730DC72	The effects of anticoagulants on hematological indices and blood cell morphology of common carp (Cyprinus carpio L.).
3E308011	Traditional Polish cuisine. Freshwater fish dishes
84E4AC7C	Effect of malathion on the protein metabolism in the common carp cyprinus carpio
7E39BBC9	A new fingerprint-based remote user authentication scheme using mobile devices
14B8F53F	Possible involvement of prostaglandin(s) and cAMP, not NO/cGMP, in the mechanism of carp thrombocyte aggregation (Eleventh Pukyong National University: National Fisheries University symposium)
3A384757	Animals: Sharks and some other fishes
248A8F43	Log on/Log off
7CA7A79D	Using Database Management System to Generate, Manage and Secure Personal Identification Numbers (PIN)
7FD7D2F3	SimPass: Quantifying the Impact of Password Behaviours and Policy Directives on an Organisation's Systems
7C55C63D	A non-invasive method to assess the impact of electronic tag insertion on stress levels in fishes
7C3A2182	Effects of dietary phosphorus and calcium contents on the absorption of phosphorus in the digestive tract of carp
79DC501D	Environmental acclimatization of the carp modulates the transcription of β‐actin
14E87A80	長野県佐久地方および近郊の高校生における伝統食材「佐久鯉」の食習慣
5BC5EE0B	Whose Social Network Account? A Trade Secret Approach to Allocating Rights
5C442DE4	コイ臓器への鉛，カドミウム，クロムの蓄積
5A39F4BF	Animals and Temperature: Phenotypic plasticity and evolutionary adaptations of mitochondria to temperature
82C41064	An efficient and novel three-factor user authentication scheme for large-scale heterogeneous wireless sensor networks
754624B6	Multi-touch passwords for mobile device access
78B067E6	Carp farming potential in Barhatta Upazilla, Bangladesh: a GIS methodological perspective
23D99C04	Security Analysis on an Improvement of RSA-Based Password Authenticated Key Exchange(Fundamental Theories for Communications)
7D4BDDD5	BoD taps: an improved back-of-device authentication technique on smartphones
590146AB	Productividad primaria ycrecimiento de Carpas Chinas enestanques rústicos
0EDBB8CC	Mexico - Aquaculture Project : environmental assessment - executive summary
7E7957A5	The matrix method of literature review
7AEFFC67	Analysis of 2,3,7,8-substituted PCDDs, PCDFs, and DL-PCBs in muscle of crucian carp (Carassius auratus and Carassius cuvieri) from major rivers and lakes
7AF32D19	A study of the dynamics of volume changes during the period of active motility in carp, Cyprinus carpio L., spermatozoa
5ADBF853	Toxicology of Aquatic Pollution: Physiological effects of nitrite in teleosts and crustaceans
84716544	A zero knowledge probabilistic login protocol
7DC3A72E	Response of enzyme activities and metabolic intermediate concentrations to epinephrine administration in hepatopancreas and muscle of carp.
79C76B24	The nuclear export signal (NES) found in the amino-terminal region of carp MEK1 and MKK6 is lacking in carp MKK4
794C4F6B	The level and composition of free fatty acids in the plasma of freshwater fish in a post-absorptive condition
21B705F0	The Chicago lock dilemma
780E39A8	Studies on fish heterosis with DNA fingerprinting
7ECE5629	Provably Secure Remote Truly Three-Factor Authentication Scheme With Privacy Protection on Biometrics
8540081F	Toxicity of four botanical insecticides to fingerlings of Nile tilapia and common carp.
7AD63DC3	Authentication and discretionary access control in computer networks
860188FB	The Fifth Amendment, Encryption, and the Forgotten State Interest
3701531E	Behavior of the herbicide metolachlor in carps
33E57EC5	Chemical Ecology of Vertebrates: Intraspecific signals: priming pheromones
13B35109	Distribution of the fungicide hexaconazole in internal organs of carp (Cyprinus carpio L.)
79354142	Mechanism of blood coagulation in common carp (Cyprinus carpio)
7C81EFBC	Localization of extratectally evoked visual response in the corpus and valvula cerebelli in carp, and cerebellar contribution to ‘dorsal light reaction’ behavior
792B39EB	Access control and signatures via quorum secret sharing
768AB1FC	Optimising exclusion screens to control exotic carp in an Australian lowland river
7A094960	Gene duplication and the uniqueness of vertebrate genomes circa 1970–1999
7FEAAB12	Physical properties and energy consumption of the manufacture of extrusion-cooked carp feed enriched with echinacea
78AD639C	The effect of high dose of cortisol on glucose-6-phosphatase and fructose-1,6-bisphosphatase activity, and glucose and fructose-2,6-bisphosphate concentration in carp tissues ( Cyprinus carpio L.)
3D478752	Professor Zbigniew J.Jara - A renaissance man of the third millennium
3D8885D6	jthorpe @ scs.carleton.ca
7FD15BFB	Retina-specific cis-elements and binding nuclear proteins of carp rhodopsin gene
70AEF8A9	Domestication of the carp Cyprinus carpio L.
075D3510	Come ottenere la password di Windows in 5 minuti
82AA551F	IOE LibGuides. Getting Started. UCL Study Places.
81F1B1A4	Infectivity experiments with Cyprinus carpio iridovirus (CCIV), a virus unassociated with carp gill necrosis
80AE3655	Security or cosmetology?
75FC3EAC	Password Security through Negative Filtering
2F5BB565	Sewage sludge in pond aquaculture
7EF32435	Mutual authentication technique using three entities in 3-G mobile communications
85B2AAF5	Cryptanalysis of two provably secure cross-realm C2C-PAKE protocols
6D679356	Some recommendations on building proxy caching service
0348C8C4	Chapter 5 - Return to Home Base
7E751016	Study and Design of Intelligent Authentication System Based on Fingerprint Identification
7A7D0F39	Specular Decomposition of Active Sonar Returns using Combined Waveforms
3B3F83A2	Immune cross reactions in carp [Cyprinus carpio L.] after single or double immunisation with Aeromonas hydrophila and Aeromonas sobria antigens
75F5BBC1	INFLUENCE OF FISH ON HABITAT CHOICE OF WATER BIRDS: A WHOLE SYSTEM EXPERIMENT
799E58CE	Survey on Password Quality and Confidentiality
7855B851	Chemical perception and behavioral response of freshwater fish to 2-methylisoborneol
7999C25F	Function of metallothioneins in carp Cyprinus carpio from two field sites in Western Ukraine.
77F64ADF	Response of carp central nervous system to hyperammonemic conditions: an immunocytochemical study of glutamine synthetase (GS), glial fibrillary acidic protein (GFAP) and 70 kDa heat-shock protein (HSP70)
5FC4CFDD	Analysis of Aircraft Carrier Excess Material Offloaded to CARP Facilities
7E67AC0F	A cross-layer collision-aware routing protocol in wireless sensor networks
74F7B39F	Estate Planning in the Digital Age
8442B9E3	Thermoaclimatory variations in the microenvironment of hemoglobin in the rainbow trout, Salmo gairdneri and the carp, Cyprinus carpio
7C75350C	Ichthyophthirius multifiliis Fouquet (Ciliophora): the location of sites immunogenic to the host Cyprinus carpio (L.)
75D1BAAD	Passwords and interfaces: towards creating stronger passwords by using mobile phone handsets
597A0BA4	Water depth and salinity control of Thecamoebian (testate amoebae) assemblages in Cootes Paradise, Southern Ontario, Canada.
7E284A1A	Effects of different patterns of light adaptation on cellular and synaptic plasticity in teleost retina: comparison of flickering and steady lights
7A363A55	Content of Phospholipids in Mitochondria of Cells of Hepatopancreas and Gills of Carp under the Impact of Zinc and Cadmium
