7F1A1204	7C3A80EF 7D6DB019 791B6623
7E303ABE	7F549BC2 7ECB3CD3 7FB92780
80BF4A83	005C94C5 5C8E1117 60AFC52A
7F761476	07888B73 7AC91C77 7CB4723C 80E32C9B 7E53A5F5 805BD4D8 7E2315C1 807F6E71 7B69376A 7FFA8CC4 77E25E4D 80608C0E 75C1E3AF 813C8139 7CC81A33 80C28507 7D77B93A 7A1EC1CF 7D0055FE 7BC7B7F4 5D292B49 5953A93F 7D8BAAE2 7FB231C7 7D919975
7F30BE25	01713131
7F9E8981	7B06D933
7E6B1405	7E027E78
8025232A	8406EB53 7D2B857C 7C938F9D 7B654685 5D6158FF 7D86DD2F 0214AA20 7B90B941 7D94D28C 797FB1F3 7F3E49EB 80E8E241 5AC2F9F0 067E06D9 7F334780 808AA8D8 8121AEFF
7F0125DC	7F74D633 7C918031 7E6BA382 80587017 71212467
757D3310	7FE1CC81 7A45A929 5B2C5F57
7D775688	7F7E278F 7C91ACF0 7D8AC512 7D5BC959
7E654843	7BF50BA4 762B7E1D 7D9C9D96 79C85BC5 7CDF4816 7CA0FD53 63DA6FAB 7C9CE4CB 7CF1CB37 783660D3 5C9E33AE 7C218316 7C14F673 77E512E3 7DE97F3F 7E01F683 78044FB6 791C9E4D 7F05E6EF 7653FCFF 7DFE09B6
7F677E5B	8133D33D 7E75274B 62A1FA0E 80497F66 5F1B4E64 7FE50157 7F02988D 7A1E5E5A 7E265F92 81A6DCDA 81175972 7F88D262 75C1E3AF 80150832 8158F793
8120CB49	7FAD32B4 7D9E95D6 7E78B520 7E9D0EAC
7ECD279C	8167C059 7AA37423 7DF19124 7DE5804D 7D65AF83
7E456CA1	7C94F063 7D04C5A9 7ED23DE7 06830E1B 7B786D03 7F1B9F39 802B7818 7BAE2F12 7EFEFEE3 7E2AFBD5 7E6CD3E3 8132B410 7730CCEB 7FD1F9F5 0F180613 74968419 7C814E65 7B5FEB41 7AB60FD9 80D263C2 5EDDFF61 7C5A34A2 7F87627C 0B6E7E46 79B30C42 7CA13CB5 5837DABE 7A3C1843 8128EF11 70950317 6E63A813 7DB83997 7DC765FF 7E8C84C9 78091DD2
7F226EA0	7DEF9DEA 80C20C13 835CE704 004B0D61 7837FBBC 85EA8612 7D0E4C50 021E5E0F 5D0E9A4F 77351131 7E0BAA99 79D6BE25 7C2CDD8A 7EA7EA03 60EF8F6E 7F3D6852 5A731121 7C543BBF 7E2F39D3 7C48D177 08D0A281 7875D825 76CF6BAB 7B3C528B 80400648 5C6BD4DD 5DF1E30E 7D4C20B6 7E98271A
7D2C8DE3	7D300CB7 80562659 791927EE 7FFEDA39 7F23A522 8107CB6C 80BB3F08 7F890262 7F556482
8128B3C2	802B6F4F 8214726A 5B211551 7B0AF9E6
7FEDFF82	7A688857 715AB634 78312E7F 7F73F4E3 80008B15 80BB8DBB 7DF5F7EC
8175BD2E	7C7EF274 7B98898D 80AB9D31 7F9A032B 77ED4064
79B415BC	77AE68EC 77E5D3F6 80B8F3C7 79E3D402 77EB1EAE 782D1B9E 6AEA2CEF 79569B87 77072617 754BDBE2 7FD92E95 7A7322B6 7858DBDF
81DBFF0F	7E767732 7F5847D6 7C5F7FBD 80663BBA 7EEAAFD0 7B6970F7 7851DB13
812E55AD	5A118E48 80CDFF5F 80474589 78B56E48 77B9A7B7 7B6EC144 7FF92B43 76F7590D 807129AA 7D533485 81300CA4 7E69AE24 7D58287C 7EB2AC37 791DC377 794919FD 79AA3393 80B1FAED 764802DC 7CE6070B
7E711F85	7D7EA0FC 76B1A747 799281E8 813A0025 7F716CC2 5A0A328E 7D8D96DC 5D4DD999 79BEE6F4 80A9E545
7D858B2B	7F7DD1EF 58745058 5868B908 7D906DF9 78B00020 70524C51 7F6FDB58 592D7BDF 7F5EA8EE 7EBC1FD8 08A43AC8 58773355 6A7A6D88 7D06E577 80081FDB 7D0D6746 81119A8C 7D720B64 7DA5E517 7E5C052E 8172A51E 6CDAC5C6 7F64A71B
7C9151C0	7D7AB019 808881FC 791CB6A0 7AAFD102 7B36D455 78369C39 80870B0B 80F042CB 7A144E75 808F01D1 81597B0F 813E1556 7A7366B8 75BD3A3B 80907848 77BA0BCC 7A10EE9C 77C855C3 75526C13 7AB09A18 7B70F9E0 7EDC2C66 75A96982 7994A348 763F1BD5 7BD47EAB 7852C1A9 7E5727DB 5F693DA3 7B1D156E 7BE3AB7D 7E7BA9E8 384BAC8D 7C18648C 75CBB505
815F5146	7C7B12F3 8438255D 7AE2B062 5FB77BE3 8589B704 7FDEFF53 76BDB2ED 76A538E7 7D7E32A2 5928E012 7D04BFEE 7FA3308F 7E0E088B 7F80787F 7D47B4D1 812C1D55 02C62990 7E0EDF8F 7F134DF8 7F4BF715 7B1B026D 0308DD07 79CCA276 7EBF3CC5 5C161E4B 7FEB81BA
7F7A6D78	7CD30F9C 7A1FCD78 7E54B033 7852B22F 80DC8E26 7CF62DDF 7F8E33E0 80DC9C67 7FFABEB4 80DF5CAE 7E56AC0A 7ED958C2 7DB2F129 809864F8 7F23A522 811FD96B 585527AD
7D8415A2	7E370877 7862B343 7B32FFC8 75203E5F 7DF4D959 7A9E2932 7FE63301 7E6E6925 7D350BBA 7EFB84BF 805350C7 7A8532AF 77D42AF2 7CA7F7CC 79DFEA01 80D85C85 7AB54EDA
810EA37F	07511127 7B3B622B
76779008	801A7BB5 787C2C3F 7DAEE453 80FC8BBB 7BB5E10C 806E554A 77303C3A 7F19B0B7 788351FD 79DA81A7 75E6D7CE 78CAF469 776D20B9 7568CE41 80EEDE4C 7A35F319
7E0CD452	6C7F84C8 7620297F 00210525 7774605D 5BAC1F96 7F6AA0D2 772CF5AD 800083A8
813A61A3	81340FE3 7DEB1FC0 74D18E01 7F60CE80 7D4385BC 8120C56A 7D9879A7 7E39FFAD 7DF4E5E5 5F0914A3 781F4535 80097FB3 07B82F0A 078E1106 7D8ECA64 7FBAFD5C 0B46A5AD 59D5A48D
7D81524B	7ED32F78 7DC50563 80BB7ADC 7DB05FB4 7E0366FC
7E3CD1ED	5F39C28D 7FDD2FF3 7DCF5156 7F75255D 7D43D4F7 80245EF9 816ACE3F
5B276B23	79E32222 7A8F9C4D 7AC9D7EB 80B8F309 78301F82 7AB84702 7AD8C37F
75118040	7B4C2593 7E6BA382 7F51B8AB 7A577F49 7DF910FC 7E739836 5D9DBC55 76BFE155 77C9F2DC 5A5E040E 7D95B091 76C39918 78FE7CBC
7A792900	810571D3 816D53B4 801B32A6 7D92EB8C
796A8EAE	8062CD6B 7A5BA49A 7F0423CA 04888404 72782F99 8169ABE1 7706CC20 78B55F55 7AC66966 7CBE7248 7AFCC565 7CC917A8 5A0CC2D2 75A80751 7CDB5327 5AC91E54 794FE4E1 78128BEA 7514356A 75F4C23F 804E13E7 58AE64DE 009542E5 7A7459A8 856EFB3E 791CFA5F 7749E6EB 78DB9E47 8001FBFE 75C0CECA 7D02FBB1 6D9E0241 755E5223 792B82B8 7CAF0004 754F03EA 7B8B601F 7A76CE43 75A8CDBA 7D2F7698 7FB94B9E 78B9ABBE 7550772A 591312DA 7A275BA3 7C471F8B 7A08F797 7A57A37D 84A162BC
78B2E0C5	5D332480 0B96489A 7B1B289A 7B1770AC 7CBC4F9D 802EE14B 7BEAC8B4 805C9172 7AD128E6 77931A56 7DFA246C 782699A7 054FDF2F 7F45B95B 7B8A08C1 7911C3D2 596586F3 70CCDF5F 7A6AB6EA 760F67B9 77C9A7F8 7540EF88 7C3A0F46 7FA338E2 8582CB5F 7A63A03F 7D6649CE 80BE9F61 812D9C0D 7C56BE35 7F422A72 77FFCB02
7EA0BAA3	809138D8 7D64C255 7DB83997 5F02FE51 777A2D35 7E414E27 7818D622 7726936D 80F6FB6E 7F89B627 7E09476E
7FC452FE	805C2D3B 7D389496 81702BBA 80A270D7 5F56A7F0 7E6599FA 807B81F8 7D56576F 7F22C203 78FA833B 7A2BDBF6 8147FA06
8115673E	75260CA7 7D72AF69 5F2F5E13
7D287681	7C9602D1 77A9183D 806A06F5 624FC0DF 76878FC5
7F9E2A18	7EEA7191 7A08719E 5E0CD8DC 7D07A7ED 7ADD5185 7DDA55CB 6029E126 7CCF539D 5E14BEDE
7FB403BA	5E3665F3 7FFFB877 79583471
7E3DE8EC	7B6D965C 7ED326D8 77627588 58B5CBEA 7F5F29CF
5AA8874E	78616ED4 774ED017 7CCF4730 7F254E6D 7A6B3162 78BD4E1E
7E673F42	70C07FB0 5EC5F268 7F5E6B3D 58E656D7 7EC80E97 815F922E 80558D9F 025B3FFD 7D664AA1 81380CF9 583E28BE 079175BF 0AE7F6CA 7EBF5384 80404521
811801E5	74E2DF38 80E846AA 5953A93F 7F549D6E 80CDABCB 80537531 8033D1A9
7ED3D8D1	78739277 7F318953
806431DC	798AE86A 7FC8235C
80B39A4F	77156A7D 71A2F19C 750E9496 5FDF7815
7E9EB692	5B0F9497 5BAC1F96 7F769278 80B94DB0 5F650475 7DF4EDB5 62401DBF 7A2B986C
7ECC7FC1	7FB8B10C 8074DCE6 741F94B8 80033146 7E24C0C9 81568FBA
7DE51ED2	7573B8EC 08592ABB 77F3672E
7FF1D2E5	7F5C0C0F
7ACC7A72	1387F4CB 7731E582 80C160B4
7A62C4F5	7A8E74B5 78127F3F 75DAB4C3 79E19CC9 80F766EB 8166EA0F 7F6FDC34 80C2904B 7FBCCDD6 761AA199
76131659	7C5D7916 80EEF761
782883CC	7C554210 8175F9B6 756C502D 7738A5AF 7FF8D0FA 7F861867 7DF8C2C8 58A3C494 5C7E72C8 809645BD 74DC9755 76388381 795FF139 0588B83B 758FA8F8 7B31A483 80C8B6F4 7BBAD232 7F4C0584 7AE4EA81 7DCB4A2C 7EEAD3F1 7B206618 85891528 76687042 80A5D538 5BA99E2D 7EFAEEF3 781C6356 7C8C3177 7ED13B29 77FE8484 7FE3C389 7C81A92E
7DF0EDFE	80FEEC11 79433F02 7A5558D8 7DC0410F 7638E96B 7C698FA2 7D8C8AE9 720A9D43 784F9696 7A8A020D 7CD10373 7C9094BA 7CBAFA60 75613468 7DF3800B 750C4AB8 767EB82A 78A8F487 756345AA 7684FB8C 7A2252CC 7CEADCBE 7E25DE7B 7759CB3E 7CCB70BD 7CE75475 7A56BE27 7965B22E 758810AC 77EED18B 80E3BDCC 77A46250 7D6422C0 76762D6B 81293727 8479FE54 7E8ED38D 79CDED42 7DA17081 7FBD2FC8 77717296 75B40B7E 7F36BC44 774CB22F 7D72E32B
7ECCA5A3	7F781BE6 7525817F 7F8E95B4 5974FE6A 75FA43CD 808563B4 7954D976 7E9687AC 804129E8 7CB0D5B3 7E263AE8 7A27FD1C 8073161A 72F8D017 7E3053BE 7FF30EA5 5C1BA1A2 7BDFEDCC 75A837FF
7E105365	786EE76B
7A862003	7B904E32 7C940B60 7CF0277C 7704D87E 769F7670 7960DD85 7A1CC41D 76F69716 782CD384 788D2870 7A66BF40 7A54D9CC 58A86B10
7ED1FE66	7A4B167A
814A4FF0	7D7DE2FA 24182FFD 7D2E9640 7E30B7E8 5C637AEB 5B4802FE 7D7571A1
81489B28	809138D8 7959C544 7ED3A349 802F9064 0AA1C532 8135AA9C
79F09641	7AB45139 76D105D5 783A58FB 78F901E6 76F4B8EF 76FBD4DF 7CC41481 7649FC90 76551E7E 766E0F43 08281A14 7771A267 7A93A9D1 7C73A9DF 79D89B13 7C9E8924 75C85188 7C751AEF 76CCA0C2 7A184709 7A8FDFF1 7B8DE2C8 78AB46A3 7AFF2BD7
7DA3C9B5	7CF4AAD1 78E8A106 7D40DC65 7D9BDD0D
81301A28	0BC04B64 7FB10C20 7D078956 0B6E7E46 76E01420 7B7474CA 81718417 7D561392 80F66812 7FCE9247 753B2F04 05400595 7E097145 8107AE4B 305FB563 5879F4CE 8088C627 7F919C04 7EE29C8A 02F92AF1 7C03C58B 041AE58B 80A599EB 58F17CC8 7532D0AE 85962DD0 7D51CA0B 7CA002A7 804C4B9F 5AFCCF60 7DC53449 5CADB1B9 796B17E7 041444B0 788DBB8B 7FC8A437 5CC4581C 80F002B5 7F960AC6 8094E211 7D290794 0B4C0313 7F61666E 7F612DD6 7679D208 7C47E1CF 0AA22F83 5CFBEC12 6B4F643B 7D80D2E2 7FAF1F60 800A3B52 5AB8905A 76BFAC06 7525817F
76826814	739CA496 22E6F996 7EB7F9F5 7AA26F22 7DDF9693 7DBE7EE2 26BF89BC 5A8A30CE 7BED7BFC 5BFA44D6
7F62544E	7D656E91 58B1198D 5A7BF2C9 7AA58443 7CC306FA 7AACBFE9 7E4CA257 7C28C078 76096FE3 7BE4DB52 756C9DC8 76D3543F 5A890DCD 21B79F3B
7930B808	7CE7D9CA 7EF23CF6 7FD89103 806880B1 7DEB7DB5 7BBA38C3 814AC9CE
7E0BC1A0	59292E3B 80516F12 6CF50A5A 808B7275 76850B95
7DCDCB87	7B06B658 843101A6
7F40C9B0	76DC8322 7FB5C7C9 7E5540FD 7F393DEB 759D6745 80278E61 7F739379 7929D24B 7EE1A349
8166AB71	7FD1756B 7E614CDF 807CD051 7667CD1F 7FC06BCB
8164D083	79DCF49C 7AEF9ADD 7AF64065 803104B1 792AA80E 7D476FA5 7E8CCDD7 77812233 79AC9D0F 7E9756D5
7EDFE87A	80320EB2 7F8422F9 7D3AA799 7E5089ED 7D7B73B3 8119AB38 7ED2B220 59EC0F06 5D1DDF1F 807363F8 807C5839 636AE928
7DAA930D	7BFDE0DA 7DFBC9A7 7DFC9E62 7F8BDE2C 7EED7AF2 7E8FA13F 75C9100F 0B421332 58A4DD67 813D804E 7543E991 7837AC5D 7EC51945 771C8037 805F3E63 597C988A 5AE7E101 5BAA8988 5983C292 03A550A5 75EF3FFD 7FB113C8 7EEE3343
775AC0AE	3C8DD42F 7A6AB4EA 7FD97AB0 8173D5E9 042CAE03 7BB0DAED 5AAC462C 7B12DA99 8071B442 752AC7AB 7B52F148 7C8C9C39 7719083E 7FD115D3 5EC7949D
7E5037D1	7A5A3159 7B470228 7F70BD81 7B42113C 7F412D9F 73ACC027 5DE97DBE 809233E8 809194CB 76744827 79D9F0A2 80FC0F75 805B7563 7DC0885B 7DAB2C66 7D13524F
7ECD4D82	7F784DED 7AEF6A71 806852C9 80B19575 80497E2B
7F6ED7BA	7F9CBE76
81366FBD	808563B4 7E3053BE 7DC60826 5A4BA049 804129E8 7FF30EA5
7710370B	78C85FBD 7CBAEAB0 7E747257 773C1186 7E345BF9 75F628B9 7CA13040 7F254E6D 7598EE9B 7C1070F7 790CE266 79DAB9B7 76652889 76A6356E 63A69272 612AB487 77739ADA 782DF835 7B08E187 78018AE8 75CB6EBA 76EB5996 79FF8175 775B61C2 7C2222BB 7B7B4BB1 7B8BE037
79B57CEA	7F8ECDC1 7791D4D5 7DDD749F 7C2AEFB0 801CE28D 7FD0DB95 7D3B3443 7E0F39F1 7E720511 80673B2F 753597B2 7B0DDAD3 7E8A4C98 7BEB79FB 76EAA559 80A7B35A
70909F64	76C5C554 7C92D4EE 7A3D189D 7E965C65
800E2166	772015A5 7724C85C
7720B161	7A0758FB 80E4039F
5CB61964	7B66E9F3 7DF75062
769D2919	7C0039EF 8089832C 75A48CF2 7D456926 79179E0E 7EA67988 7FC5DBB8 7AF9D7FB 7D6BBBEF 75AA105E 805E3CAA 7B696CA3 7C50F9F3 759641B4 7DBDE54A 811A228E 76479FDE 7709DC1F 7E211C82 75401025
80703C05	7C56895D 7A997997
7F01CA03	7CF8B257 7D71BA94 596EA61A 7A6AF48A 803B2878 7E11A242 5C059478 7995BD07 79CC9873 7D63576C 7C50690F 77BC91C0 7F5847D6
801716C0	7F636995 7FD4703A 5C4028C6 7F00FE69 7EB7B7DD 6D2A8345 7CDEDEF6 7FB01640 77F3BEB4 7E3D6C91
81688C28	79D9B9C5 7CD48839 7F191596 7CE49A7F
8034614B	798965DE 72C2735F 7E812F49 7F5C5346 8054BBD9 5BD8959B 7D29BCDA 7F8B01E8
760792E0	7EE6288D 78B2EC07 7929FA38 7CEB5091
7F7D9975	7F6F4232 61277C67
7EDBCD57	63B22BBE 5E0A329C 7EB8FCAD 7D9780FE 7FA686F2 80B0A36C 7FB7934C 76F8641A 861A494A
7ED5CF1A	7EDA35EF 5F3E2272 7CFA80BC 7E510702 8038D60B 80141BF7 80EEEEE0 811263A9 7DDFE6B2 8162579B 7F4BAC22 815CEEDE 7D3F1DD5 7D4B6640 7DB6C669 803D1A0D 015D187F 808D356D 7D737A13 808716FE 59709AD4 7F7891FC
7F2747A0	79568A07 80656207 80F18A9A 5AD00A5A 79BC8E02 0B4DB766 7A14FDA3 8153DD3D 5E611AD2 6DEB19A6 814396D7 7C9509C2 7DE6911C 7DCE902D 76A86AD4 80E60414 5908F741 7CFEE0EE 808A546A 4AD2A147 7A762253 78C2F77D 5F7700C4 7D26DAC7 6FF526A9 5A4DEE42 77ACB7DA 5F6ACBCB 5F828AAA 5EE56D6A 7A612098 5EC9709D 7DAB19E7 7D6BF25D 784F294B 59FC3041 5D1BAEDB 5DBD0B16 0088022E 7DEA9E44 5C4C6768
8040645D	810F536C 7F23840B 7D8581D0 7E189C05 78E54797 7E466761 8060654D 7CFEEE33 7D45977F 7F17912F 5B465C2A 5D39BD45 75BA31CD 7EA004F9 7E215D89 7F6E4B5E
7D443F6D	7BEA68F7 76F8520C 8009B3FC
8319DDE3	7EFC63CF 80036077 7FDD2C6F 77783016 7810286A 78D41140 7EB63050 7E56F701 7DD2F531 75ECA608 7BCA563A
75C4EB51	79FC007A 7E79204F 78F88E09 79FF9B49 59CCC016 790537D1 7A118E18 78A500D6 77EF77C2 77BB1893 7A7F49A9
7E64C56A	7698AC24 7564420E 806AA4EC 7AD5B0F2 766D3928 7942FE73 7C6E3348 79A4E0DB 76D16CE8 7772C72D 7C26598B 78C38B6C 815076A1
7DD0830F	7D5A73AF 7872609C 7F7D9F4D 80F51C39 7A7DA1E4 7F07E44E 7F82B4D2 7BFDAB5C 7E039C07 79AA50CE
7A4A0033	7A888511 79CB3544 5A2EDA4E 772457CB 7B279DA1 7A36FFE6 7925FD74 7C03AF04 8274858E
7F725D2F	7F255258 7FB9FC6F 718B4675 7FEF760B
7DBE2EF2	7E34D58B 72A4258C 809F844D 7D243D2A 7D43565B
7D93B5DC	464E8C3C 7FC2E0BB 5BB0FEF2 7F483FB0 801FBC45 7F79C889 7CF918E9 7B4839E1 76F6ACCF
80033146	7D2C1FD8 80A9226B 8172F5B1 5D1D549F 7EC509C2 7F48D28B 7EAAB8EC 7E28D33F 7E218C51 5EE4B296 7D9F0250
7DD5723E	7601884A 7C74F6E6 766F2FFF 7D1EEDA8 8151E2EB 75438514 7AE7834F 7F109F1F 7963759C 7FE35BD9 7A414A01 7F9BEF1B 7B15B867 7645A103 793C3BD1
7D237A61	80EE5FD3 6233F4A4 7EB8C298 77FCCBB7 80E772E8 7F5F0588 7AFD1564 79E45D98 79E73D78 7C594ABB 78324BF9 78BD5796 7D5D8B2B 7C92CF8E 8158294B 7B0FCB2C 7D61586D 7F552DAA 7660A162
7D7E1B4D	80CDC397 05BB4BDA 76CCB3A6
7E992659	80201968 80FBC12D 851AA806 75EFFD2F 789E51F0 7E8C0351 7EBD1588 7964E326 7CA113D8 8198D512 7736DBB5 80A55EB7
805EA5C2	7C3C8B32 80F24D7A 094B912B 7D2BD147 7D8B1A91 760A0D79 79B80686 81171BCF 71A6A708 79F06DCC 7F9BB074 7F21334B 756AB55D 79847A52 7F03394D 815A1238 77D3A516 59D87D4C 7E8BE44E 77F8E0A0 7DA0F2C8 02BB655A 81293625 816D23BF 5EDB3FA3 80C8DDF1 7E7500BB 7F429363 81323B28 7C699584
7FCCE1C9	5C6E9C6B 7E18D38B 7FD060F0 6D36CB5F 762BE2D2 5D2AEB7E 071710E9 76BC3756
7B590E08	5BAC1F96
80392E9F	7EC2CC31 5D579E9F 7D831698 07260062 7CB742C1 7E734321 7D156DCA 5C09971B
7E71C689	020A67C5 7EF3843B 7F828D0F 225B832A 7A2A4619 75159256 75CB1CDC 77BEEB26 790268A9 7B365898 7B37422C 782DAEBB 78C0F620 76D257B8 78597C11 7D80F9F5 7853BDA5 769B1073 7AE150E1 7DE0D6A2
811CD703	7F8A5AB2 7DA993E3 80D69FC9 7A410F8F 7793348B 807C3446 7D3A056A 5FC8FF9B 800A8249 792C8787 7F4814D3 790B269F
7EA93704	7A1A7089 7F00FE69 782CEAB6 762FEF68 72556E93 81424A61
7F629F28	7B618C45 7FDDB82A 7F655F96
812557FE	813AC3EE 7712387F 7689CC73 7D712204 7CB5F77F 5DC9FC66 781E2B5F 7EF60EF9 801DB460 7624B024 58E55D58 7CDF41B3 5E876709 79B7AB6D 7EA9245A 7E292EFF 762E8B0C
7D0351F6	7CA64B5E 79DE4D2C 7B8B8785 7BF2388E
8147DD21	75786268 757F18CE 7AD9FD19 7B0FB8C6 76FE0AD5 7871D1EE 7FA37BA5 7AD57F3F 5CD9E52C
7995BC9F	7D388323 75DAF2B8 77FD8100 78D22904
7EEB8062	7A830299
7E4D184D	812E17B8 7E09476E 7FD3C2C7 7E3E4616 75CEB98F 7A7A72AB 7B1642EE 7DA6A1B1 809138D8 11FAEFA3 8026B548 75C0D127 78634E62 58D6CB5B
7D072DB4	7675AE20 808EF04F 5DB53835
755B2C30	77FB9522 772483F5 7DD2831E 7C98B132 09BD5A96 778F44AC 7A6E551B
7FC99093	03356C66 7FD27DD6 8118B836 06E619D0 7D64C255 7ED75441 7DB83997 7E09476E 7DB13E18 7DE444AE 5CFBEC12 7818D622 7FE4D0DA 80F6FB6E 7E6E9CBA
7F29D52A	7F351A2E 80573CD3 014C4C82 7E22E19F 7D4E4134 813FF46C 7D986173 5D8EC7E6 8178E591 8046C672 7E0E26B0
7E52459D	7DF5FEFB 77A811D1 7C2FC9B1 800F2916 7E979903 7F49526A 7F4B265B 79D26215 77BB0734
7F7591AF	24182FFD 79474623 21ECFD0D 0795A478
7E0FC11C	76B4810E 79A2A9EF 7DFCA717 1562820E 77339FD5 81DA4613 5B87B05B 7ED351DB 7D639E3C
80A9BBC7	7F4D4744 7F4F7FDF 750CBEA7
7418D716	76581B45 792ABAE1 75F1395D 7A719317 79048874 7A9FA5BE 5DA64086 762AF696 75582945
813BF2CE	80C9DB9C 7F92CD09 7888E01E
80DCEF78	7D79FFA0 8060976F 80FE8D83 5F2F5E13 7B3B30DA 7E6070C5
79B73EB8	758A1C30 7A8E1423 8062AFB1 7BDEAB5C 790CDD8B 5A28DC6E 78A68DA8 79CACB2D
81737499	7FD9578C 7C444300 8071BA5A
8101D85F	75D73774 808C2413 7FF0B215 81510702 58391EEB 58F17CC8 808896D1
7CF71FA7	8073F1F1 7F612DD6 7B61551E 81792793 05C08B9B 05CD6BE9 7EA68A8D 7CEF3517 7D85452C
75E2F393	7CFEAEDA 7DCE4A51 774A99CF 7E40D0B5 81631DEE 7DCC84AC 7C97E6D0 7DCA532A 7F5BF393 6E954841 59EFF992 7D8F6A50 7EEAFD89 7EF585CE 802640D6 5A49A17F 77833602 79AD40B5 7C4B22A6 811ED3D2 800C063C 70B3CF8C 7D503EB7 7A8CE95D 7D672D44
7FBFE0EF	7AB4054F 7CA29841 8051BBDD 794A5E67
7D827519	8086D486 78BA7301 7087723A
7E36762A	76BB2E4A 7A52B23B 7CEAE5FB 7798589B 78CBA5E7 7B95BF4A
7F0AF74C	7ECBC2EF 7CFCB029
7D0683E9	7DA2EE07
7DD66B7C	78C2C438 7A3C1843 17A502BD 58C32506
82666B22	753B0BE8 7988897E 78BEB7A5 7996DBB4 5AC63EE4 855D141A
7726754B	8012F2B1 7AC97F56 7828AF1F 7A127806
7DC8EE88	7623F2B1 7AD9F1F3 7FB7CDF8
7F9A3FF8	7D5A0549 74E4905A 80DF60CD 777C98EF 7B3C12EE
7E44E468	7A14C42B
7D9315CE	75DFB786 7C822706 7B7A989E 78D0661F 779C1BDD 78065F3D
7F014F2F	7A2F80F5 7DCC6518 7FF7997B 7F9B18B2 7CFC380D 7ACF3FB6 801A47F2 599752D3 75D829BE 7DFD3FBC 7DDA7ECF 7FB2AC23 7BA957CD 7E9547D0 7D425D20 7D96A188 7F57BE89 780F866D 7ABCC00C 7E01E00D 5AEC7E9F
802CD692	7E8D4388 7D5511CE 6484BD9C 5D1F7514 7E52BA4A 80338EAB 80FA37E5 7C2867E7 7DEB4002 7F78F2D1 79D98A24 801A0B15 7F94FD4F 7EADF159 7DE208B9 808123E9 80EFC3AE 790DFCF0 7EC2C3D1
7FD51DCA	5EB3F2E7 7774605D 8002C999
807F1083	816EDB54 7DF26945 645D95D3 832F612F 7600BB54 820000AD 7F6B852D 81335437 804A3E34
78151B26	7DF5A3DB 7EAEE281 769FC770 7FA448FE
801AFC72	778644D0 805DDEB4 7E1EA2E6 7FF2D887 805C48C9 7FDABF15 7C5D22A4 760FF9E1 7ABBEFE4 7E898857 7E26B944
7E2D98B6	7DC14672
7EF3487F	7FAA95A2 7FB1799B 8164AAF5 796AB56D 79E63984 7C68A37A 802D4E40 7ACEB6AA 77341607 7B1A0B21 7EB952D1 7E8EAFB7 80038470 7DAD07C7 7F5F62E1 80830688 7C0859DA 136EF314 7FEF71A0 80CF31F4 7C6A64EA 7E2D049A 7F2B5F4A 7D6D4E97 7D8DA9FF 7D9F1FEE 7FE6D3A9 7FB4E9BB 7C40C3C1 7D9B77D0 58CE613B 7D5DADF5 7DFBCEC0 7E59E9AB 7D295B54 7FCB1145 81416FDA 799E36D8 7DE9C812 7E2F6550 7D4E44F2 7EDEE2C8 81370F39 77570BC1 80378CC2 7D3816D1 7F2CFAC5 801BDF32 7DA92A59 81DFA8D0
7E85BE1A	7E1DDC9A 7C751E38 7FCDA35E 794B0149
7DE81E10	62C1275A 7D1A7F15 09F0765E 63CC096E 001344B7 5C4A79F6 7F28942A 7DA55F4A 7F782A9D 7911019C 7D61AFF9 59AC8075
7F6D684F	5DE6ED2F 762A937E 81755A1D 7D3CDE3C
8093DC06	80ABD2C2 753DF308
842D0A45	6AB4C550 80C59DC6 7E4495B5 7FBF4E8E 7E3FA2EF 8262BE10 78FF0CA9 80AF0AB5 79B27DB8 5C07566E 7FBA307E 7F730BE3 7FA0802D 5BDBE070 60FB9490 7EAD0905 7F141804 5F46A217 808184BE
7DCF2251	7F9839A9 5C7AD0C9 5CD73956 7A220E6B 774206CE 7D9962FB 7C9B21E9
7EB8EB54	81105CBB 75802672 7BAE2F12 7D0871CD 5837DABE 7F612DD6 09D325E4 7730CCEB 79B0EDF5 0497BC35 76E01420
7EA4F604	7F03394D 756938AC 802FDFD8 77A292E3 7889DFAD 7B3563EA 7DABE2B6 77A34022
7D0365CE	7668B6A7 7D56E72D 7C28DBB1 758EEA06 7B1E964C
808B6A77	7F70B93E 0114E3FB 80DF58F4 8198D512 7DC39E74 5C235E4F 7935BC15
7F7DEEFF	7F4AD45E 7FB20627 775C06C5 80789E8B 75D503A4 80ED9963 8103CD58 7EFD14E7 7B931830 6A5A4381 6DA6AAEE 7C0874CE 586EFE95 7D274A54 8033D1A9 8073614A 7E015D50 59E29962 80E5CCDD
7EE727C7	71110173 7F588D02 02EE3135 7A090100 7F14C3A1 7718A2E2 7F73FE09 7B2DC42C 77626B82 769B172F 07FFD130 766E90B7 5B397397 7F627736 765287C2 7EB79B84 7EE71C77 7AD60E19 7DCEBE66 6F830EB4 75301C84 77C81BAC 7C8A4DFE 7D95CEB8 5B4802FE
80240984	80F24D7A 7804089A 7AC3BB7F 7525817F 73D5E309 7FECE0F2 7E71E02A 78DDC6FD 806A3BCD 704E3ADB 77719187 7671E115 807B139F 5953A93F 7DE24B2B 8103E580
786BEE21	7740FCBA 7B56EC74 7C12BA4A 7C2C3826 7C41BA97
