3316C1E9	Geoffrey Mazeroff A
80DCFEE4	Hierarchical clustering of 3-D line segments for building detection
08C7197B	HOW MANY TECHNOLOGY TYPES ARE THERE? PRELIMINARY RESULTS FROM THE TECHNOLOGY ACCEPTANCE LITERATURE
7E81F9DC	An experience-driven robotic assistant acquiring human knowledge to improve haptic cooperation
7EF00188	Moderate Versus Deep Hypothermia With Unilateral Selective Antegrade Cerebral Perfusion for Acute Type A Dissection
79F49F26	Understanding consumers’ perceptions of product quality for lighter dairy products through the integration of marketing and sensory information
7820F721	Applications of Quadtree, Octree, and Binary Tree Decomposition Techniques to Shape Analysis and Pattern Recognition
7932A577	Two-fluid simulations of galaxy formation
780FCB6B	Chemical Fingerprinting and Hierarchical Clustering Analysis of Centella asiatica from Different Locations in China
7870CA63	The role of learning experience on the perceptual organization of Chinese characters
7726D215	Research on the Coordination of Social Security and Economic Development in Hubei Province
846E505D	A quartet method based on variable neighborhood search for biomedical literature extraction and clustering
0B395CB3	Building Classification of Terrestrial Images by Generic Geometric Hierarchical Cluster Analysis Features
79F90BD6	Impact of phase II trials with progression-free survival as end-points on survival-based phase III studies in patients with anaplastic gliomas
7FEC49DC	Versatile And Efficient Hierarchical Clustering For Picture Segmentation
79E5BD91	Multi-scale link prediction
7BC16CA2	Tacit Knowledge of School Superintendents: Its Nature, Meaning, and Content
7F38C644	User Adaptive Clustering for Large Image Databases
7C173771	Angiogenic heterogeneity in head and neck squamous cell carcinoma: biological and therapeutic implications
85D92409	A validity study for Yes/No Angoff standard setting method using cluster analysis
78D595D0	Breaking the hierarchy - a new cluster selection mechanism for hierarchical clustering methods
769DEC04	TRIM24 suppresses development of spontaneous hepatic lipid accumulation and hepatocellular carcinoma in mice
79D9FA65	Forensic differentiation of diesel fuels using hydrocarbon isotope fingerprints
80C72F8B	Update of the Diatom EST Database: a new tool for digital transcriptomics
7C3C59DC	Fitting Tree Metrics: Hierarchical Clustering and Phylogeny
80AC2D3D	Time series recognition based on wavelet transform and Fourier transform
7792C115	Efficient query expansion for advertisement search
7A72BB83	Non-supervised classification of aerosol mixtures for ocean color remote sensing
80F34EF0	A non‐parametric permutation method for assessing agreement for distance matrix observations
7F17E10C	Household differentiation and on-farm conservation of biodiversity by indigenous households in Xishuangbanna, China
74A0AC02	투여 방법에 따른 가르시니아 캄보지아 혈중 농도 변화와 항산화 효과 변화
82880125	3P1-U04 手の軌跡情報を用いた対話中の頻出動作検出(インテリジェント・ロボティクス・スペース(IT, RTとETの融合))
7BC103E5	A Test of multivariate normality against the alternative that the distribution is a mixture
7F7FCFA6	Organic farmers use of wild food plants and fungi in a hilly area in Styria (Austria).
77101F01	Structure-mutagenicity modelling using counter propagation neural networks
79C08E3E	Characterisation of single aerosol particles from Debrecen region, Hungary using microPIXE
7FFD8099	Measuring Overlap-rate in a Hierarchical Approach for Color Image Segmentation
7F4B8654	Biochemical Clustering of Monomeric GTPases of the Ras Superfamily
789B11B7	Comparison and analysis of the stress field in the source region of Tangshan and Lancang earthquake sequences
78730583	Intergovernmental Sources of Innovation in State Administration
58614E43	Subgroup discovery in data sets with multi-dimensional responses
778E4430	Spin parameter and scale-free density perturbations in hierarchical clustering
7E772A8F	The Wais-R Number-Of-Factors Quandary:A Cluster Analytic Approach Toconstruct Validation
7AC2266F	Erratum to: Genome-based expression profiles study for the pathogenesis of pelvic organ prolapse: an array of 33 genes model
79F09B28	Perceptions of bullying in organisations
5A89F379	Clustering in Ad Hoc Personal Network Formation
752DD678	Theoretical cosmic Type Ia supernova rates
7FA92A3A	Noninvasive Clinical Assessment of Trunk Deformities Associated With Scoliosis
5EF6F8F2	Multivariate Quantitative Methods in Paleoanthropology
73BFCF3A	How hard does the tax bite hurt? Croatian vs. European worker
80396F60	Altered gene expression in the emerging cerebellar primordium of Neurog1−/− mice
7CFD1F2B	CATCHprofiles: Clustering and Alignment Tool for ChIP Profiles
7F807931	Application of SPSS for Evaluation the Curriculum Designing and Analysis the Teaching Effect in Food Engineering Specialty
01DE1079	Semi-Supervised Hierarchical Clustering Algorithms
1623330D	606 タイヤ姿勢制御におけるサスペンションの設計原理抽出手法に関する研究(OS12:シャーシ/車体の先進技術,OS12:シャーシ/車体の先進技術)
75AF239F	Global profiling of Streptococcus pneumoniae gene expression at different growth temperatures
6DBD4F31	Multivariate morphometric analysis and species delimitation in the endemic New Caledonian genus Storthocalyx (Sapindaceae)
58E05EAF	Automatic distribution of sequential code using javasymphony middleware
80160F6B	Nuclear genome size and genomic distribution of ribosomal DNA in Musa and Ensete (Musaceae): taxonomic implications
13019669	On the clustering of huge categorical data
7D9AD666	Differential gene expression profiling of mouse skin after sulfur mustard exposure: Extended time response and inhibitor effect
78C655BB	Merger trees and the multiplicity function of halos
7A4E6EB1	MicroRNA expression profiling in classic Hodgkin lymphoma
7ED3C734	Diagnostic Rules Discovery with Hierarchical Clustering and Focusing Mechanism Based on Rough Sets Theory
79570B60	Family Dairy Farms in Galicia (N.W. Spain): Classification by Some Family and Farm Factors Relevant to Quality of Life
79B8257B	Stress among allogeneic bone marrow transplantation patients
6856947B	Hierarchical clustering of sensorimotor features
788129EC	Pyramid algorithms as models of human cognition
774F169F	Angular momentum, hierarchical clustering, and local density maxima
76DCCC08	Assessing reliability of gene clusters from gene expression data
7737A219	Subclustering and luminous-dark matter segregation in galaxy clusters
76A0832C	Aprotinin: Twenty-five years of claim and counterclaim
76BD60E8	Classification and ordination of benthic samples from Bedeque Bay, an estuary in Prince Edward Island, Canada
7E42F785	Gene expression profile of mesenchymal stem cells from paired umbilical cord units: cord is different from blood.
7561656A	Determinants of change in service employment in the United States 1998–2005: findings based on a new classification of industries
77CC850D	A SVM model for data mining and knowledge discoverying of mine water disasters
807006B2	A Quantitative Geomorphology Study Of Main Carbonate Massifs Of Central And Southern Apennines Based On A Digital Elevations Archive
8150DD07	Surface antigen profiling of colorectal cancer using antibody microarrays with fluorescence multiplexing
7AE53187	Differential regulation of gene expression following CD40 activation of leukemic compared to healthy B cells
6430FDBA	The Fundamental Plane of field early-type galaxies at intermediate redshift
65D4F703	Brief announcement: hierarchical neighbor graphs: a sparse connected structure for Euclidean point sets
0960E034	Clustering Musical Sounds Using Polyspectral Distance Measures
754865D0	Feature Extraction of Concepts by Independent Component Analysis
5DA24C21	Clonal Selection Algorithm for Learning Concept Hierarchy from Malay Text
21CF2727	Property-based Hierarchical Clustering of Peers using Mobile Agent for Unstructured P2P Systems
801244E7	Importance of genetic background for risk of relapse shown in altered prefrontal cortex gene expression during abstinence following chronic alcohol intoxication
756BCCBE	A Hierarchical Clustering Technique for Radio Map Compression in Location Fingerprinting Systems
08ABF89B	XMM-Newton Proposal 03036701
5CB5CCCA	Analysing Flight Data Using Clustering Methods
7E8070E1	Global Patterns of Guild Composition and Functional Diversity of Spiders
782B927E	A Multi-Objective Evolutionary Algorithm based on complete-linkage clustering to enhance the solution space diversity
76B72691	The health burden and economic costs of cutaneous melanoma mortality by race/ethnicity–United States, 2000 to 2006
5F8D3B16	Designing a Super-Peer semantic Network based on Hierarchical Clusters
83DDAC0D	MaRaCluster: A Fragment Rarity Metric for Clustering Fragment Spectra in Shotgun Proteomics
08C10AAF	A Hierarchical Clustering Procedure for Semantically Annotated Resources
5A392020	Discriminating classes of developmental toxicants using gene expression profiling in the embryonic s
6EDBC847	Hierarchical Clustering and Active Galaxies
7D084258	A neural architecture for hierarchical clustering
5BA6D7EC	On clustering of genes
7585B726	Hierarchical Cluster Analysis of Saussurea DC. (Compositae) of Pakistan Based on Morphological Characters
72A5C042	Foundations of recommender system for STN localization during DBS surgery in parkinson's patients
7DB1F29A	Intratumor versus intertumor heterogeneity in gene expression profiles of soft‐tissue sarcomas
793B3307	Anthropomorphic classification using three-dimensional Fourier descriptor
75EE3644	Genome-wide expression profile of sporadic gastric cancers with microsatellite instability
770FD8D1	Analysis of the harmonized growth pattern of fetal organs by multidimensional scaling and hierarchical clustering: Harmonized development of fetal organs
5CD9EE24	A method based on cluster analysis for national and regional technology policy development
7750E7C9	QUALITY ASSESSMENT AND CHEMOMETRIC EVALUATION OF A FLUVIO-LACUSTRINE SYSTEM: RUIDERA POOLS NATURAL PARK (SPAIN)
2FC11FCD	Whole‐brain cortical parcellation: A hierarchical method based on dMRI tractography
77A33C45	Ant litter fauna of forest, forest edges and adjacent grassland in the Atlantic rain forest region of Bahia, Brazil
830EE428	“Minimax length links” of a dissimilarity matrix and minimum spanning trees
77E73578	Chemometric classification of two peach palm (Bactris gasipaes H.B.K.) landraces (Juruá and Vaupes)
7F5108C6	Longidorus paravineacola n. sp. (Nematoda: Longidoridae), a New Species from Arkansas
75DBE0DB	Chemometrical analysis and quality control of pot water and its sources from Athens, Greece
347C1CFE	Hierarchical clustering of a Finnish newspaper article collection with graded relevance assessments. A manuscript submitted to Information Retrieval
7E3EF727	Androgen-independent prostate cancer is a heterogeneous group of diseases: lessons from a rapid autopsy program.
7CEA8944	Noise Reduction Techniques for Network Topology Discovery
7E8D97C7	Automatic Target Detection and Analyses in Side-scan Sonar Imagery
0018022B	Characterization of fatty acids and triacylglycerols in vegetable oils by gas chromatography and statistical analysis
79EB8370	Pattern recognition and classification for multivariate time series
78F426D0	Analysis of hard clustering algorithms applicable to regionalization
5F473850	Mechanisms and quantitative trait loci for Striga hermonthica resistance in maize (Zea mays L.) inbred line
7703F6A7	Gene Expression of Endothelial Cells under Pulsatile Non-Reversing vs. Steady Shear Stress; Comparison of Nitric Oxide Production
77358142	Scaling Laws in Hierarchical Clustering Models with Poisson Superposition
709F8532	Unsupervised morphological classification of QRS complexes
26426348	PERBANDINGAN KLASTERISASI SECARA HIRARKI ANTARA AVERAGE LINKAGE DENGAN SINGLE LINKAGE UNTUK SOLUSI TSP (Travelling Salesman Problem) DENGAN METODE CHEAPEST INSERTSION SECARA HEURISTIK
75EBFF63	Hierarchical clustering-based assessment of telephone-audible noise: time- and frequency-domains-based approach
7A831991	Discrimination of Flow Regions on the Basis of Stained Infiltration Patterns in Soil Profiles
0448528B	Clusteriza��o Hier�rquica Espacial com Atributos Bin�rios
05F886DD	Speaker linking using complete-linkage clustering
5839B899	Analyzing highway flow patterns using cluster analysis
13293CE4	A Combination Approach of Gaussian Mixture Models and Support Vector Machines for Speaker Identification
7DEE9A41	Texture segmentation through salient texture patches
7B8C3C87	A New Clustering Validity Index for Cluster Analysis Based on a Two-Level SOM
0C3683DC	Nesvorny HCM Asteroid Families V1.0
76BF6741	Performance Analysis of Hierarchical Clustering Algorithms
7B6A68C0	X-warehouse: building query pattern-driven data
755DFF65	The equivalence of three statistical packages for performing hierarchical cluster analysis
79E90742	Using agglomerative hierarchical clustering to model learner participation profiles in online discussion forums
77186389	Essential Oils in Mexican Bays (Litsea spp., Lauraceae): Taxonomic Assortment and Ethnobotanical Implications1
7A21958E	A structure–odour relationship study using EVA descriptors and hierarchical clustering
5D43B0E0	Hierarchical PCA Using Tree-SOM for the Identification of Bacteria
80867FDE	Identification of contextual factors for pronunciation networks
812FA800	Residual Dependency Estimation of Independent Components Applied to EEG Event Related Potentials Associated with Emotional Processing
7E620BB7	Distinction in gene expression profiles demonstrated in parathyroid adenomas by high-density oligoarray technology
7F073C46	Dynamic Binary Tree for Hierarchical Clustering of IP Traffic
752A1730	Resolving the jeans mass in hydrodynamic simulations of hierarchical clustering
7F5FAF23	Analysis of genetic diversity in banana cultivars (Musa cvs.) from the South of Oman using AFLP markers and classification by phylogenetic, hierarchical clustering and principal component analyses
75FC011D	Chronic fatigue syndrome and seasonal affective disorder: comorbidity, diagnostic overlap, and implications for treatment
838B6C89	Should You Own David Tepper's 3 Favorite Stocks?
7986BA96	Late positive event-related potentials enhancement through independent component analysis clustering
7F7405E5	An Interweaved HMM/DTW Approach to Robust Time Series Clustering
5B9E644B	The texture lexicon: Understanding the categorization of visual texture terms and their relationship
5E9DBFF8	Fuzzy support vector clustering
7D501DED	Shape-based recognition of 3D point clouds in urban environments
7FC5976D	Determination of ventricular structure from multisignature MR images of the brain
77811BB4	Stream water quality and its influencing factor in lower order streams in upriver sections of Ashihe River
7CCF4E2D	A graph-based approach to developing adaptive representations of complex reaction mechanisms
07B11B9F	Similarities Analysis on Hydroxyapatite-Zirconia Composites
5E7EED70	Análisis comparativo para la economía magallánica desde la perspectiva del enfoque "input-output"
792E9C62	RECURRENCE-BASED ESTIMATION OF TIME-DISTORTION FUNCTIONS FOR ERP WAVEFORM RECONSTRUCTION
01FA817F	Application of the Haar Wavelet Tree Transform to Automated Concept Hierarchy Construction and to Query Term Expansion
81AA5D0E	Refining vegetation simulation models: From plant functional types to bioclimatic affinity groups of plants
7F6AC4A5	Clustered home area network: A beacon enabled IEEE 802.15.4 approach
7ED4E148	TextPlorer: An application supporting text analysis
0C379AE7	Application of hierarchical clustering method to classify of space-time rainfall patterns
7CD97668	Bridging the gap between data acquisition and inference ontologies: towards ontology based link discovery
7B6E22BE	A spatio-velocity model based semantic event detection algorithm for traffic surveillance video
7BC6752F	Determination of the mineral composition of Caigua ( Cyclanthera pedata ) and evaluation using multivariate analysis
7194FCA7	A method of feature extraction from an image for quality analysis
8081E009	Combination of agglomerative and sequential clustering for speaker diarization
7E6AAED5	A COMBINED K-MEANSAND HIERARCHICAL CLUSTERINGMETHOD FOR IMPROVING THE CLUSTERINGEFFICIENCYOF MICROARRAY
751278A9	On clustering and retrieval of video shots
79322EA1	Entire adjustment of tonal values using hierarchical interpolation
7F8C3136	Patterns of Youth Participation in Cannabis Cultivation
7A14A67C	Analysis of the handline fishery targeting mackerel ( Scomber scombrus , L.) in the North of Spain (ICES Division VIIIbc)
7704E946	Global proteomic profiling of phosphopeptides using electron transfer dissociation tandem mass spectrometry
7C91E7B9	Modeling the statistics of image features and associated text
790F6554	Process improvement methodology based on multivariate statistical analysis methods
7C7C1B36	Method study of classification and gradation of earthquake disasters
77B0903C	Comparative gene expression profiles induced by PPARγ and PPARα/γ agonists in rat hepatocytes
5DD2677F	K-tree: a height balanced tree structured vector quantizer
7F1111C3	Grain classification using hierarchical clustering and self-adaptive neural network
7CEC69EB	Maximum-likelihood parameter estimation for image ringing-artifact removal
7B5EDBEF	Gene expression signature characterizing cyclin E protein overexpression in primary breast tumors
6C6E8A43	Dynamical Search for Substructures in Galaxy Clusters, A Hierarchical Clustering Method
78EC10CB	Effects of precipitation patterns and temperature trends on soil water available for vineyards in a Mediterranean climate area
5CCE4BEF	Hierarchical clustering algorithm based on mobility in mobile ad hoc networks
80C86799	Mapping Rules Based Data Mining for Effective Decision Support Application
7CD0A7F9	Gene expression profiling in chronic inflammatory demyelinating polyneuropathy
7622B077	Hierarchical classification of mathematical structures
7F351EBE	Spatial variability and source identification of rural precipitation chemistry in France
7CC719E6	Asian currency union? An investigation into China’s membership with other Asian countries
7688BA6D	The identification of stages in diachronic data: variability-based neighbour clustering
7E441105	Key Point Based Data Analysis Technique
79B8EFB3	Signatures of Hierarchical Clustering in Dark Matter Detection Experiments
5D05D46A	Modeling a Regulatory Network Using Temporal Gene Expression Data: Why and How?
03C1482E	Snow depth estimation, structure, prediction, and hydrologic modeling at the kilometer scale in the Colorado Rocky Mountains
7B3DA8C6	15 N / 14 N isotopic ratio and statistical analysis: an efficient way of linking seized Ecstasy tablets
771B1F77	A cluster analysis of precompetitive anxiety: Relationship with perfectionism and trait anxiety
75D99A04	Organochlorine Pesticides in the Sediment Core of Gwangyang Bay, South Korea
7C44C3A3	Discovery of commonly existing anode biofilm microbes in two different wastewater treatment MFCs using FLX Titanium pyrosequencing
7FC91B39	Trade Integration between Eastern and Western Europe: Politics Follows the Market
78CC2EAA	Irradiated and Bent Jets in the Orion Nebula
7C3A22B4	Substrate type determines metagenomic profiles from diverse chemical habitats.
78791B10	Hierarchical summarization techniques for network traffic
6F8DA38A	Hydrodynamics of structure formation in the early Universe
58BE6FAE	The source identification and classification study of soot after combustion
78D4B1F7	A Hierarchical Multi-Parent Cluster-Based Data Aggregation Framework for WSNs
05FC928A	Regi�es pluviometricamente homog�neas no Brasil
76D19983	Aerosol time-of-flight mass spectrometry data analysis: A benchmark of clustering algorithms
7F89D043	Locus of Control Measures among American Indians Cluster Structure Analytic Characteristics
7AEE83AA	Parameter Regionalization of Semi-Distributed Runoff Model Using Multivariate Statistical Analysis
813A50B8	Comparative Pathway Analyzer—a web server for comparative analysis, clustering and visualization of metabolic networks in multiple organisms
77DB82C9	A Study on Eco-Hydrology Regionalization and Its Application
59F95ED8	Shape Representation and Classification Using Boundary Radius Function
76BAADDC	Diet and risk of inflammatory bowel disease
7F328CE4	Identifying protein complexes from heterogeneous biological data
799BE907	Global transcriptional profiles of beating clusters derived from human induced pluripotent stem cells and embryonic stem cells are highly similar
5C02A603	Gene expression profiles associated with survival of individual rat dentate cells after endogenous corticosteroid deprivation
7A43F542	Financial distress, financial constraint and investment decision: Evidence from Brazil
7B018C9C	Unsupervised statistical identification of genomic islands using oligonucleotide distributions with application to Vibrio genomes
767F691D	Equivocal impact of transplacental and lactational exposure to a food-derived carcinogen, 2-amino-1-methyl-6-phenylimidazo[4,5-b]pyridine, on prostate and colon lesion development in F344 rats
75C09783	Hydraulic flow units, depositional facies and pore type of Kangan and Dalan Formations, South Pars Gas Field, Iran
5CA904A9	Correlation analysis of binary similarity and dissimilarity measures
77379EF8	Segmenting Student Markets with a Student Satisfaction and Priorities Survey.
04EE5E41	USING CONTEXT AND FUZZY RELATIONS TO INTERPRET MULTIMEDIA CONTENT
6C2FA2B9	Chemometric methods to classify stationary phases for achiral packed column supercritical fluid chromatography
7E4FD6F3	Statistical analysis of human visual impressions on morphological image manipulation of gray scale textures
7758DD72	The Cloud@Home Resource Management System
2FC366C4	A clustering approach in sensor network time synchronization
7C1CE162	STRUCTURE OF DARK MATTER HALOS FROM HIERARCHICAL CLUSTERING. III. SHALLOWING OF THE INNER CUSP
79B64236	A method for testing drought tolerance in Fragaria based on fast screening for water deficit response and use of associated AFLP and EST candidate gene markers
78DBF9FB	Multidimensional Scaling Analysis in the Determination of Hotel Quality Dimensions–Patagonia, Argentina
0223EC15	SEM-EDX Characterisation of Tropospheric Aerosols in the Negev Desert (Israel)
7E6CA02F	CoPub Mapper: mining MEDLINE based on search term co-publication
84EC7135	Discovery of Damage Patterns in Fuel Cell and Earthquake Occurrence Patterns by Co-Occurring Cluster Mining
733E24CD	Vertex partitioning of a class of digraphs
759CDE23	Establishment of Element Fingerprint and Multielement Analysis of Fritillaria thunbergii by Inductively Coupled Plasma Optical Emission Spectrometry
84B6722C	Hydrogeochemical approach to estimate the quality of bottled waters in Serbia
77CA65A2	Trajectory clustering in road network environment
7D79AF8E	Toward A Discriminative Codebook: Codeword Selection across Multi-resolution
5C4329E6	The Pathological-numeric Codification of Public Hospitals in Portugal: Implementation of Mechanisms to Support the Assessment Process of Hospital Clinical Records and their Relationship with Funding
8031FF77	Customer Segmentation Based on a Novel Hierarchical Clustering Algorithm
65C0D653	利用WordNet 判斷字詞包含關係─ 應用於動態階層文件分群
7AD4795C	Expression profiling by whole-genome microarray hybridization reveals differential gene expression in breast cancer cell lines after lycopene exposure
7D61AA3D	Efficient multi-stage system for unsupervised classification and its application of KOMPSAT-I imagery
789A683E	Gravitational Waves from Supermassive Black Hole Coalescence in a Hierarchical Galaxy Formation Model
5E035C29	The analysis of large scale data taken from the world groundnut (Arachis hypogaea L.) germplasm collection I. Two-way quantitative data
7AAE4944	Patterns of information services on hotel websites: the case of Greece.
7B57FD6F	QUICLSTR: A FORTRAN program for hierarchical cluster analysis with large numbers of subjects
7A6EBBFC	Unsupervised Relation Disambiguation with Order Identification Capabilities
00ED1E73	Exploiting Recommended Usage Metadata: Exploratory Analyses
7EC36B0E	Phenotypic Heterogeneity of Streptococcus mutans in Dentin
81586346	Performance of a Hierarchical Cluster-Based Wireless Sensor Network
803D832E	Sketch-Based Spatial Queries for Retrieving Human Locomotion Patterns From Continuously Archived GPS Data
76A967BE	A quantitative PCR method to detect blood microRNAs associated with tumorigenesis in transgenic mice
63A20E13	A Model for the Formation and Evolution of Cosmological Halos
77AD1A07	Classification of Macedonian early bronze age ceramics using their various chemical and technological features
5AB18222	Finding Semantically Related Words in Large Corpora
788FEB69	The competitive position of Shanghai in the Asia-Pacific region: a comparative study
7D8DA940	Dietary protein modifies hepatic gene expression associated with oxidative stress responsiveness in growing pigs
06164BCC	Unsupervised clustering with growing self-organizing neural network - a comparison with non-neural approach
837AAC30	Selection of Cluster Hierarchy Depth in Hierarchical Clustering using K-Means Algorithm
7EB0BA56	Population substructure, local density, and calf winter survival in red deer (Cervus elaphus)
78C7997F	Optimized participation of multiple fusion functions in consensus creation: An evolutionary approach
7EBFC8F2	Winter stemflow leaching of nutrient-ions from deciduous canopy trees in relation to meteorological conditions
77DE1BCC	The impact of decision-maker's identity on SME internationalisation: Do origins matter?
78453D88	An automated industrial conveyor belt system using image processing and hierarchical clustering for classifying marble slabs
76CF9714	HLA DRB1* and DQB1* allelic diversity among nadars: A primitive South Indian Dravidian caste group
7F5135BA	DNA Amplicons using Arbitrary Primers Distinguish Polymorphic Loci Among Mangrove Thraustochytrid Genomes
7714CDF7	A distinct phenotype characterizes tumors from a putative genetic trait involving chondrosarcoma and breast cancer occurring in the same patient
8143D464	VISUAL STATISTICAL CLASSIFICATION OF As Fe-RICH PRODUCTS OF ALTERATION OF TAILINGS FROM THE ENGUIALES TUNSGTEN MINE, FRANCE
76ED61B3	Segmenting Irish Food Consumers Using the Food-Related Lifestyle Instrument
78A37BE9	Characterization and comparison of the chromatographic performance of different types of reversed-phase stationary phases
80D87D25	Functional classification of genes using semantic distance and fuzzy clustering approach: evaluation with reference sets and overlap analysis
5E6ADD3F	Cov-HGMEM: an improved hierarchical clustering algorithm
58B5E0AA	Consumers' load profile determination based on different classification methods
7B826918	Les « arbres empilés »: une nouvelle approche pour la visualisation des grands dendrogrammes
7EF88D0D	Identification of Novel Functional Inhibitors of Acid Sphingomyelinase
78C4E80C	Morphological composition of z ~ 0.4 groups: the site of S0 formation
80F49AC9	Identification of Bacillus anthracis by Using Matrix-Assisted Laser Desorption Ionization-Time of Flight Mass Spectrometry and Artificial Neural Networks
7BC3698E	Cluster Analysis of Patient Reported Psychotherapy Outcomes
76958C32	Cluster analysis of the dermal permeability and stratum corneum/solvent partitioning of ten chemicals in twenty-four chemical mixtures in porcine skin
78704D3E	A multiseed non-hierarchical clustering technique for data analysis
7D7CD160	Dynamic Multi-level Hierarchal Clustering Approach for Wireless Sensor Networks
7C460BDC	SNPs and entropy based hierarchical clustering method for genetic phylogeny analysis
6EE9651A	A novel multi-clustering method for hierarchical clusterings based on boosting
7973AF75	The Lyman-Alpha Forest in the Cold Dark Matter Model
7D081CFC	Quality control assessment of polyherbal formulation based on a quantitative determination multimarker approach by ultra high performance liquid chromatography with tandem mass spectrometry using polarity switching combined with multivariate analysis
80004635	Analysis of Deputy and Party Similarities through Hierarchical Clustering
77228888	Quantum chemical and statistical study of megazol‐derived compounds with trypanocidal activity
0E8D75DA	A Model Prediction of X-Ray Luminosity and Temperature Function of Galaxy Clusters Considering the Formation Epoch Distribution
7FAFD371	Social-ecological and regional adaptation of agrobiodiversity management across a global set of research regions
7DA61450	High Quality Visualization of Biochemical Pathways in BioPath
806F73EE	Profiling Gene Expression Ratios of Paired Cancerous and Normal Tissue Predicts Relapse of Esophageal Squamous Cell Carcinoma
5BBE7A90	Euro area banking sector integration: using hierarchical cluster analysis techniques
6E8FD74C	Real-time image filtering: from optimal neuron evolution to vector quadratic programming
77940553	Clustering of Lyman Break Galaxies at z=4 and 5 in The Subaru Deep Field: Luminosity Dependence of The Correlation Function Slope
0B255EBD	HIERARCHICAL CLUSTERED OUTLIER DETECTION IN LASER SCANNER POINT CLOUDS
8029CCAD	Instrumentation-based music similarity using sparse representations
73BFA961	Video Content-Based Bit Rate Estimation Scheme for Transcoding in IPTV Services
7A56035B	Identifying the Former Contents of Late Precontact Period Pottery Vessels from Western Canada using Gas Chromatography
7C2D9FB1	Hierarchical data clustering approach for segmenting colored three-dimensional point clouds of building interiors
77CE6E23	Developmental gene expression profiles of the human pathogen Schistosoma japonicum
79D579A8	Efficient interactive agglomerative hierarchical clustering algorithm for hyperspectral image processing
779AC838	Measuring symbolic boundaries among artists
7539EC7D	Emerging adult outcomes of adolescent psychiatric and substance use disorders
5CA1558B	Comparative morphometric study and relationships between the Caucasian species of wild pear ( Pyrus
760885F9	Proteomics and bioinformatics analysis reveal underlying pathways of infection associated histologic chorioamnionitis in pPROM
77F1B87C	Efficient search of lightcuts by spatial clustering
77B9038D	Impact of rhizobial inoculants on rhizosphere bacterial communities of three medicinal legumes assessed by denaturing gradient gel electrophoresis (DGGE)
19C83205	Does hierarchical cluster analysis perform better than Twinspan?: a comparative study using field and simulated data sets with nestedness of species composition
7A3B2FBF	Searching and Browsing Tag Spaces Using the Semantic Tag Clustering Search Framework
5F2147C8	Optimization for allocating BEV recharging stations in urban areas by using hierarchical clustering
0A57B589	Building lexical representations dynamically using arti cial neural networks
5D499B8D	A Scalable Hierarchical Algorithm for Unsupervised Clustering
5C81463C	Established Clustering Procedures for Network Analysis
7C498494	Assessment of agricultural modernization level in Zhejiang using SPSS software
7F9E0197	Gene expression subtraction of non-cancerous lung from smokers and non-smokers with adenocarcinoma, as a predictor for smokers developing lung cancer.
768E46B8	Transient process of cortical activity during Necker cube perception: from local clusters to global synchrony
5AB5B631	Formation Rate of Bound Objects in the Hierarchical Clustering Model
76ACFEFC	Peptides derived from type I thrombospondin repeat-containing proteins of the CCN family inhibit proliferation and migration of endothelial cells.
77AF0419	Single-grain post-IR IRSL signals of K-feldspars from alluvial fan deposits in Baja California Sur, Mexico
7B3EBA1D	New hierarchical model using SOM improves accuracy of classifiers for multiclass data sets
7C031C9B	A robust method for investigating galactic evolution in the submillimetre waveband -- II. The submillimetre background and source counts
7D5CD0A1	Visualization of hierarchical structure of multispectral remote sensing data
7A9823AF	Behaviour Profiles within a Population of 145 Children with Autism Using the Behaviour Summarized Evaluation Scale: Influence of Developmental Age
061959B3	IMPLEMENTASI HIERARCHICAL CLUSTERING MENGGUNAKAN TEKNIK CENTROID LINKAGE DAN AVERAGE LINKAGE PADA TRAVELING SALESMAN PROBLEM (TSP) SECARA HEURISTIK
7C3DE790	Optimization-Based Model Fitting for Latent Class and Latent Profile Analyses
14CADE90	Affordable Homes Programme
7715187F	Revealing Density-Based Clustering Structure from the Core-Connected Tree of a Network
806F473E	From Policy Preferences to Partisan Support: A Quantitative Assessment of Political Culture in South Dakota
687ECA60	A Cluster-Based Technique to Group Random Effects from Empirical BLUPs
7CE2171A	Arsenic-induced gene expression changes in the neural tube of folate transport defective mouse embryos.
75404C8A	Building multi-way decision trees with numerical attributes
7D631FF5	Spatial Similarity Based Stroke Number and Order Free Clustering
0452C3C0	Hierarchical clustering with improved p system
7C318345	Comparison of Biomaterials from Essential Oils in Five Parts of Magnolia sieboldii
7C30DE70	Reversed-phase liquid chromatography column testing and classification: Physicochemical interpretation based on a wide set of stationary phases
781DD50B	Instrument development and evaluation for measuring USA apparel product design attributes
765DCBF7	Three-way models and detection capability of a gas chromatography–mass spectrometry method for the determination of clenbuterol in several biological matrices: the 2002/657/EC European Decision
7E6BBE12	A Hierarchical Fuzzy System with Automatical Rule Extraction
7797F83F	Variation of stress field in the source region around a strong shock: an example
7D592C35	Spatial Locality of Galaxy Correlation Function in Phase Space: Samples from the 2MASS Extended Source Catalog
61596A36	Lexical growth, entropy and the benefits of networking
80C24F9A	Gene expression profiling of resting and activated vascular smooth muscle cells by serial analysis of gene expression and clustering analysis
586E47D0	Testing Higher-Order Lagrangian Perturbation Theory Against Numerical Simulations - 1. Pancake Models
771E24D1	Estimating the Number of Clusters via the GUD Statistic
