7E0FCFAB	Optimal smoothing for trend removal in short term electricity demand forecasting
7D53413E	Support vector machine based conformal predictors for risk of complications following a coronary Drug Eluting Stent procedure
7893F583	Factors influencing guanaco distribution in southern Argentine Patagonia and implications for its sustainable use
7EF249A6	CORAL off-line: an object-oriented tool for optimal control of sewer networks
7F76A586	The kink-related excess low-frequency noise in silicon-on-insulator MOST's
76FD2BCE	Dynamic range and intensity discrimination with high-rate pulse-train carriers: predictions from a stochastic model and comparison with performance for noise-modulated pulse-train stimuli
7C4E1882	Prediction in financial markets: The case for small disjuncts
764C20A2	Prediction of coagulation properties, titratable acidity, and pH of bovine milk using mid-infrared spectroscopy
809B3BFC	Orthogonal defect classification-a concept for in-process measurements
7A675A21	Predictive modeling for wastewater applications: Linear and nonlinear approaches
812975A0	A predictive modelling technique for human population distribution and abundance estimation using remote-sensing and geospatial data in a rural mountainous area in Kenya
7F829621	A decentralized algorithm for robust constrained model predictive control
7B1C5CDC	Postprandial glucose improves the risk prediction of cardiovascular death beyond the metabolic syndrome in the nondiabetic population.
7DAF3C5C	Linear Tracking for a Fixed-Wing UAV Using Nonlinear Model Predictive Control
8032B98D	A study of the reduction of the regional aggregated wind power forecast error by spatial smoothing effects in the Maritime Canada
789476CE	All about KRAS for clinical oncology practice: Gene profile, clinical implications and laboratory recommendations for somatic mutational testing in colorectal cancer
7D1E33B8	Using adaptive linear prediction to support real-time VBR video under RCBR network service model
7CF01F1F	Bus Travel Time Prediction Based on Relevance Vector Machine
7C106933	Use of the generalized z -value concept to study the effects of temperature, NaCl concentration and pH on Pichia anomala , a yeast related to table olive fermentation
7921F5A6	Supervisory nonlinear MPC for emergency voltage control using pattern search
7D1C3E27	A comparison of software effort prediction models using small datasets
78A76B14	Data Science, Predictive Analytics, and Big Data in Supply Chain Management: Current State and Future Potential
019B77E6	A Decision Theoretic Framework for Ranking using Implicit Feedback
81104749	Study on the Traffic Flow Guidance Model of Expressway Based on Data Fusion
7E8DEF87	A Fuzzy Neural Network Approach for Die Yield Prediction of Wafer Fabrication Line
7DC5385A	Adaptive Volterra-Laguerre modelling for NMPC
5E1C0E6C	Multistep Wind Power Forecast Using Mean Trend Detector and Mathematical Morphology-Based Local Predictor
7F5C7AFB	Short term hourly forecasting of gas consumption using neural networks
7549A3F7	Predicting Patient Outcomes, Futility, and Resource Utilization in the Intensive Care Unit: The Role of Severity Scoring Systems and General Outcome Prediction Models
7FFF1C09	Hot-carrier-reliability design rules for translating device degradation to CMOS digital circuit degradation
7E25778E	MIMO channel characterization through ray tracing simulation
80F3AC25	Predictive functional control and stability analysis of MIMO bilinear systems
7E2C1AD4	Trajectory planning for a quadrotor helicopter
7EF16852	Inference of functional connectivity from direct and indirect structural brain connections
6BC098F9	Ensemble Methods in Supervised Learning
7FB27695	Combined genetic algorithm optimization and regularized orthogonal least squares learning for radial basis function networks
7D300B0E	Active motor babbling for sensorimotor learning
810A4255	Modeling Workload Impact in Multiple Unmanned Vehicle Supervisory Control
80EEF450	A simple approach to SEU cross section evaluation [semiconductor memories]
7569E89A	Estimating Interval of the Number of Errors for Embedded Software Development Projects
7EBB19B8	Motion prediction of moving objects based on autoregressive model
7D4E6793	Motives and Barriers Affecting the Use of Mobile Data Services
7721C65C	Four best practices of load forecasting for electric cooperatives
76933D4A	Capacidad predictiva del modelo BCRAPro frente al profesional de enfermería en la selección de candidatos a estudio genético de cáncer de mama u ovario hereditario
809406AE	A Validated Prediction Model for All Forms of Acute Coronary Syndrome: Estimating the Risk of 6-Month Postdischarge Death in an International Registry
7EEC3FA9	Estimating land surface energy and water fluxes by using the Land Data Assimilation System developed at the university of Tokyo (LDASUT)
797E62A7	Region of influence method improves macroinvertebrate predictive models in Maryland
7FB9FD24	The use of AUSRIVAS predictive models to assess the response of lotic macroinvertebrates to dams in south‐east Australia
81486971	Enhancing Battery Efficiency for Pervasive Health-Monitoring Systems Based on Electronic Textiles
7A6BBDEF	Practical development of an Eclipse-based software fault prediction tool using Naive Bayes algorithm
64EF52A1	LSER model for organic compounds adsorption by single-walled carbon nanotubes: Comparison with multi-walled carbon nanotubes and activated carbon.
7F44D367	Speed Control for PMSM Servo System Using Predictive Functional Control and Extended State Observer
822B06ED	How should we estimate a missing exam score?
76C7383F	Genetic algorithm-least squares support vector regression based predicting and optimizing model on carbon fiber composite integrated conductivity
7D1D19B2	Potential Impact of Value Prediction on Communication in Many-Core Architectures
8140D76F	A strategy for health surveillance in laboratory animal workers exposed to high molecular weight allergens
808C98AD	Cross-Platform Performance Prediction of Parallel Applications Using Partial Execution
7CE19CB4	Thread mapping using system-level throughput prediction model for shared memory multicores
7C9E88EF	Calendar-based short-term forecasting of daily average electricity demand
79C447AE	Performance of in-hospital mortality prediction models for acute hospitalization: Hospital Standardized Mortality Ratio in Japan
802E625A	Evaluating the manufacturability of GaAs/AlGaAs multiple quantum well avalanche photodiodes using neural networks
7745CF3F	ANALYSIS AND PREDICTION OF FLOW FROM LOCAL SOURCE IN A RIVER BASIN USING A NEURO-FUZZY MODELLING TOOL
7DB16059	A new dual-material double-gate (DMDG) nanoscale SOI MOSFET-two-dimensional analytical modeling and simulation
7EAAF77A	Investigation of surface roughness in turning unidirectional GFRP composites by using RS methodology and ANN
80467988	Through-silicon-via-aware delay and power prediction model for buffered interconnects in 3D ICs
8138F517	Slider Dynamics in the Lubricant-Contact Regime
76063415	Trajectory planning and trajectory tracking of a submarine robot based on minimization of detection capability
7ECA2E5B	Development of Empirical Equations for Metal Trace Failure Prediction of Wafer Level Package Under Board Level Drop Test
75755B01	Equivalences Between Neural-Autoregressive Time Series Models and Fuzzy Systems
81678618	Risk assessment model for first‐cycle chemotherapy‐induced neutropenia in patients with solid tumours
5BD4E728	Generalized regression neural network prediction model for indoor environment
7E6693DF	GIS-based quantitative landslide hazard prediction modelling in natural hillslope, Agra Khola watershed, central Nepal
7A021CA3	Fetal weight, maternal age and height are poor predictors of the need for caesarean section for arrest of labor
71B26FCD	TopChurn: Maximum Entropy Churn Prediction Using Topic Models Over Heterogeneous Signals
5C7EB347	Optimization Approach to Depot Location in Car Sharing Systems with Big Data
7E04E291	Interpolation of Lost Speech Segments Using LP-HNM Model With Codebook Post-Processing
7DFB66E5	Fully-automatic derivation of exact program-flow constraints for a tighter worst-case execution-time analysis
77A8D51A	A proposed biochemical mechanism involving hemoglobin for blast overpressure-induced injury
77D28734	Predicting prolonged bovine tuberculosis breakdowns in Great Britain as an aid to control
76BA6720	Optimization of culture parameters for extracellular protease production from a newly isolated Pseudomonas sp. using response surface and artificial neural network models
7F8C10C6	Hybrid Model Predictive Control for Stabilization of Wheeled Mobile Robots Subject to Wheel Slippage
7EF72E34	Application of neural networks to software quality modeling of a very large telecommunications system
7E1F55E0	Probabilistic Model Estimation for Collaborative Filtering Based on Items Attributes
80150CEA	Adaptive data compression for efficient sequential transmission and change updating of remote sensing images
7D8216CF	Model predictive control for nonlinear affine systems based on the simplified dual neural network
7FB9FF99	Modeling the "Effective capacitance" for the RC interconnect of CMOS gates
80228F0A	Economic forecasting based on chaotic optimized support vector machines
7BC2E75C	Experimental study and code predictions of fibre reinforced polymer reinforced concrete (FRP RC) tensile members
80C8A839	Quantifying the benefit of configurability in circuit-switched WDM ring networks
7A8B3148	The discrete element method (DEM) to simulate fruit impact damage during transport and handling: Case study of vibration damage during apple bulk transport
8090E49B	A new model of perceptual threshold functions for application in image compression systems
7B226015	Model prediction of effects of operating parameters on proton exchange membrane fuel cell performance
779FC06A	Exposure assessment of Staphylococcus aureus in Kimbab, a ready-to-eat Korean food
7F4E8AE2	Nonlinear model predictive control of a four tank system: An experimental stability study
7E4A4449	Effect of speculative prefetching on network load in distributed systems
7AB2A601	Predictive Models for Fish Assemblages in Eastern U.S. Streams: Implications for Assessing Biodiversity
7FCBCAE9	Current usage and future development of the Meat Standards Australia (MSA) grading system
7FE42606	Near-lossless image compression: minimum-entropy, constrained-error DPCM
802CE8F8	Play-back buffers in networked control systems: Evaluation and design
7E7AC443	A Multi-level Artificial Neural Network for Gasoline Demand Forecasting of Iran
803B0493	A prediction-driven adaptation approach for self-adaptive sensor networks
793710C6	Symbolic predictive analysis for concurrent programs
7D59D002	Application of moving windows autoregressive quadratic model in runoff forecast
799600BC	Development and validation of regression models to predict monthly heating demand for residential buildings
7FF4D6BC	Flexible Distributed Capacity Allocation and Load Redirect Algorithms for Cloud Systems
739FB6F6	Using PCA to predict customer churn in telecommunication dataset
810BDDA5	Understanding the Value of Software Engineering Technologies
777CF87E	Metabolomics‐driven quantitative analysis of ammonia assimilation in E. coli
7E2B7B31	Stochastic model and simulation of a random number generator circuit
7E6319AF	Multi-partnered heterosexuals' condom use for vaginal sex with their main partner as a function of attitude, subjective norm, partner norm, perceived behavioural control and weighted control beliefs
7FB00200	The impact of wind forecasting in power system reliability
7F987B1A	Prediction of vertical motions for landing operations of UAVs
7E108A1C	Abstraction Augmented Markov Models
7D6E42A5	Software productivity measurement using multiple size measures
7C237435	CRYSTALP2: sequence-based protein crystallization propensity prediction
7E9D1754	Exploring an Information Framework for Consistency Maintenance in Distributed Interactive Applications
7EF58FF5	Prospects for genomic selection in conifer breeding: a simulation study of Cryptomeria japonica
5AC31C61	Chapter 38 Improving the Spatial Prediction of Soils at Local and Regional Levels Through a Better Understanding of Soil-Landscape Relationships: Soil Hydromorphy in the Armorican Massif of Western France
7DF14153	Mining SQL injection and cross site scripting vulnerabilities using hybrid program analysis
804CB35D	Impact of linear regression on time synchronization accuracy and energy consumption for Wireless Sensor Networks
769DB16A	Predictors for neoplastic progression in patients with Barrett's Esophagus: a prospective cohort study
7F0AFD4F	A FPGA implementation of model predictive control
8132C850	Experiments on Stabilizing Receding Horizon Control of Visual Feedback System with Planar Manipulators
7B3B19F1	The science of hypoxia in the Northern Gulf of Mexico: a review.
8012A2AC	Evolving artificial neural networks to combine financial forecasts
80006C97	Toward Cognitive Modeling for Predicting Usability
7801F7D9	Optimizing Personalized Ranking in Recommender Systems with Metadata Awareness
7EA5A54E	Behavior-Based Telecommunication Churn Prediction with Neural Network Approach
815F8F1C	Support vector regression fusion scheme in phone duration modeling
7B31CC00	Traffic safety assessment and development of predictive models for accidents on rural roads in Egypt
79CA8659	Development and evaluation of a predictive model for the effect of temperature and water activity on the growth rate of Vibrio parahaemolyticus
7B447E31	A time-domain physics-of-failure model for the lifetime prediction of wire bond interconnects
82FB4F45	Data-driven subspace-based distributed control and its algorithmic convergence
7A62B614	Autocorrelation offsets zero-inflation in models of tropical saplings density
22F2D4DD	Climate change and floodplain vegetation—future prospects for riparian habitat availability along the Rhine River
7D34F7D2	Accurate EM-Based Modeling of Cascode FETs
793EF2CC	Analog Computer Simulation of Maximum Expiratory Flow Limitation
7C9428E6	A comparison of nonlinear predictive control techniques using neural network models
811F9CC6	A feedback min-max MPC algorithm for LPV systems subject to bounded rates of change of parameters
75A0FD56	DeSpErate++: An Enhanced Design Space Exploration Framework Using Predictive Simulation Scheduling
7E921E1B	Comparative analysis of self organizing maps vs. multilayer perceptron neural networks for short-term load forecasting
7B5213D7	Integrating Archaeological Theory and Predictive Modeling: A Live Report from the Scene
78C08798	Assessing the risks and opportunities of presence‐only data for conservation planning
7E71E5B3	SVM+ regression and multi-task learning
7F2D4247	Performance Evaluation in Grid Computing: A Modeling and Prediction Perspective
8156D470	Statistical learning and software mining for agent based simulation of software evolution
7F4490AD	Stability conditions for decentralized model predictive control under packet drop communication
76BDAD12	An outcome prediction model for patients with clear cell renal cell carcinoma treated with radical nephrectomy based on tumor stage, size, grade and necrosis: the SSIGN score.
76A703A9	Modelling the spatial distribution of plaice ( Pleuronectes platessa ), sole ( Solea solea ) and thornback ray ( Raja clavata ) in UK waters for marine management and planning
80415D94	Neural networks for short-term load forecasting: a review and evaluation
7E7D6B7D	County Level of Basic Public Services Classification Based on Support Vector Machine: Taking Guanzhong Urban Agglomeration as the Example
7A79692D	The effect of program behavior on fault observability
7B494334	Multi-variable retention modelling in reversed-phase high-performance liquid chromatography based on the solvation method: A comparison between curvilinear and artificial neural network regression
7F334AD6	Alpha-power law MOSFET model and its applications to CMOS inverter delay and other formulas
7764A2A5	CRM at a Pay-TV Company: Using Analytical Models to Reduce Customer Attrition by Targeted Marketing for Subscription Services
7DAD547A	Signal detection using the radial basis function coupled map lattice
75192547	Component GARCH Models to Account for Seasonal Patterns and Uncertainties in Travel-Time Prediction
7F6A7629	Effect of temperature, water-phase salt and phenolic contents on Listeria monocytogenes growth rates on cold-smoked salmon and evaluation of secondary models.
800550C6	Predictable time management for real-time distributed simulation
7A499FA5	Some label efficient learning results
78E2CA98	Improving customer retention in financial services using kinship network information
75B8E9A7	Resampling methods for evaluating classification accuracy of wildlife habitat models
7CEE1D52	Prediction of survival in patients with liver cancer using artificial neural networks and classification and regression trees
7A8E355E	VLE predictions with the Peng–Robinson equation of state and temperature dependent kij calculated through a group contribution method
7C7935B6	Exploring conventional tidal prediction schemes for improved coastal numerical forecast modeling
7518C31C	Connecting Peptide Physicochemical and Antimicrobial Properties by a Rational Prediction Model
7F457E38	Enhanced Nadaraya-Watson Kernel Regression: Surface Approximation for Extremely Small Samples
7F2390A9	Multivariable predictive functional control applied to doubly fed induction generator under unbalanced grid voltage conditions
7F708CCE	One-day ahead electric load forecasting with hybrid fuzzy-neural networks
7D4F2DD9	Local Gaussian process regression for real-time model-based robot control
7925CC4A	A spatial model of white sturgeon rearing habitat in the lower Columbia River, USA
7D3F91AD	Advanced studies of selection schemes for dual virtual-metrology outputs
75E2593A	Numerical simulation of sea breeze characteristics observed at tropical coastal site, Kalpakkam
8210FC94	Exploiting Classes of Virtual Machines for Scalable IaaS Cloud Management
7E353D8C	Some recent advances in time series modeling
8078DF18	Short term load forecasting using regime-switching GARCH models
7E482EB4	A new modeling approach for wireless channels with predictable path geometries
7B090138	Exploiting Process Variability in Voltage/Frequency Control
7D9ED136	A novel methodology for virtual qualification of IC packages under board level drop test
7EF82115	Predictive modeling and spatial mapping of fish distributions in small streams of the Canadian Rocky Mountain foothills.(Report)
816C6FCD	Prediction model for high glycated hemoglobin concentration among ethnic Chinese in Taiwan
7FA7F996	Automated generation of analytical process time models for cluster tools in semiconductor manufacturing
7D97561F	HMM-based state prediction for Internet hot topic
809D5C71	Identification of Flux Density Harmonics and Resulting Iron Losses in Induction Machines With Nonsinusoidal Supplies
75461687	First and second order sensitivity analysis of MLP
80325ABF	Load Forecasting Using Hybrid Models
75183D6F	The prediction and diagnosis of wind turbine faults
7C3C89A9	Additional information can enhance validation of tuberculosis isolation prediction model.
7E19E081	The effective permeability of granular thin films
80B70300	Long-term memory motion-compensated prediction
809628D8	Underactuated point stabilization using predictive models with application to marine vehicles
7725C817	Growth modelling of Listeria monocytogenes in packaged fresh green asparagus.
7F15C009	Spatial macroscopic models of a bio-inspired robotic swarm algorithm
7BCD482B	Prediction of surface microtrenching by using neural network
7B467BB8	Logistic regression model for predicting the failure probability of a landslide dam
7E67AD0C	Predicting Defect Content and Quality Assurance Effectiveness by Combining Expert Judgment and Defect Data - A Case Study
7F718050	Adding Hyperuricemia to Traditional Cardiac Risk Factors Does Not Improve Ability to Predict Cardiac or Total Death in the Asymptomatic Taiwanese General Population
7EADD0D4	Nonlinear model structure detection using optimum experimental design and orthogonal least squares
7A745487	Can neonatal sepsis be predicted in late preterm premature rupture of membranes? Development of a prediction model
5DB2B07C	Using Random Forests to Provide Predicted Species Distribution Maps as a Metric for Ecological Inventory & Monitoring Programs
796CD192	Wind speed forecasting based on Time series - Adaptive Kalman filtering algorithm
7F849BF7	Improving neural networks prediction using fuzzy-genetic model
75C2CAA0	Assessing a predictive model of land change using uncertain data
7741B130	Aircraft interior noise models: Sidewall trim, stiffened structures, and cabin acoustics with floor partition
8047E77C	A collision-free navigation scheme in the presence of moving obstacles
7580EF8E	Is it possible to forecast the grain quality and yield of different varieties of winter wheat from Minolta SPAD meter measurements?
7E6BE1B0	Building effective defect-prediction models in practice
7F54C799	Infinite-horizon model predictive control with structured input signals
7E7606D8	Delay Compensation in Model Predictive Current Control of a Three-Phase Inverter
7D67F710	A power transformers' predictive overload system based on a Takagi-Sugeno-Kang fuzzy model
5BF6D48F	Predictive Modeling for Comfortable Death Outcome Using Electronic Health Records
7A3CB5EB	A variant of particle filtering using historic datasets for tracking complex geospatial phenomena
7FC06830	Modelling tree diversity in a highly fragmented tropical montane landscape
0452EAD8	Comparing Feature-Based Models of Harmony
7C47DE5C	Error criteria for cross validation in the context of chaotic time series prediction
7B717833	Development and evaluation of predictive models for measuring the biological integrity of streams
7CC99384	Pricing crowdsourcing-based software development tasks
7A02EDFC	A Survey of Performance Modeling and Simulation Techniques for Accelerator-Based Computing
7ECC6464	A Review on Task Performance Prediction in Multi-core Based Systems
7993DAB7	Predicting the chance of vaginal delivery after one cesarean section: validation and elaboration of a published prediction model
7DBC2806	Anytime learning of anycost classifiers
76FBAFBF	Springback prediction for sheet metal forming based on GA-ANN technology
7D8C3AF9	Cold-water coral reef frameworks, megafaunal communities and evidence for coral carbonate mounds on the Hatton Bank, north east Atlantic
7D70E4A2	A neural-network approach to recognize defect spatial pattern in semiconductor fabrication
023388F3	Statistical approaches for modeling in microbial source tracking
756137EC	System design using an integrated specification and performance modeling methodology
7CF22638	Generative and Discriminative Methods Using Morphological Information for Sentence Segmentation of Turkish
7ED18A2C	Modeling Electromagnetic Emissions From Printed Circuit Boards in Closed Environments Using Equivalent Dipoles
80EE7AAF	Prediction of fading envelopes with diffuse spectra
81726904	Mathematical modeling of SF/sub 6/ puffer circuit breakers. II. Current zero region
7E4956C7	An improved cutting force and surface topography prediction model in end milling
7F6F7D99	A Data-Based Nested LUT Model for RF Power Amplifiers Exhibiting Memory Effects
7D5F905F	Data mining for short-term load forecasting
7DEB6314	Physical CAD model for high-voltage IGBTs based on lumped-charge approach
802D51B2	Towards an Automated Analysis of Neuroleptics' Impact on Human Hand Motor Skills
798B21B6	The role of the diagnostic areas in the assessment of landslide susceptibility models: a test in the sicilian chain
7D0B546A	Distributed Diagnosis Under Bounded-Delay Communication of Immediately Forwarded Local Observations
7FACFE4C	Complete Monte Carlo model description of lumped-element RSFQ logic circuits
7ED15576	Singular pencil model-based predictive control strategy
8150AD70	Analysis and evaluation of five short-term load forecasting techniques
79475240	Learning analytics: envisioning a research discipline and a domain of practice
7FA390B9	Nonlinear Predictive GMV control
8019BDF3	VTE Risk assessment – a prognostic Model: BATER Cohort Study of young women
7DC5897B	Predictive strategy to reduce common-mode voltages on power converters
77A77F75	Integration and synchronization of input modes during multimodal human-computer interaction
78CCA9E8	A popularity-based prediction model for Web prefetching
81620ADA	Generalized Additive Models from a Neural Network Perspective
752D4A5D	Prediction of tool life in end milling by response surface methodology
8109D2A1	Subjective experiment and modeling of whole frame packet loss visibility for H.264
5956F8C8	Boundary effects on multiplication noise in thin heterostructure avalanche photodiodes: theory and experiment [Al/sub 0.6/Ga/sub 0.4/As/GaAs]
7FAEED6A	Model predictive control of uncertain continuous-time systems with piecewise constant control input: A convex approach
7EE54C20	A mobility model including the screening effect in MOS inversion layer
7ECC8A18	Confidence assessment of quality prediction from process measurement in sequential manufacturing processes
7D9CB94A	An expanded risk prediction model for lung cancer.
7F28DEF1	A fast method to evaluate the optimum number of spares in defect-tolerant integrated circuits
7EE663A1	Use of ARMA predictors in the differential encoding of images
7D1556BB	New physics-based analytic approach to the thin-oxide breakdown statistics
770EF6F1	Modeling Credit Risk for SMEs: Evidence from the US Market
7E6EDE04	Clutter height variation and its effect on frequency dependence of radio path loss
7C71129C	Determination of antioxidant content and antioxidant activity in foods using infrared spectroscopy and chemometrics: a review.
7DF108C5	Using Knowledge and Rule Induction Methods for Enhancing Clinical Diagnosis: Success Stories
7D98D9D3	Exploiting inertia of wind turbines in power network frequency control: A model predictive control approach
754E457C	Prediction of percutaneous absorption from physicochemical data: A model based on data of in vitro experiments
7F41E7BC	Temperature derivative of stress coefficients of SAW resonator frequency from pressure sensor measurements
8169D7ED	SPICE MAGFET model and its application for simulation of magnetically controlled oscillator
806E94CF	Robustness Analysis of Artificial Neural Networks and Support Vector Machine in Making Prediction
7AB1D461	Predictive integration of gene functional similarity and co-expression defines treatment response of endothelial progenitor cells
7FCFF9BD	Projecting software defects from analyzing Ada designs
7E53AE47	Spatial Electric Load Forecasting Using a Local Movement Approach
80F03CB4	A random-field model-based algorithm for anomalous complex image pixel detection
7EF1B50F	A Prediction Framework for Distributed Data Stream Processing
842F31F2	High efficiency Doherty Power Amplifier design using Enhanced Poly-Harmonic Distortion model
806E99F3	The Use of Bayesian Networks for Web Effort Estimation: Further Investigation
7AAF66DD	Predictive modelling of high pressure (≤700MPa)–cold pasteurisation (≤25°C) of Escherichia coli , Yersinia enterocolitica and Listeria monocytogenes in three liquid foods
7BECEA06	The influence of changes to river hydrology on freshwater fish in regulated rivers of the Murray–Darling basin
80C0DFD7	Forecasting spot electricity market prices using time series models
774E453C	Regression trees approach for flow-time prediction in wafer manufacturing processes using constraint-based genetic algorithm
8069AA7F	Deploying Neural-Network-Based Models for Dynamic Pricing in Supply Chain Management
7EFA9393	Fast and efficient lossless image compression
7D981EB4	Soil water infiltration observation with microwave radiometers
807B1499	An experimental study with a Hybrid method for tuning neural network for time series prediction
107DFA39	Multiple regression and inference in ecology and conservation biology: further comments on identifying important predictor variables
7AA9C8F1	Performance of predictive models in marine benthic environments based on predictions of sponge distribution on the Australian continental shelf
7B11E4A8	A predictive geospatial approach for modelling phosphorus concentrations in rivers at the landscape scale
8095ADD7	Autoregressive modeling for fading channel simulation
7E779DBD	Influence of humidity contained in building material on wedge diffraction
7CE9ADC3	Model-based engine fault detection and isolation
7BF7B6CC	Application of the time-predictable model in Peninsular India for future seismic hazard assessment
7F7313AC	Prediction of GTP interacting residues, dipeptides and tripeptides in a protein from its evolutionary information
79615964	Use of nomograms as predictive tools in bladder cancer
8091209A	Combined speed and current Model Predictive Control with inherent field-weakening features for PMSM Drives
7DE5D51A	Estimation of Effective Rain Height at 29 GHz at Amritsar (Tropical Region)
772AF381	Defining sustainability of plantation forests through identification of site quality indicators influencing productivity—A national view for New Zealand
78A13A3F	Distributed Robust Receding Horizon Control for Multivehicle Guidance
811EAB67	Demand forecasting using fuzzy neural computation, with special emphasis on weekend and public holiday forecasting
7AA9E3D0	Experimental evaluation of lesion prediction modelling in the presence of cavitation bubbles: Intended for high-intensity focused ultrasound prostate treatment
80063367	On a Property of a Class of Offset-Free Model Predictive Controllers
7FAB88E2	The Selective Random Subspace Predictor for Traffic Flow Forecasting
7C3F422D	A systematic approach for maintenance budgeting of buildings façades based on predictive and preventive strategies
7FE2D188	Electrical and Thermal Cosimulation of GaAs Interconnects
8004516B	Topic cache language model for speech recognition
77EC6255	Goals and remedial strategies for water quality and wildlife management in a coastal lagoon—A case-study of Ringkøbing Fjord, Denmark
7D133A80	A model predictive control scheme with torque ripple mitigation for permanent magnet motors
59FCF3C5	Short-term traffic predictions on large urban traffic networks: Applications of network-based machine learning models and dynamic traffic assignment models
763BE7EF	Making sense of a complex world [chaotic events modeling]
7D6FD0A3	Adaptive learning of an accurate skin-color model
7E7E27B6	Evaluation of the state-of-the art statistical leakage estimation methods using the BSIM4 transistor model
7AE930BA	Feasibility of using anatomical surrogates for predicting the position of lung tumours
7E7BD6E1	Experience from replicating empirical studies on prediction models
7536F31D	An artificial neural network for predicting the friction coefficient of deposited Cr1-xAlxC films
7655E0AA	Varying-Gain Modeling and Advanced DMPC Control of an AFM System
7F52EF06	Dynamic behavioral modeling of 3G power amplifiers using real-valued time-delay neural networks
7C77138A	Modeling and simulation of Streptomyces peucetius var. caesius N47 cultivation and ɛ-rhodomycinone production with kinetic equations and neural networks
7FFD7FCD	Modeling of dimensional errors in slender bar turning using artificial neural networks
79AE97B0	Comparison of regression and neural network models for prediction of inspection profiles for aging aircraft
7B207D77	Joint estimation of fatal and injury crash models with controlling for contemporaneous correlation between the disturbance terms
7A8A5B04	A high precision global prediction approach based on local prediction approaches
7B7C0C1D	Everything you always wanted to know about evaluating prediction models (but were too afraid to ask).
7D90DE4C	A rigorous exposition of the LEMMA method for analog and mixed-signal testing
6DAA2AED	Integrating complete-system and user-level performance/power simulators: the SimWattch approach
5F3BDE68	Machine Learning Framework for Classification in Medicine and Biology
7FAFBEE5	A warranty forecasting model based on piecewise statistical distributions and stochastic simulation
797C0FCC	Modeling of External Networks for On-Line Security Analysis
80A06263	Large signal verification of the circuit-oriented smoothie database model for LDMOS devices
7C82FD01	A Pilot Test of the Effect of Guided Care on the Quality of Primary Care Experiences for Multimorbid Older Adults
75D48B23	Model-based imitation learning by probabilistic trajectory matching
7F77AC46	Fuzzy modelling using a new compact fuzzy system: A special application to the prediction of the mechanical properties of alloy steels
805FEB6D	ACTS propagation experiment: attenuation distribution observations and prediction model comparisons
7A2A7B1D	The use of LS-SVM for short-term passenger flow prediction
7D3A9ABE	Spatial Based Feature Generation for Machine Learning Based Optimization Compilation
7F6669F6	Forecasting the electrical energy price in Iran power market: A comparison between single and multi hour models
788DF67F	A new indirect multi-step-ahead prediction model for a long-term hydrologic prediction
7819B73D	Application of the predictable model of regional time-magnitude to North and Southwest China region
81684742	MSE-based regularization approach to direction estimation of coherent narrowband signals using linear prediction
80EFA917	Incidence and prediction of permanent neurological deficits after cardiac surgery — are the existing models of prediction truly global?
7C3627F6	'Rocha' pear firmness predicted by a Vis/NIR segmented model.
7C1B5EF1	Validating a Predictive Model for Presence of Additional Disease in the Non–Sentinel Lymph Nodes of a Woman with Sentinel Node Positive Breast Cancer
80B33D1B	A Complex Space Vector Approach to Rotor Temperature Estimation for Line-Connected Induction Machines With Impaired Cooling
7D8C1500	Spontaneous emission, scattering, and the spectral properties of semiconductor diode lasers
7E96E39C	Model the Relationship Between Gene Expression and TFBSs Using a Simplified Neural Network with Bayesian Variable Selection
7F48E1E8	Prediction model for knee osteoarthritis based on genetic and clinical information
7F72FF4F	Kalman filter based Variable Bit Rate video frame size prediction
7EE17032	Speech analysis by estimating perceptually relevant pole locations
80997107	Representation and control of the cold rolling process through artificial neural networks via sensitivity factors
8192B18E	Application Modeling for Scalable Simulation of Massively Parallel Systems
7D8CDD58	Predictive learning with structured (grouped) data
7FA4E08D	Effects of temperature and defects on breakdown lifetime of thin SiO/sub 2/ at very low voltages
807D60C5	Modular robust model predictive control
7E823993	A study on the structure of asymmetric volatility in load series
81F8AD5D	An Instruction Throughput Model of Superscalar Processors
78C967A5	Relationship between mild cognitive impairment and falls in older people with and without Parkinson's disease: 1-Year Prospective Cohort Study
8011FE52	Squirrel-Cage Induction Motor Parameter Estimation Using a Variable Frequency Test
800F2B96	Maximum Power Point Tracking in a One-Cycle-Controlled Single-Stage Photovoltaic Inverter
80486EE3	Reliability analysis in N-version programming with dependent failures
79488706	Information fusion with dempster-shafer evidence theory for software defect prediction
76D55BDE	Novel method for tracking the resonance frequency of RLC loads using extended kalman filter
781E0479	Evaluation of prediction models for marketing campaigns
7F45B318	Community-Based, Macrolevel Collision Prediction Model Use with a Regional Transportation Plan
7A93862A	Toward a projection model for estimation of end of life aircrafts
80BC6261	Coverage Prediction in Urban Environments for Inter-System Mobility Simulations
8130D90E	Prediction for silicon content in molten iron using unsupervised optimal fuzzy clustering
7FB915C7	Prediction models for the flash point of pure components
7D0C06E6	A complete and accurate analytical model for 802.11e EDCA under saturation conditions
8165A6D1	Jitter Analysis of Nonautonomous MOS Current-Mode Logic Circuits
7985EAA7	Time-Domain Model for Injection Locking in Nonharmonic Oscillators
77466E78	Reliability Modeling Using SHARPE
7D9DFC10	Calculation of heavy ion induced leakage current in n-MOSFETs
81465728	Early Software Fault Prediction Using Real Time Defect Data
