7632557C	Information not present<---Quality of service provision under channel fading
806D2AC3	Archives Des Maladies Professionnelles Et De L Environnement<---Forward link effective throughput in terms of SINR stochastic behaviors in 3G TDD WCDMA cellular systems
5E0F2122	Information not present<---CMOS RFIC ARCHITECTURES FOR IEEE 802.15.4 NETWORKS
810AF06F	Global Communications Conference<---An Integrated Load Balancing Scheme for Future Wireless Networks
7DC3D920	International Conference on Communications<---Adaptive Random Network Coding in WiMAX
5B108C32	Information not present<---Cross-layer design of network-coded transmission with a delay constraint
7E818CFD	Optical Switching and Networking<---Design methodology for WDM backbone networks using FWM-aware heuristic algorithm
7C8D5BC3	Information not present<---The research and design of content-based network monitor system
806B2096	Local Computer Networks<---Multiaccess ATM network for residential and small business subscribers
78BA59AD	International Conference on Information Networking<---Joint Transmission and Detection in Hexagonal Grid for 3GPP LTE
7C9F5D1C	Information not present<---Spectrum sensing and throughput performance in opportunistic spectrum access system
7FB378CC	Information not present<---Physical layer network security based on optical processing using compact passive devices
7F2FD2C8	Information not present<---Design of a Multi-middleware Bridge for Supporting Interoperability in Home Network Environments
76853F1C	Wireless Personal Communications<---Energy consumption of the IEEE Std 802.15.3 MAC protocol in communication link set-up over UWB radio technology
7DCD8F8B	Wireless Communications and Networking Conference<---Optimal channel utilization ratio in ad hoc wireless networks
7F679D1E	International Symposium on Wireless Communication Systems<---A multipath AODV routing protocol in mobile ad hoc networks with SINR-based route selection
76B2BFFA	Wireless Personal Communications<---The Effect of On-Off Scheduling to the Required Transmit Power in Systems with Fast Power Control
802D37F9	International Conference on Networking, Sensing and Control<---A cross-layer design of clustering architecture for wireless sensor networks
630DA405	Clinical Orthopaedics and Related Research<---Performance Evaluation of Wimax Physical Layer under Adaptive Modulation Techniques and Communication Channels
807E8B67	International Conference on Computer Communications<---How Many Packets Can We Encode? - An Analysis of Practical Wireless Network Coding
77E27467	Wireless Communications and Networking Conference<---Cross-Layer Optimization for Wireless Mesh Networks with Multi-Antenna Beam-Forming
5DD153EA	Information not present<---The investigation of a wireless medical homecare data logger
7E7FFDBF	International Conference on Communications<---Code-Grouping of Spectrally Phase Encoded OCDMA based on Walsh-Decomposition of Hadamard Codes
810EEF83	IEEE Transactions on Parallel and Distributed Systems<---Imposed Route Reuse in Ad Hoc Network Routing Protocols Using Structured Peer-to-Peer Overlay Routing
7F97F752	Consumer Communications and Networking Conference<---An Experimental Approach to Spectrum Sensing in Cognitive Radio Networks with Off-the-Shelf IEEE 802.11 Devices
81512D02	Information not present<---Alternative strategies with slot reuse on DQDB networks
00C272C2	Information not present<---Het spel van Van Woensel in Monitor
751D62F9	Wireless Communications and Networking Conference<---Optical-Wireless Integration: Technologies for Physical Layer Networking
8003832C	IEEE Transactions on Applied Superconductivity<---An automatic measurement system of DC SQUID characteristics using a computer control
616239A6	Information not present<---Visual monitoring as an assay technique
7CF2B67D	Information not present<---Modified Adjacent Frequency Coding for Increased Notch Depth in MB-OFDM under DAA/Spectral Sculpting
75D31B46	IEEE Transactions on Communications<---Robustness of Physical Layer Security Primitives Against Attacks on Pseudorandom Generators
7E5DABAF	International Conference on Computer Communications<---Network Utility Maximization and Price-Based Distributed Algorithms for Rate-Reliability Tradeoff
7D83112D	Global Communications Conference<---Position Based Unequal Error Protection for Image Transmission with Energy Constraint over Multirate XPD MIMO Sensor Networks
794DBF76	Applied Mechanics and Materials<---Monitoring Study of Guang'anmen Hospital Outpatient Building Foundation Pit Excavation
7D12E8EE	Iet Communications<---Improving playout rate of streaming service with power efficiency over wireless multihop networks
7DE2214F	IEEE Transactions on Consumer Electronics<---Secure communication in TDS-OFDM system using constellation rotation and noise insertion
7F1A4462	American Control Conference<---ℋ 2 performance bounds for voltage regulation on a spatially-invariant DC power grid
7E964867	IEEE Communications Letters<---Analysis of SIP Transfer Delay in Multi-Rate Wireless Networks
7D903377	International Conference on Communications<---Efficient Algorithms for Non-Realtime Video Multicasting in Wireless Networks
192BF14E	Information not present<---Prístupové siete WiMAX
7FCC0F49	Information not present<---Coastline monitoring with CEBERS 02B HR high-resolution data
7B3247C5	Information not present<---Frame-based modeling for automatic synthesis of FPGA-Software Defined Radio
001EB299	Information not present<---Parallel bus implementations in satellite communications systems
776A9AE2	Information not present<---UPnP Compression Implementation for Building Automation Devices
05A6FDD6	Information not present<---Developing PC-Based Automobile Diagnostic System Based on OBD System
07B535D1	Information not present<---DE_DUST2-MID-B
7AAF119B	IEEE Transactions on Parallel and Distributed Systems<---Modeling and Evaluation of Energy Policies in Green Clouds
7C6C9D50	IEEE\/OSA Journal of Optical Communications and Networking<---Analysis of Blocking Probability in Noise- and Cross-Talk-Impaired All-Optical Networks
7974A080	IEEE Communications Magazine<---VLSI In Communications [Guest Editorial]
7558496F	International Conference on Communications<---The Design of Rate-Compatible LDPC Codes for IR-HARQ Systems over Erasure Channels
09DED639	Information not present<---Elementos a analizar en el proceso de iniciación deportiva
74E1D8C4	Asia Pacific Conference on Circuits and Systems<---An implementation of the 155M physical layer ASIC for ATM network-node interface
7A8A30B5	Wireless Personal Communications<---Signal processing hardware in a radio LAN demonstrator
76817D19	Advanced Materials Research<---The Analysis of the Transmission Signal Measured MIPI D-PHY
5AD3ECB1	International Symposium on Signal Processing and Information Technology<---Robust transmit Wiener filter for time division duplex systems
80B593D4	Local Computer Networks<---IEEE project 802.6 update
772F8087	IEEE Transactions on Communications<---Rate-Distortion-Based Physical Layer Secrecy with Applications to Multimode Fiber
74569AE3	Information not present<---Re-configurable multi-standard terminal for heterogeneous networks
59E25125	Vehicular Technology Conference<---Impact of Multi-Antenna on the Performance of the Ad-Hoc WLAN in a Slow Rayleigh Fading Channel
7DFEC780	International Conference on Computer Communications<---Experimental study of extended HIPPI connections over ATM networks
7F0B4EFD	International Symposium on Information Theory and its Applications<---Reduced-periodicity subspace-based blind adaptive decorrelating and MMSE detectors for multirate CDMA
7A406F56	IEEE Wireless Communications<---Medium access control protocols for wireless LANs [Guest Editorial]
80B9E7F0	International Conference on Computer Communications and Networks<---Algorithms for Communication in Wireless multi-hop ad hoc Networks using Broadcasts in Opportunistic Large Arrays (OLA)
7ED8659E	IEEE Transactions on Vehicular Technology<---Combined Connection Admission Control and Packet Transmission Scheduling for Mobile Internet Services
812CD411	Wireless Communications and Networking Conference<---Multiuser Service Differentiated Spectrum Allocation Scheme for High Rate UWB Systems
7CE97CAE	Signal Processing Systems<---Implementation of a DSSS modem ASIC chip for wireless LAN
7DF41253	Wireless Communications and Networking Conference<---Performance Analysis of Low Density Parity-Check Codes on a WiMAX Platform
7576E48C	Information not present<---Interoperable Medical Devices due to Standardized CANopen Interfaces
07A5E8B1	Foundations of Science<---Reduction and understanding
7C215E0A	IEEE Communications Magazine<---Macro-mobility management in EVDO
7E931BC7	International Conference on Networking and Services<---OFDM based data link for the DLR research aircraft ATRA
75B66937	Information not present<---Flexibility in Access Networks : a Novel WDMA/TDMA Scheme for Passive Optical Networks
76550B70	International Conference on Wireless Communications and Mobile Computing<---Investigation of a cross-layer link adaptation algorithm for IEEE 802.11n networks
7FB2983D	Journal of Men's Health<---Fieldbus interoperation technologies
7E01C677	Vehicular Technology Conference<---Design of link layer protocols for error recovery in IP/CDMA2000 interconnections
7FEA9A90	Wireless Communications and Networking Conference<---Cross-Layer Iterative Decoding of Irregular LDPC Codes using Cyclic Redundancy Check Codes
81715668	IEEE Transactions on Vehicular Technology<---Supporting Real-Time VBR Video Transport on WiMedia-Based Wireless Personal Area Networks
80E4454C	International Symposium on Wireless Communication Systems<---Link adaptation with combined optimal frame size and rate selection in error-prone 802.11n networks
7FB634F1	IEEE Transactions on Circuits and Systems for Video Technology<---Scalable H.264/AVC Video Transmission Over MIMO Wireless Systems With Adaptive Channel Selection Based on Partial Channel Information
79D00F6B	Journal of Computer Science<---Ultra Wide Band (UWB) Ad-hoc Networks: Review and Trends
7CCEEA25	Scientific Programming<---Authenticating Primary Users' Signals in Cognitive Radio Networks via Integrated Cryptographic and Wireless Link Signatures
7B11DAD4	International Solid-State Circuits Conference<---F5: ATAC: High-speed interfaces
7DD19323	International Conference on Communications<---Performance Evaluation of Contention-Based Access in IEEE 802.16 Networks with Subchannelization
80242231	International Conference on Data Engineering<---Cost-Aware Skyline Queries in Structured Overlays
7B02EE44	Sensors and Actuators B-chemical<---Can pulsed laser deposition serve as an advanced technique in fabricating chemical sensors?
6399D00F	Asia Pacific Conference on Circuits and Systems<---A management mechanism for bus-based multiaccess ATM customer network
78A3C0F8	IEEE Transactions on Wireless Communications<---An Efficient Multi-Carrier Position-Based Packet Forwarding Protocol for Wireless Sensor Networks
03158634	Information not present<---DISTI | VIJESTI - Sample of a wireless solution in healtcare
79D81545	IEEE Signal Processing Magazine<---An overview of CAC principles in DS-CDMA networks - Call admission control in wireless multimedia networks
80E47FB1	International Test Conference<---I/sub DDQ/ testing because 'zero defects isn't enough': a Philips perspective
7F9038AB	Information not present<---Mixed-signal Viterbi decoder for a MB-OFDM receiver
78825D5F	Vehicular Networking Conference<---A GNU Radio based testbed implementation with IEEE 1609 WAVE functionality
7FB203C7	Information not present<---Wireless communication systems for continuous multiparameter health monitoring
7776262D	International Conference on Computer Communications<---Minimum Energy per Bit for Wideband Wireless Multicasting: Performance of Decode-and-Forward
7ED9CA48	Software - Practice and Experience<---Testing a multiprogramming system
7DAE1345	Modeling and Optimization in Mobile, Ad-Hoc and Wireless Networks<---A Joint Traffic Shaping and Routing Approach to Improve the Performance of 802.11 Mesh Networks
7FA647B4	Vehicular Technology Conference<---A Chaos MIMO Transmission Scheme for Secure Communications on Physical Layer
83CDE6A8	Information not present<---ZIGNX SVGA15SB-02 VGA Monitor Ext.Cable 1,8m 15pin Han - Hun Zitech Technology ApS | Billigst
01E6691E	Information not present<---DISTI | VIJESTI - Disti Vam poklanja 100 KM
7F09FD25	Vehicular Technology Conference<---New approaches for cooperative use of multiple antennas in ad hoc wireless networks
7E13A2D4	Global Communications Conference<---Java tool for simulating transmission systems
7EB0B5E8	Wireless Communications and Networking Conference<---A Joint Design of MIMO-OFDM Transceiver and Power-Saving MAC in WLANs
5BFF3B5B	Vehicular Technology Conference<---Performance comparisons of two retransmission protocols for CDMA
7F1E5986	Wireless Communications and Networking Conference<---Mobile WiMAX: MIMO Performance Analysis from a Quality of Service (QoS) Viewpoint
58508A83	Telecommunication Systems<---Performance Parameters of ATM Networks with Bursts of Errors
810D6861	Information not present<---Securing wireless links at the physical layer through reconfigurable antennas
75DEDC50	IEEE Transactions on Consumer Electronics<---Video streaming exploiting multiple-antenna techniques of wirelessMAN-advanced systems
80C28375	Information not present<---Causal video transmission over fading channels with full channel state information
80D63C3A	Information not present<---A Web Services Trusty Evaluation Model Based on Feedback Credibility
7D4F98C7	International Conference on Communications<---Physical Layer Simulation Results for IEEE 802.11p Using Vehicular Non-Stationary Channel Model
7D44FB6D	Global Communications Conference<---Visible-light communication system enabling 73 Mb/s data streaming
5AFE9FBD	Information not present<---Improving link-level performance and synchronization in wireless networks
7E3BE3DF	Vehicular Technology Conference<---Multiple Access Scheme for Multi User Cognitive Radio Based on Wavelet Transforms
7E6A3A44	International Conference on Communications<---A Multicost Approach to Online Impairment-Aware RWA
2D2D048F	Information not present<---Perspektywy rozwoju lokalnych sieci bezprzewodowych
5BF48C10	Information not present<---Multi-protocol Header Protection (MPHP), a Way to Support Error-Resilient Multimedia Coding in Wireless Networks
7A2C2C35	Information not present<---DISTI | PROIZVODI - E serija monitora
793F9BF7	Consumer Communications and Networking Conference<---Cross-Layer Forward Error Control for Reliable Transfer in Wireless Multimedia Sensor Networks
7D6E3F43	Information not present<---OFDM location-based routing protocols in ad-hoc networks
755916B8	IEEE Transactions on Multimedia<---Cross-Layer Optimization for Downlink Wavelet Video Transmission
7FCB6C0D	International Conference on Communications<---cdma2000 1x Rev. E Forward Link Voice Capacity
7512AD84	Information not present<---On tools for the design of system architechtures for innovative traffic information systems
7E9A4D25	Information not present<---Experiences implementing GSM in RDL (the Vanu Radio Description Language ™ )
7EAA3741	Information not present<---Oximeter for reliable clinical determination of blood oxygen saturation in a fetus
0200786C	Information not present<---ZIGBEE BASED HOME AUTOMATION WIRELESS SENSOR NETWORK
5B762496	Information not present<---Conditions in exhaust pipe in CI engine in light of monitoring of catalytycal converter
7FD466DA	Laser & Photonics Reviews<---All‐optical virtual private network in passive optical networks
7F66C99B	Information not present<---Space-frequency coding for the HIPERLAN/2 standard
72B33DA3	Information not present<---Wireless LANs; why IEEE 802.11 DSSS?
7F18F7B3	Information not present<---Development and performance evaluation of mobile WiMAX testbed
817669F3	International Symposium on Computers and Communications<---Efficient collision detection for auto rate fallback algorithm
7E043888	IEEE Transactions on Circuits and Systems I-regular Papers<---Analysis of the QAC IR-UWB Receiver for Low Energy, Low Data-Rate Communication
7DA78CF2	International Conference on Communications<---Queuing Analysis on MIMO Systems with Adaptive Modulation and Coding
79E4044F	Journal of Intelligent Manufacturing<---DeviceNet network health monitoring using physical layer parameters
7E7ABA03	Information not present<---On the Capacity of MIMO Channels and Its Effect on Network Performance
8174F49C	Global Communications Conference<---Shout to Secure: Physical-Layer Wireless Security with Known Interference
7F0EF900	International Symposium on Circuits and Systems<---On the implementation of 128-pt FFT/IFFT for high-performance WPAN
7FD1C28F	ACM/IEEE International Conference on Mobile Computing and Networking<---Cross-layer jamming detection and mitigation in wireless broadcast networks
7A22D03D	International Conference on Communications<---Carrier aggregation in heterogeneous cellular networks
7CE4C622	International Conference on Mobile Technology, Applications, and Systems<---Hierarchical cross-layer fuzzy control for compromise of multiple objectives in wireless mobile networks
848E874E	Reproduction in Domestic Animals<---Use of pregnancy specific proteins, P4, PGFM and E1S assays to monitor pregnancy in sheep
7F37E262	Information not present<---A novel strategy for data rate adaptation in IEEE 802.11g in the case of video streaming
811B431B	Information not present<---High sensitivity charge amplifier for ion beam uniformity monitor
753E3CF7	Wireless Communications and Networking Conference<---Noncoherent Detection of TH-CDMA-PPM Signals for Low Rate WPAN
5CA847B5	Information not present<---Models for the Physical Layer and for User Traffic Generation
7AE24CFE	International Conference on Acoustics, Speech, and Signal Processing<---Physical Layer Techniques for Enhanced Situational Awareness
7F413DCF	Personal, Indoor and Mobile Radio Communications<---Cross-Layer Adaptive ARQ and Modulation Tradeoffs
83F1809A	IEEE Communications Magazine<---Multi-tier network secrecy in the ether
7D039E45	IEEE Circuits and Systems Magazine<---Baseband analog front-end and digital back-end for reconfigurable multi-standard terminals
7E53F571	International On-Line Testing Symposium<---Self-Configuration and Reachability Metrics in Massively Defective Multiport Chips
77D99E27	Information not present<---On The Application of MPE-FEC to Mobile DVB-S2: Performance Evaluation in Deep Fading Conditions
80B59F39	International Symposium on Information Theory<---Transmission control of two-user slotted ALOHA over Gilbert-Elliott channel: Stability and delay analysis
75BD85FE	Vehicular Technology Conference<---MAC-PHY enhancement for 802.11b WLAN systems via cross-layering
78E2CFC4	IEEE Transactions on Mobile Computing<---Localized Sensor Area Coverage with Low Communication Overhead
7585984A	Information not present<---Communication over smart grid
0114D5F4	IEEE Photonics Technology Letters<---A wide-band nonblocking 2�2 switching node for a SPINet network
7A35D528	The Journal of Supercomputing<---A layered Virtual Organization architecture for grid
757BED80	IEEE Wireless Communications<---Flexible spectrum use and better coexistence at the physical layer of future wireless systems via a multicarrier platform
5A0C5CA3	Information not present<---Implementation of a fault level meter using a digital signal processing chip
7A34FFF8	Mobile and Ubiquitous Multimedia<---Mobile data broadcasting over MBMS tradeoffs in forward error correction
7E917B9D	Vehicular Technology Conference<---Handover issues and call admission control in cellular systems
80D5A3A6	International Conference on Communications<---Resource Allocation for Multi-User Video Transmission over Multi-Carrier Networks
7FBD038A	International Conference on Communications<---Novel Batch Dependant Cross-Layer Scheduling for Multiuser OFDM Systems
0738EBA8	Conference on Information Sciences and Systems<---A Randomized Space-Time Transmission Scheme for Secret-Key Agreement
762752D2	Proceedings of SPIE<---Randomization techniques for the intensity modulation-based quantum stream cipher and progress of experiment
5AC7099A	Information not present<---Sub-band precoded OFDM for enhanced physical layer resiliency in wireless communication systems
7DF72B9C	Information not present<---A data link layer in support of swarming of autonomous underwater vehicles
7E5E7EF2	IEEE Journal on Selected Areas in Communications<---Performance Analysis of Infrastructure Service Provision with GMPLS-Based Traffic Engineering
00F86050	Information not present<---DISTI | PROIZVODI - Mrežni uređaji
5D90E2E2	International Symposium on Neural Networks<---Artificial neural networks in environmental sciences. II. NNs for fast parameterization of physics in numerical models
3C791D7A	Information not present<---Dr Macnamara 1861–1931: Apprenticeship in Education
0AC93B39	Veterinary Clinics of North America-equine Practice<---Digital Radiography for the Equine Practitioner: Basic Principles and Recent Advances
77F12853	IEEE Transactions on Microwave Theory and Techniques<---A robust signal-detection method for ultra-wideband networks with uncontrolled interference
80DF03B9	Global Communications Conference<---Scheduling and power adaptation for networks in the ultra wide band regime
80CEF31D	International Conference on Acoustics, Speech, and Signal Processing<---Multicast transmit beamforming using a randomize-in-time strategy
76DC0B11	Information Systems Security<---Wired and Wireless Physical Layer Security Issues
7F844288	International Conference on Communications<---Performance of the Pre/Post-FFT Smart Antenna Methods for OFDM-Based Wireless LANs in an Indoor Channel with Interference
80FD6D34	Information not present<---INEDAC project: a tool to calculate interconnection tariff based on a bottom-up method
77A8DC15	IEEE Network<---Optical communication networks for the next-generation internet
7859D4EF	IEEE Journal on Selected Areas in Communications<---Guest Editorial Cross-layer Optimized Wireless Multimedia Communications
7DE84287	Systems, Man and Cybernetics<---Dynamic fuzzy controller based multilayered architecture for extended battery life in mobile handheld devices
752CEB6C	IEEE Transactions on Vehicular Technology<---A Cross-Layer-Based Topology Control Framework for Wireless Multihop Networks
5D391031	Information not present<---Sweatshop Watch Newsletter
7FCF994C	IEEE Transactions on Vehicular Technology<---Optimal downlink space-time scheduling design with convex utility functions-multiple-antenna systems with orthogonal spatial multiplexing
7B9593F3	International Conference on Systems and Networks Communications<---Physical Layer Impact in Wireless Ad Hoc Network Routing
8169A398	IEEE Transactions on Mobile Computing<---Radio resource management for cellular CDMA systems supporting heterogeneous services
7DA6C9FE	Journal of Lightwave Technology<---Architectural Exploration of Chip-Scale Photonic Interconnection Network Designs Using Physical-Layer Analysis
7BD9C688	Information not present<---High-availability in multipoint to multipoint Ethernet for the delivery of triple play services
75BBAA5E	IEEE Transactions on Signal Processing<---Secure Beamforming for MIMO Two-Way Communications With an Untrusted Relay
7D0D32A2	Neural Computing and Applications<---Volunteer Computing and Desktop Cloud: The Cloud@Home Paradigm
7F46873F	Broadband Communications, Networks and Systems<---Cross-layer throughput analysis for optical code labeled GMPLS networks
83F400BA	Information not present<---Solar array 셀관리를 위한 모니터링시스템
722BEE7C	International Conference on Communications<---Bit error probabilities in a two-rate communication system
7E166A4B	Global Communications Conference<---Detecting malicious packet dropping using statistically regular traffic patterns in multihop wireless networks that are not bandwidth limited
7B7DA574	Information not present<---Development of laboratory practice on WiMAX IEEE 802.16d physical layer
7B889813	Addiction<---Content of ecstasy in the Netherlands: 1993–2008
7E4B6CEE	Design Automation Conference<---FPGA-based accelerator for the verification of leading-edge wireless systems
7B03CDF8	Personal, Indoor and Mobile Radio Communications<---On the physical layer performance with rank indicator selection in LTE/LTE-Advanced system
7A9B9B6C	IEEE Spectrum<---More than fun and games
7F3C397B	Information not present<---Human fetal diagnostic ultrasound exposimetry system
274E5334	Information not present<---Far-field acoustic levels resulting from titan launches
59DAC064	Information not present<---A kernel for multi-level fault-tolerant multiprocessing
7EB705E1	Robotics and Biomimetics<---Blind rate detection for CDMA2000 1x EV-DO reverse traffic channel
80346FC5	IEEE\/OSA Journal of Optical Communications and Networking<---Assessment of an optical burst switched core node with a restricted number of simultaneous active users using the burst error loss rate
7ECC3B99	IEEE Transactions on Vehicular Technology<---A Linear Programming Approach to Cross-Layer Optimization in Multiclass VSG-CDMA Over Rayleigh Fading
7E881271	IEEE Transactions on Pattern Analysis and Machine Intelligence<---MARCO: MAp retrieval by COntent
789317E4	IEEE Transactions on Information Forensics and Security<---Security-Aware Max–Min Resource Allocation in Multiuser OFDMA Downlink
70367BB3	Information not present<---A physical layeer implementation for a twisted pair home automation system
7FB025F9	IEEE Transactions on Instrumentation and Measurement<---What next? A hardware operating system?
71779E2F	Document Analysis Systems<---Performance evaluation of two VDL Mode 3 system configurations
765889E3	Information not present<---Using Commonality and Variability Analysis to Define the Platform/Waveform Boundary in A2G Systems
7CFD3F41	IEEE Transactions on Wireless Communications<---Hypoexponential Power—Delay Profile and Performance of Multihop OFDM Relay Links
798D5F63	ACM/IEEE International Conference on Mobile Computing and Networking<---An empirical study of UHF RFID performance
7CFFD014	Information not present<---A Facilitate Layered Network Architecture Model for Pervasive Grid
58916F40	Computing & Control Engineering Journal<---Usage of link-level performance indicators for HSDPA network-level simulations in E-UMTS
785FD745	Information not present<---Self-Adaptive Neighbor Discovery in Ad Hoc Networks with Directional Antennas
05D6FAA7	Information not present<---Come usare due monitor per visualizzare una presentazione in Powerpoint.
7D35C944	The Senses and Society<---To Know Beyond Listening
7DA6EE49	IEEE\/ACM Transactions on Networking<---Distributed network control for optical networks
7B777B0D	Information not present<---Performance analysis of Open and Closed Loop Spatial Multiplexing in LTE Downlink Physical Layer
813C9FB3	International Conference on Acoustics, Speech, and Signal Processing<---On phase-space equalization of CPM in severe intersymbol interference
763424D0	Information not present<---Securing multi-antenna two-way relay channels with analog network coding against eavesdroppers
7B0EE6A1	International Conference on Wireless Communications and Mobile Computing<---IEEE 802.15.3 intra-piconet route optimization with application awareness and multi-rate carriers
78E3AF77	Conference on Object-Oriented Programming Systems, Languages, and Applications<---An approach to monitor application states for self-managing (autonomic) systems
7B450845	Applied Mechanics and Materials<---The Design and Implementation of Positioning System Based on GPS
813E0304	Information not present<---Scalable impairment-aware anycast routing in multi-domain optical Grid networks
7E67A957	Information not present<---Vation Technology GmbH
7D5BA0F8	IEEE Vehicular Technology Magazine<---Introducing reconfigurability and cognitive networks concepts in the wireless world
8329B068	Information not present<---Improved Coverage for Low-Power Telemetry Systems using Telegram Splitting
7D3FF8AD	Wireless Communications and Networking Conference<---Efficient Resource Management for mmWave WPANs
763AFFE7	Information not present<---Security in Cognitive Radio Networks: Threats and Mitigation
8165F65A	International Conference on Acoustics, Speech, and Signal Processing<---Convex approximation algorithms for back-pressure power control of wireless multi-hop networks
7D27F9C8	International Conference on Communications<---FAST: Realizing what your neighbors are doing
5FA150BA	Symposium on Cloud Computing<---A UTMI-compatible physical-layer USB2.0 transceiver chip
5AA790AF	Information not present<---Performance evaluation of a digital PLL in high-speed baseband recording / transmission applications
7A19CAC4	Information not present<---Adaptive antenna at the cellular mobile handset for reduced deposition of power in human head
780A96A2	Advanced Materials Research<---The Design and Analysis on Communication Physical Layer of High-Speed Inter-Missile Networking
7E98C5D2	Journal of Lightwave Technology<---Physical Layer scalability of WDM optical packet interconnection networks
80F2C464	International Conference on Communications<---A 100 Gb/s and High-Reliable Physical-Layer Architecture for VSR and Backplane Ethernet
80A67F32	Journal of Sports Sciences<---Heart rate monitors: State of the art
7A942629	Advances in Multimedia<---A theoretical framework for quality-aware cross-layer optimized wireless multimedia communications
7EC5180E	Global Communications Conference<---Performance Analysis of Communications & Radar Coexistence in a Covert UWB OSA System
7D2F1CA4	Information not present<---All-optical routing - progress and challenges
79C588F3	IEEE Microwave Magazine<---Wideband (review of Essentials of UWB by S. Wood and Dr. R. Aiello; 2008) [Book Review]
7E1AE23D	Global Communications Conference<---Cross-layer design for combining cooperative diversity with truncated ARQ in ad-hoc wireless networks
792DAF6E	IEEE Communications Magazine<---Design guidelines for routing protocols in ad hoc and sensor networks with a realistic physical layer
7A2D1C81	ACM Transactions on Design Automation of Electronic Systems<---A design automation and power estimation flow for RFID systems
5F303E47	Canadian Conference on Electrical and Computer Engineering<---Simulation of underwater communications with a colored noise approximation and mobility
13A1216E	Clinical Orthopaedics and Related Research<---Using the Physical Layer for Wireless Authentication in Time-Variant Channels
7C2CF897	Electronics Letters<---Traffic and physical layer effects on packet scheduling design in W-CDMA systems
7962CB5C	International Symposium on Information Theory<---On achieving capacity on the wire tap channel using LDPC codes
0B959F18	Information not present<---Channel State Dependent Scheduling Policies for an OFDM Physical Layer using a Binary State Model
6E38261A	Information not present<---Performance improvement of a CDMA physical layer over Rayleigh fading channels
7CB54D32	International Conference on Conceptual Structures<---Cross-layer concurrent transmission scheduling in WiMAX mesh networks
7EFEB565	Wireless Communications and Networking Conference<---A New Cross-Layer Designed Multipolling Mac Protocol Over WLANs
7D8A2F9B	Information not present<---Perceptual evaluation of motion JPEG2000 quality over wireless channels
7704D114	Information not present<---Visions for Future DVB-RCS Systems, Communications for a Mixed Traffic Scenario
801F99A5	IEEE Transactions on Software Engineering<---Monitor-Based Instant Software Refactoring
7D04C13C	Information not present<---Signal Characterization and Representation
7AF1B6A2	Information not present<---Cooperative communication with grouped relays for zero-padding MB-OFDM
5F73B53F	Formal Methods in System Design<---Verification of a Leader Election Protocol: Formal Methods Applied to IEEE 1394
762884C5	Web Information Systems Engineering<---Securing wireless systems via lower layer enforcements
8100628F	Information not present<---Autonomous Infrastructure Wireless Networks
6EA7798F	Modeling and Optimization in Mobile, Ad-Hoc and Wireless Networks<---A CDMA Data Measurement and Analysis Tool
79A1CF47	Information not present<---Progress towards reliable free-space optical networks
801F5F0A	ACM/IEEE International Conference on Mobile Computing and Networking<---An experimental study of network performance impact of increased latency in software defined radios
591E8179	Information not present<---Transceiver design for the bus driver of the FlexRay communication system
7EEC78DC	Information not present<---Providing multiclass of services in optical CDMA packet networks
58B4D6F4	International Symposium on Information Theory<---On the capacity of regular wireless networks with transceiver multipacket communication
7BAB1774	International Conference on Access Networks<---Security and self-organization in transparent optical networks: an overview
76A48B59	Internet Mathematics<---Directed Random Dot Product Graphs
813CEB97	International Conference on Communications<---SecDCF: An Optimized Cross-Layer Scheduling Scheme Based on Physical Layer Security
8117BE45	Global Communications Conference<---Channel Capacity and Second Order Statistics in Tactical Mobile Ad Hoc Networks
76A74193	International Symposium on Computer Architecture<---Pipelines with internal buffers
816F54EC	IEEE Transactions on Mobile Computing<---Overlapped Carrier-Sense Multiple Access (OCSMA) in Wireless Ad Hoc Networks
58C44B63	Information not present<---On the weakness of contactless systems under relay attacks
3BF1B231	Information not present<---Odbiór komunikatów z Internetu i druku
7C7A8EBE	Proceedings of the IEEE<---On Medium Access and Physical Layer Standards for Cooperative Intelligent Transport Systems in Europe
7EAF53EA	International Conference on Communications<---A Collision-free Based Rotational Listening Strategy (RLS) for IEEE 802.15.4 WPAN
3A2E8D86	Information not present<---DISTI | VIJESTI - Disti akcija - Alienware M11x gaming laptop
5B26982D	Clinical Orthopaedics and Related Research<---Joint Physical Layer Coding and Network Coding for Bi-Directional Relaying
7F1FB930	Global Communications Conference<---On-off keying optical transmission and channel capacity for indoor high rate wireless data networks
71A67CC9	Systems, Man and Cybernetics<---Design of a virtual laboratory for teaching electric machinery
7DBE12DE	International Symposium on Information Theory and its Applications<---Inter-Operator Spectrum Sharing in a Broadband Cellular Network
7F39B740	IEEE Journal on Selected Areas in Communications<---Energy efficiency of large-scale wireless networks: proactive versus reactive networking
7D0F6596	International Conference on Machine Learning and Cybernetics<---Design and implementation of integrated monitoring system for IPTV platform
814B9F17	Global Communications Conference<---Broadband transport techniques based on virtual paths
766B802F	Information not present<---Low-cost mitigation of privacy loss due to radiometric identification
151211AA	Information not present<---ASSESSING THE IMPACT OF URBAN COYOTE ON PEOPLE AND PETS IN AUSTIN, TRAVIS COUNTY, TEXAS
7DACF641	International Conference on Networking, Sensing and Control<---Sampling Clock Offset Estimation Algorithm Based on IEEE 802.11n
7B940595	Information not present<---Performance analysis of RLS based channel estimation in UWB OFDM system
