794848A1	The absorption spectrum of C2HD between 9 000 and 13 000 cm-1
7DE002B6	Classification of Direction perception EEG Based on PCA-SVM
793FE305	Colour image edge detector based on quaternion convolution
7FA3D10E	Guided wave dispersion curves for a bar with an arbitrary cross-section, a rod and rail example
762681CE	On the aliasing error in a class of bidimensional wavelet subspaces
7B39C218	Stress intensity factor for an edge crack in two bonded dissimilar materials under convective cooling
7A0A5AE8	Analysis of photonic band‐gap structures in stratified medium
78DBB961	Development of microwave-optical double-resonance spectroscopy using a Fourier-transform microwave spectrometer and a pulsed laser
79407128	Comparison of CW-EPR and ESEEM Technique for Determination of Water Permeability Profile in Liposome Membranes
7C9C7B96	The ν2 bands of 16O18O16O and 16O16O18O: Line positions and intensities
80726289	Noise amplification of periodic nonuniform sampling
7D9A7A5C	A fast vectorial network analyser for frequencies up to 4 GHz
76479DEF	Rotational spectra of the van der Waals complexes of molecular hydrogen and OCS
75C853C5	General phase modulation method for stored waveform inverse fourier transform excitation for fourier transform ion cyclotron resonance mass spectrometry
7FBDB1CD	Ex vivo assessment of trabecular bone structure from three-dimensional projection reconstruction MR micro-images
7737E0D9	Femtosecond pulse shaping based on spectral hole burning
75C01D77	Isolation of stable intermediates in reactive gas mixtures: Rotational spectrum of H3P...Cl2 in a pulsed jet
7A281A63	Fourier transform measurements of SO2 absorption cross sections: II.
79C3D655	Adaptive artificial boundary condition for the two-level Schrödinger equation with conical crossings
7639A465	Accurate determination of parameters for 17O in natural abundance by Fourier transform NMR
79A62FA2	Fourier transform Raman spectroscopy of Syncrude sweet blend distillation fractions derived from Athabasca bitumen
7EC2B963	A unified spectral analysis of generalized time-hopping spread-spectrum signals in the presence of timing jitter
767B6079	Spectroscopic properties with a combined approach of ab initio molecular dynamics and wavelet analysis
7D37DFD9	Rotational Spectroscopy of the CO-para-H2 Molecular Complex
75C1240C	Use of the wavelet transform on hydro-meteorological data
787FC87B	Simultaneous and automated monitoring of the multimetal biosorption processes by potentiometric sensor array and artificial neural network
7B9EC65A	Morphological regularization neural networks
771543B5	Fraunhofer Diffraction from Apertures Bounded by Regular Fractals
76287C1F	Analysis of high temperature ammonia spectra from 780 to 2100cm −1
8013E8D0	Unified reconstruction and motion estimation in cardiac perfusion MRI
7D998010	Block Mean Value Based Image Perceptual Hashing
7B27DEE4	Maximum recoverable work in linear thermoelectromagnetism
7FEB6266	The analysis of the discrete fractional Fourier transform algorithms
7A6627F4	Modeling of annual oscillations and 1/ f -noise of daily river discharges
7AE5A8FE	Dielectric properties of micaceous clays determined by terahertz time-domain spectroscopy
76317062	Spectroscopic study of the seasonal variation of carbon monoxide vertical distribution above Kitt Peak
7C098945	Quantitative strain analysis of GaN/AlN quantum dot multilayers
7D176290	Multiscale continuum modeling of a crack in elastic media with microstructures
79CC166B	Surface profile measurement in white-light scanning interferometry using a three-chip color CCD
7B41B159	Substitutional carbon reduction in SiGeC alloys grown by rapid thermal chemical vapor deposition
80395B34	Real-Time Fourier Transformer System Using Transmissive Fiber Gratings
80630D6A	Dual algorithms for fast calculation of the Fourier-Bessel transform
7E340BD4	The empirical mode decomposition: a must-have tool in speckle interferometry?
7FAF5E2F	On parametric Gevrey asymptotics for some nonlinear initial value Cauchy problems
7C32913C	Optimization of Binary Hologram Degraded by Periodic Lattice Structure of Liquid-Crystal Device Panel in Real Optical Security Systems
7A458F80	Fourier transform microwave spectrum of difluoromethane–Xe
7D4405CC	Tridiagonal Commuting Matrices and Fractionalizations of DCT and DST Matrices of Types I, IV, V, and VIII
73F7D1D5	Generalized poisson summation formula for tempered distributions
7BF9C470	An improved method for broadband interferometric lightning location using wavelet transforms
7DC1719C	A 64-point Fourier transform chip for video motion compensation using phase correlation
79A621CC	Methyl torsional state analysis of the jet-cooled microwave spectrum of N -acetylglycine
80784F8B	Optimal Power Allocation for Energy Harvesting and Power Grid Coexisting Wireless Communication Systems
7C406626	Digital color holography applied to fluid and structural mechanics
7871CC06	Interaction of parallel dielectric cracks in functionally graded piezoelectric materials
77A585F0	FFT-Evaluation and applications of gravity-field convolution integrals with mean and point data
78E99D64	Detecting landscape forms using Fourier transformation and singular value decomposition (SVD)
7EF0D2A8	Analytical reconstruction algorithm with constant attenuation compensation using 180/spl deg/ acquisition data
7AA60D1C	A problem of emphasizing features of a surface roughness by means the Discrete Wavelet Transform
77754BF7	The influence of sample preparation of forage crops and silages on recovery of soluble and non-structural carbohydrates and their predictions by Fourier transform mid-IR transmission spectroscopy
806D6195	The Atmospheric Chemistry Experiment (ACE): an overview
79B9FC65	Radiative transfer over the surface with an arbitrary reflection: Green's functions method
7796831A	Fast fourier transform processors using Gaussian residue arithmetic
7D070337	Cross-Range Scaling Algorithm for ISAR Images Using 2-D Fourier Transform and Polar Mapping
75D062C3	Matrix form for the instrument line shape of Fourier-transform spectrometers yielding a fast integration algorithm to theoretical spectra
817762DD	On variable overlapped windows and weighted orthonormal bases
80043EBF	Multiresolution for the detection of xiphoidal sounds in noisy medical audio signals
7A402BBC	Rotational analysis of the ν1 band of trichlorofluoromethane from high resolution Fourier transform and diode laser spectra of supersonic jets and isotopically enriched samples
7E7782C3	Experiments on pattern recognition using invariant Fourier-Mellin descriptors
5F5C6A31	Calculation of Fourier transforms on finite Abelian groups
7936054B	Rotational spectrum and carbon-13 hyperfine structure of the C3H, C5H, C6H, and C7H radicals
81595C01	Quantum circuit design of discrete Hartley transform using recursive decomposition formula
75A7274A	A Fourier Domain Framework for Variational Image Registration
7E228EAC	Statistical characteristics of AGW wave packet propagation in the lower atmosphere observed by the MU radar
77279031	The formulation of quantum statistical mechanics based on the Feynman path centroid density. IV. Algorithms for centroid molecular dynamics
7602B032	Fast and accurate Polar Fourier transform
7D9FEA0C	On the on-line computation of DCT-IV and DST-IV transforms
7AC410B2	A Fast Correlation Method for Scale-and Translation-Invariant Pattern Recognition
77929E32	Two classes of generalized functions used in nonlocal field theory
7EB55160	Rotational spectroscopy of iodobenzene and iodobenzene–neon with a direct digital 2–8GHz chirped-pulse Fourier transform microwave spectrometer
797D1AB8	Fully complex magnetoencephalography
75AF5299	Green’s Functions for Probe-Fed Arbitrary-Shaped Cylindrical Microstrip Antennas
75BFA5E0	Overtone spectroscopy and dynamics in monodeuteroacetylene (C2HD)
7F3DD91E	Experimental design of exit wave reconstruction from a transmission electron microscope defocus series
76691F14	Pointwise Fourier Inversion on Rank One Symmetric Spaces and Related Topics
7D08BF0C	TE-scattering and reception by a parallel-plate waveguide array
7BD038DC	Infrared studies of the interaction of carbon monoxide and dinitrogen with ferrisilicate MFI-type zeolites
80CD2804	A nonparametric feature for neonatal EEG seizure detection based on a representation of pseudo-periodicity
7A73EAEB	Analytical Potential of Surface-Enhanced Fourier Transform Raman Spectroscopy on Silver Colloids
769B8E89	Bispectral analysis at low light levels and astronomical speckle masking
7F524025	Rotation-variant optical data processing using the 2-D nonsymmetric Fourier transform
75BCC6FC	Rotational Spectrum of 1,3-Dioxolane�Argon: A Fourier Transform Investigation
762640FA	Fourier transform emission spectroscopy of the TiF radical in the 407nm region
75BD114E	Distinguishing linear from star-branched polystyrene solutions with Fourier-transform rheology
7580963F	Molecular g values, magnetic susceptibility anisotropies, and molecular quadrupole moments in 15N2–HF, 15N2–DF, OC–HF, OC–DF, and OC–HCl van der Waals complexes
7A45AC5A	Water-ketones hydrogen bonding: The rotational spectrum of cyclobutanone-water
76B2E52F	Determination of the total unsaturation in vegetable oils by Fourier transform Raman spectroscopy and multivariate calibration
79C3AD3E	Coin-tossing measures and their Fourier transforms
7AA3B5DA	Translatory MEMS actuators for optical path length modulation in miniaturized Fourier-transform infrared spectrometers
7B2EE0EF	Laboratory Spectroscopic Studies of Atmospherically Important Radicals Using Fourier Transform Spectroscopy
5F9B3915	Functionally Graded Piezoelectric Strip with Eccentric Crack Under Anti-plane Shear
7F7FC425	Microwave density imaging of perfectly conducting objects in the near-field region
775D4842	Simplified inverse Fourier transform technique to measure optical nonlinearity profiles using reference sample
7ED5BF2F	Array decomposition method for the accurate analysis of finite arrays
80A7A1BB	Frequency estimation of musical signals using STFT and multitapers
75F7DC3C	Physical aspects and quantitative theory of time resolved spectroscopy of high molecular Rydberg states
7CD0A7D8	Transmission probabilities for periodically driven barriers
7C1AE1C3	Recognition of polychromatic three-dimensional objects
7D508E63	The Structure of High Strehl Ratio Point-Spread Functions
7945CD5F	Función de Green para el problema elastodinámico armónico en un semiespacio con amortiguamiento histerético
7825D8D8	Quasicrystals and almost periodicity
79CCEF7B	Statistical approximations in the study of wave packet dynamics for non-adiabatic intramolecular processes induced by a coherent excitation
7CDF9EDF	Study on the binding of Arsenazo-TB to human serum albumin by Rayleigh light scattering technique and FT-IR
7C40267B	Minimal states and maximum free energies of materials with memory
7F694BF6	Fast 3D surface reconstruction by unambiguous compound phase coding
7E2791D9	Quadratic-Inverse Expansion of the Rihaczek Distribution
8096C6DE	Fully Automatic Registration of 3D Point Clouds
7B8C6CAF	Fast quantum efficiency measurement of solar cells by Fourier transform photocurrent spectroscopy
7DC8B2A7	Fourier-transform radiation thermometry: measurements and uncertainties
7AA1A052	Time domain analysis of digital signal processing
78CEAB0E	Pulsed microwave Fourier transform spectrometer
78A1E6D8	3D Gabor analysis of transient waves propagating along an AT cut quartz disk
79FCF05C	Synthesis of vector wave envelopes in three‐dimensional random elastic media characterized by a Gaussian autocorrelation function based on the Markov approximation: Spherical wave case
7D4E0F91	On the implementation of the conjugate gradient Fourier transform method for scattering by planar plates
7C028DC0	Fourier transform far infrared spectrum of CD 3 OD: detailed analysis in the torsional ground state
756DFD4F	Fourier transform IR and Fourier transform Raman spectroscopy studies of metallothionein‐III: Amide I band assignments and secondary structural comparison with metallothioneins‐I and ‐II
785A788C	Ascorbic acid vibrational spectra in sulfoxide solvents
7F4EA097	Image registration using log-polar mappings for recovery of large-scale similarity and projective transformations
80EA8FA4	Patch Contour Matching by Correlating Fourier Descriptors
752A6B1C	Electroelastic intensification near anti-plane shear crack in orthotropic piezoelectric ceramic strip
7C1E8683	Effects of particle softness on the rheology and yielding of colloidal glasses
7E742421	On Jacket transforms over finite fields
61B26AE7	On the dual of generalized Boolean bent functions over ℤ 4
75E3441B	Image reconstruction from incomplete and noisy data
7CDFF7B3	Conformational equilibrium of formanilide: detection of the pure rotational spectrum of the tunnelling cis conformer
7DDA55CB	On the use of windows for harmonic analysis with the discrete Fourier transform
13C94BCD	On the dynamic crack propagation in an interphase with spatially varying elastic properties under inplane loading
7FE7C83B	B-spline design of maximally flat and prolate spheroidal-type FIR filters
7A208423	Determination of Temperature-Induced Changes in the Structure of the Nearest Environment of Aluminum in Mordenite Zeolites from X-ray Absorption Near-Edge Structure Spectra
7E0B5BD9	Tilings of the time-frequency plane: construction of arbitrary orthogonal bases and fast tiling algorithms
7FFC6D14	Temporal aberrations due to misalignments of a stretcher-compressor system and compensation
7A786CE3	Fundamental statistical descriptions of plasma turbulence in magnetic fields
7C1707BC	The Sinc and Cosinc Transform
794E9ED8	Image rotation, Wigner rotation, and the fractional Fourier transform
7B284A66	Functions and their Fourier transforms with supports of finite measure for certain locally compact groups
7ED03DA8	High-accuracy Fourier analysis based on synchronous sampling techniques
7D21505C	Time-domain fields exterior to a two-dimensional FDTD space
76CEC384	Polyphase decompositions and shift-invariant discrete wavelet transforms in the frequency domain
77E69424	A new form of the Fourier transform for time-varying frequency estimation
7EEE4E21	A method for improved distribution concentration in the time-frequency analysis of multicomponent signals using the L-Wigner distribution
799E6025	Vibration–rotation fluorescence spectra of water in the ground electronic state
80864E6F	Performance evaluation of fractional Fourier transform(FrFT) for time-frequency analysis of ultrasonic signals in NDE applications
7D1412CB	Critical behavior and the limit distribution for long-range oriented percolation. II: Spatial correlation
751F786C	Quasielastic neutron scattering and microscopic dynamics of liquid ethylene glycol
77A0AD74	Electron tomography in conical tilt geometry. The accuracy of a direct Fourier method (DFM) and the suppression of non-tomographic noise
7D37EAE0	Reduced complexity models in the identification of dynamical networks: Links with sparsification problems
76272AEF	Fourier transform Raman and infrared vibrational study of diazepam and four closely related 1,4‐benzodiazepines
78DB8CB3	Fast sparse representation with prototypes
7ACFF5F2	The Definition of the Fourier Transform for Weighted Inequalities
7FB3A99A	Wavelength decorrelation of laser speckle from three-dimensional diffuse objects
781655CB	Medical image compression using 3-D Hartley transform
7D9372CB	Third-order Wigner distributions: definitions and properties
80E510A8	CAUCHY PROBLEMS FOR A PARTIAL DIFFERENTIAL EQUATION IN WHITE NOISE ANALYSIS
76655F5A	Modelling the electric field at the seafloor due to a non-uniform ionospheric current
7C84D2EF	Photon echo studies of photosynthetic light harvesting
76E8B15C	Vibrationally excited states in a pulsed jet observed by Fourier transform microwave spectroscopy
5CD199FA	An efficient technique for OFDM system using discrete wavelet transform
78DED2C5	Fast wave-front reconstruction in large adaptive optics systems with use of the Fourier transform
7EAA948D	An Unbalanced Temporal Pulse-Shaping System for Chirped Microwave Waveform Generation
7F2E85ED	Study of electroosmotic flow profile by processing of virtual digital Shah function mask and Fourier transform
780AE76F	Robust High Dynamic Range Imaging by Rank Minimization
77E5E1D5	High resolution rotational spectroscopy and ring-puckering conformation of 3-hydroxytetrahydrothiophene
796C3C6E	Reproducing Spaces and Localization Operators
7C1A898F	Measurement of mounting-induced strain and defects in high-power laser diodes using Fourier-transform photo-current spectroscopy
7B120437	Computer simulation of multipulse and fourier transform NMR experiments. II. Some simulations using the density matrix equation of motion
7CCA4D14	Blind separation of linear instantaneous mixtures of non-stationary signals in the frequency domain
776C71A4	Almost free methyl top internal rotation: Rotational spectrum of 2-butynoic acid
78642623	Image Encryption With Multiorders of Fractional Fourier Transforms
7C5BB35B	Supersonic-jet cryogenic-resonator coaxially oriented beam-resonator arrangement Fourier transform microwave spectrometer
80E3DA21	A new blind-block reciprocal parametric transform
8135AFF2	On the shift property of DCT's and DST's
81693CD5	Coherent Fourier transform electrical pulse shaping
7C23B87F	Spatial frequency components influence cell activity in the inferotemporal cortex
7C4F3299	Single‐point (constant‐time) imaging in radiofrequency Fourier transform electron paramagnetic resonance†
7CAE4B3D	Periodic conduction in materials with non-Fourier behaviour
72271B8F	A New And Fundamental Fourier Transform Pair
7E520424	Low Area/Power Synthesis Using Hybrid Pass Transistor/CMOS Logic Cells in Standard Cell-Based Design Environment
751D1E93	Comparative spectroscopic and rheological studies on crude and purified soluble barley and oat β-glucan preparations
79C4C7B8	High-resolution microwave spectrum of the weakly bound helium-pyridine complex
78D4A2EE	Optical fractional correlation: experimental results
7CC375D7	Phase extraction from arbitrary phase-shifted fringe patterns with noise suppression
7E80B880	Rigorous Analysis of E-/H-Plane Junctions in Rectangular Waveguides Using Fourier Transform Technique
7D285C9C	General configuration for using the longitudinal spatial coherence effect
798E174C	Multidistortion-invariant image recognition with radial harmonic Fourier moments
7C90D869	Dynamic behavior of unequal parallel permeable interface multi-cracks in a piezoelectric layer bonded to two piezoelectric materials half planes
7751B39A	The high-resolution Fourier transform spectrum of monoisotopic H 3 70 Ge 35 Cl near 850 cm −1 and rovibrational analysis of the ν 2 / ν 5 /2 ν 3 band with almost perfect degeneracy of ν 2 and 2 ν 3
80ED54E0	Image restoration using the W-slice method
761DB736	High resolution vibration—rotation spectrum of arsine v = 2 stretching overtone
813B9C3E	The analysis and design of windowed Fourier frame based multiple description source coding schemes
80BB0D7D	A Methodology for Speeding Up Fast Fourier Transform Focusing on Memory Architecture Utilization
7968D1F8	Increase of carbonyl fluoride (COF2) in the stratosphere and its contribution to the 1992 budget of inorganic fluorine in the upper stratosphere
7FA0B768	Cavity ring down absorption at low temperatures: C–H spectra (Δυ = 1–6) of CH3D and C–H overtones (Δυ = 5, 6) of CH2D2 and CH4
7BED6E7F	Dynamic analysis of submerged fluid-filled pipelines subjected to a point pressure load
7AF4069A	Multiplexed phase-encoded lenses written on spatial light modulators
76E12C5C	Predictive simulation of nonlinear ultrasonics
7AE2804D	The Minimum Free Energy For Isothermal Dielectrics With Memory
7F5F50E6	Effect of waveguide optical scattering on the integrated optical spectrum analyzer dynamic range
78FAED21	An optical measurement of vortex shape at a free surface
785D14E3	Nonsymmetrical fourier correlator to increase the angular discrimination in character recognition
78558D85	On theorems of Beurling and Hardy for certain step two nilpotent groups
7CA8789A	Born-Oppenheimer breakdown effects and hyperfine structure in the rotational spectra of SbF and SbCl
78E31152	Overtone spectrum and the Fermi resonance of the SiH chromophore in SiHCI3
7F584108	Fourier split-step parabolic equation solution of wave propagation over forest edge
7B2040F4	CLIP: an optimizing layout generator for two-dimensional CMOS cells
8085C2F1	Ship target recognition using low resolution radar and neural networks
7FDD0779	Design of a GPS receiver for the linear frequency modulation interference suppression
7E5823F0	Aerial and grounding system analysis by the shifting complex images method
7AB28631	Surface modes in two-dimensional photonic crystal slabs with a flat dielectric margin
6DF3D727	Characterization of a simple communication network using Legendre transform
760DD412	Algorithms for limited-view computed tomography: an annotated bibliography and a challenge
7752E995	A conformational study of butyryl chloride using chirped pulse Fourier transform microwave spectroscopy and quantum chemical calculations
77CF62AC	Consolidated expansions for estimating the response of a randomly driven nonlinear oscillator
77C25C54	Experimental geometry for simultaneous beam characterization and sample imaging allowing for pink beam Fourier transform holography or coherent diffractive imaging
80773710	Detection of irregularities in regular patterns
8134BFE7	Attenuation characteristics of coplanar waveguides at subterahertz frequencies
7AF071DB	Recursive estimation of fourth-order cumulants with application to identification
7F58C5AB	Computing Partial Walsh Transform From the Algebraic Normal Form of a Boolean Function
79275000	Line mixing in the Q branches of the ν1+ν2 band of nitrous oxide and of the (1110)I←(0220) band of carbon dioxide
78FE0587	Contouring of artwork surface by fringe projection and FFT analysis
7B224BD3	Detection and analysis of a new conformational isomer of propan-1,2-diol by Fourier transform microwave spectroscopy
7F3B6913	Frequency and time domain characterization of microstrip-ridge structures
78D8F713	2H electron spin echo envelope modulation spectroscopy of strong, α‐hydrogen hyperfine coupling in randomly oriented paramagnetic systems
7B044561	Quantitative Analysis of Benzyl Modification in Waxy Maize Starch by Fourier Transform (FT) Raman Spectroscopy
7D0899F3	Short-time Fourier transform: two fundamental properties and an optimal implementation
813EAB43	A fast-scanning Fourier transform 2D IR interferometer
7F33E2C8	Implementation of the Numerical Laplace Transform: A Review Task Force on Frequency Domain Methods for EMT Studies, Working Group on Modeling and Analysis of System Transients Using Digital Simulation, General Systems Subcommittee, IEEE Power Engineering Society
80443E31	Efficient and high precision space-variant processing of SAR data
752E5CB6	Linear Stimulus-Invariant Processing and Spectrotemporal Reverse Correlation in Primary Auditory Cortex
7D20B10A	Price signal analysis for competitive electric generation companies
80E5A0A9	Argon ion linelist and level energies in the hollow-cathode discharge
779BB829	Probing thymine with laser ablation molecular beam Fourier transform microwave spectroscopy
78AD2791	The high-resolution infrared Fourier transform spectrum of H3116SnD. Ground state constants and analysis of the ν3/ν5/ν6 triad
7D2C4C75	A subpixel color image registration algorithm using quaternion phase-only correlation
7E77A094	An approach to minimization of decision diagrams
78A611A6	Robust 3D DFT video watermarking
78B68BFD	The two conformers of acetanilide unraveled using LA-MB-FTMW spectroscopy
7F04CC6D	Early spectral changes of cellular malignant transformation using Fourier transform infrared microspectroscopy
7F8A14ED	A Dynamic Synchrophasor Estimation Algorithm for Online Application
7A178F1F	A rapid FT-NIR method for estimation of aflatoxin B 1 in red chili powder
7C535A64	The Fourier transforms of the laser-induced absorption decay from glycogen phosphorylase and DOPA decarboxylase
773FBFBC	Fourier Transform and Photoacoustic Absorption Spectra of Ethylene within 6035–6210 cm-1: Comparative Measurements
7A2B2B02	Tautomeric composition of D-fructose phosphates in solution by fourier transform carbon-13 nuclear magnetic resonance
79A5F5F2	Time-frequency parameters of heart-rate variability
817902B5	Phase-only filtering for the masses (of DNA Data): a new approach to sequence alignment
7C48FB3B	Fourier-transform Raman spectroscopic study of human hair
7EFEC27C	Template based recovery of Fourier-based watermarks using log-polar and log-log maps
77E3BDCA	The ν5 and 2ν9 bands of the 15N isotopic species of nitric acid (H15NO3): Line positions and intensities
7ED32F78	Application of the fractional Fourier transform to moving target detection in airborne SAR
7EBF4ED1	Efficient Scene Classification Based on Maximum Entropy Policy and Visual Attention
771BA5D3	Assessment of the consistency of near‐infrared water vapor line intensities using high‐spectral‐resolution ground‐based Fourier transform measurements of solar radiation
7CE8017C	Nondestructive fingerprinting of ivories using Fourier transform imaging fluorescence and Raman spectral imaging
07712CCE	Fast Fourier transforms for symmetric groups
79B96BFA	Constant depth circuits, Fourier transform, and learnability
750A34D5	Discrimination and classification of fresh-cut starfruits ( Averrhoa carambola L.) using automated machine vision system
7D662DB2	Induction Machine Broken Bars Fault Detection Using Stray Flux after Supply Disconnection
7E1AC0AF	Theoretical and experimental studies of the resonant frequencies of the equilateral triangular microstrip antenna
7E44EE6C	Frequency-wavenumber spectra of shoaling ocean waves
76A73E89	Investigation of anti-plane shear behavior of two collinear cracks in the piezoelectric materials by using the non-local theory
7DC1E455	A Holographic Optical Element for Non-symmetric Fourier Transform Systems
7ECB246C	Implementation of adaptive and synthetic-aperture processing schemes in integrated active-passive sonar systems
75921F9A	Linearity and non-linearity in DSC: A critique on modulated DSC
815ECE03	Ultrafast Analog Fourier Transform Using 2-D LC Lattice
8066760A	Statistics of tricoherence
7F1717F0	Hybrid dyadic-mixed-potential and combined spectral-space domain integral-equation analysis of quasi-3-D structures in stratified media
7DA6EB74	Processing and analysis of bio-signals from human stomach
7E26D638	High-fidelity modeling of MEMS resonators. Part I. Anchor loss mechanisms through substrate
7E150671	Digital filters with equiripple or minimax responses
75C14987	On Fourier transforms of functions supported on sets of finite Lebesgue measure
7F1587BC	Coherent Optical Texture Recognition of Digital Ultrasonic Images
7D6B1B44	Time-Varying Spectral Approximation of Filtered Signals
79FB027F	Cognitive Radio Dynamic Access Techniques
75638B82	Random Sampling Estimates of Fourier Transforms: Antithetical Stratified Monte Carlo
816B9AA3	Phase retrieval using a window function
75EAF9B3	On the Cauchy Problem for the Ostrovsky Equation with Positive Dispersion
7604703E	Distribution of optical emission between guided modes and free space in a semiconductor nanowire
7834B965	Studies of chain conformational kinetics in poly(di‐n‐alkylsilanes) by spectroscopic methods. III. Fourier transform Raman studies of unsymmetric side chain substitution
795488D9	Phase error in fast Fourier transform analysis
7855ECBB	Two-dimensional images in frequency-time representation: direction images and resolution map
7626D675	Investigation of the effective response of 2-1-2 piezoelectric composites
78A07C8F	Image encryption based on double random amplitude coding in random Hartley transform domain
80AD6F5E	Light diffusion in N-layered turbid media: frequency and time domains
78050013	Diffraction entre un émetteur et un récepteur localement toriques. Application à l'étude des systèmes astigmates
8119D04F	Wavelet decomposition of harmonizable random processes
75F2EADC	Spectral Estimation of NMR Relaxation
771AF849	Procedures for Three-Dimensional Reconstruction of Spherical Viruses by Fourier Synthesis from Electron Micrographs
815462DE	Region-of-interest tomography using exponential radial sampling
7F4B532A	Stability and Convergence Analysis of Transform-Domain LMS Adaptive Filters With Second-Order Autoregressive Process
76A0610B	An approximate 2-D solution for the shear-induced strain fields in eigenstrained cubic materials
80551861	Structural Fingerprints of Transcription Factor Binding Site Regions
79AD66B0	Lower bounds for noisy Boolean decision trees
7822D091	Analytical model for thermal resistance due to multiple moving circular contacts on a coated body
80032E16	An experimental study of induction motor current signature analysis techniques for incipient broken rotor bar detection
79C0C551	Maximal and singular integral operators via Fourier transform estimates
7F93F5B1	Multi-language programming environment for C++ implementation of SONAR signal processing by linking with MATLAB External Interface and FFTW
7B6724C5	Spatial convolution and correlation of optical fields via degenerate four-wave mixing
7CDBF26A	Elasto-plasticity of Heterogeneous Materials at Different Scales
7F40234B	PALMPRINT IDENTIFICATION BY FOURIER TRANSFORM
7D11498D	Ocean effects on time delay estimation requiring adaptation
7F434D5C	Congestion-Aware Logic Synthesis
7D76C97E	Minimum cross-entropy spectral analysis
783C4928	Criteria for confirming sequence periodicity identified by Fourier transform analysis: Application to GCR2, a candidate plant GPCR?
7FCE5A5C	1-D continuous non-minimum phase retrieval using the wavelet transform
7751FB51	Estimation of multiple phases from a single fringe pattern in digital holographic interferometry
78E6EFBC	Invariant performance of a volume holographic wavelet correlation processor
7D13FE21	On computing and implementing the running higher order statistics
81FA0514	A fast numerical method for computing the linear and nonlinear mechanical properties of composites
7E771EC4	Empirical Mode Decomposition Technique With Conditional Mutual Information for Denoising Operational Sensor Data
7E884D7C	Analysis of non-quarter-wave grating by a modified Fourier-transform method
78A90F44	Mode-I crack in a magnetoelectroelastic layer sandwiched by two elastic half-planes
76E7CBBD	Near‐infrared Fourier transform Raman spectroscopy of the mummified skin of the Alpine iceman, Qilakitsoq Greenland mummies and Chiribaya mummies from Peru
7EE22306	Symmetric convolution of asymmetric multidimensional sequences using discrete trigonometric transforms
5ABC5929	Image processing for 3D reconstruction using a modified fourier transform profilometry method
7D3BA9E4	Pseudo-Fourier imaging (PFI): a technique for spatial encoding in MRI
7CA2EB33	Two-Dimensional Thermoelasticity Problem for a Thick Plate Under the Action of a Body Force in Two Relaxation Times
7BB3D372	Thermal luminescence spectra of lysine and phenylalanine in O 2 measured with a Fourier-transform chemiluminescence spectrometer
7D98880D	Reconstruction of 2D PEC Targets Using Limited Scattered Information
7A8F3A5C	A modal separation measurement technique for broadband noise propagating inside circular ducts
77A12F47	Use of sequential injection analysis to construct an electronic-tongue
7BE63779	An adaptive optimal-kernel time-frequency representation
793CEA5B	Blind and Fully Constrained Unmixing of Hyperspectral Images
6F8AE2C1	Convergence Rates of Multiscale and Wavelet Expansions
7C88A2C8	Superhyperfine interactions in inhomogeneously broadened paramagnetic centers observed via a hole-burned free induction decay
7FB5964B	Hybrid genetic optimization and statistical model based approach for the classification of shadow shapes in sonar imagery
7FFDE2CA	High-Resolution Fourier Transform Spectrum of HDO in the Region 6140-7040 cm^-^1
7F410AB4	A transformation of multiple-valued input two-valued output functions and its application to simplification of exclusive-or sum-of-products expressions
75F9E3B8	Two-Quantum 2D FT Electronic Spectroscopy of Biexcitons in GaAs Quantum Wells
756C08BE	Quantitative measurement of displacement and strain fields from HREM micrographs
7C908C18	Fourier Transform Raman studies of materials and compounds of biological importance
7B82DA79	A Walsh—Fourier Analysis of the Effects of Moderate Maternal Alcohol Consumption on Neonatal Sleep-State Cycling
80AAA8A4	Feasibility study of synthetic aperture infrared laser radar techniques for imaging of static and moving objects
7EA15D55	Efficient quantization algorithms for high quality low bit rate transmission of speech
7DDCFD75	Characterization of the reconstruction behavior of generalized sampling series for bandlimited Paley-Wiener functions
799229C2	Minimax estimation for mixtures of Wishart distributions
751B18D0	Fast one-dimensional digital convolution by multidimensional techniques
78029F27	Time decay and spectral kernel asymptotics
7D1B3B2A	Fast Fourier Transforms in Electromagnetics
76ED8E97	Reconstruction of irregularly sampled interferograms in Fourier transform spectrometry with unknown sampling locations
7CDF95AB	The structure of the CO 2 –CO 2 –H 2 O van der Waals complex determined by microwave spectroscopy
7CA8FC23	Tensor Completion for Estimating Missing Values in Visual Data
7DFA69E3	Initial Results of the Geosynchronous Synthetic Thinned Array Radiometer (GeoSTAR)
7650C6DB	The ro-vibrational spectra of CO molecule resulting from the photolysis of acetone
80FF76D2	Time-scale modification of complex acoustic signals
5AFB7E4D	Hybrid approach to enhancing fingerprint images using filters in the frequency domain
7E45AEEA	Band-limited interpolation from unevenly spaced sampled data
7A380774	19F spin-rotation constants and shielding tensor of sulphur difluoride from its microwave spectrum
7A9EDCAC	The behavior of two parallel symmetry permeable interface cracks in a piezoelectric layer bonded to two half piezoelectric materials planes
7EC03876	Time-frequency perspectives: the 'chirplet' transform
7AFF128A	Microwave spectroscopy of ternary and quaternary van der Waals clusters
7B9D1AEC	Interferometric and Fourier Techniques for Measurements of Optical Properties of Fibers
7B036E6F	Syntactic Structures and Recursive Devices: A Legacy of Imprecision
8019F149	Short-time Fourier transforms and Wigner-Ville distributions applied to the calibration of power frequency harmonic analyzers
