08220318	Perimeter Security Post 9/11
754FEF05	Optical coherence tomography used for internal biometrics
7A2D9FBB	A genetic algorithm-based feature selection method for human identification based on ground reaction force
7B802450	Aggressive web application honeypot for exposing attacker's identity
761B72EE	New Down syndrome screening algorithm: Ultrasonographic biometry and multiple serum markers combined with maternal age
595B44CE	Improvement of the fingerprint core detection using extended relation graph
7C4CB0F4	A novel active website fingerprinting attack against Tor anonymous system
7A39E739	Ejection Time by Ear Densitogram and Its Derivative Clinical and Physiologic Applications
47E12565	Report on workshop organised by the European Tropical Forest Research Network. Developing needs-based inventory methods for non-timber forest products: application and development of current research to identify practical solutions for developing countries, 4-5 May 2000, FAO, Rome, Italy.
5901B08E	Fraud Prevention Techniques: Technology
2E3C4717	A Study on the Size of 2D Iris Codes for Personal Identification
54E9FE8A	Combining multiple Iris matchers using advanced fusion techniques to enhance Iris matching performance
79AA3B68	The Secret Fundaments of T-norms
7B05FD5B	Audio fingerprint based on Spectral Flux for audio retrieval
7BBA87D0	Smart wireless authenticating voting machine
809AC71C	Accuracy limits of in-room localisation using RSSI
80B060A8	Deploying Context-Aware Services: A Case Study of Rapid Prototyping
79445B06	A Novel Fingerprint Matching Algorithm Based on Compatible Multi-Area Alignment
7EFCDE2B	Iterative Fingerprint Enhancement with Matched Filtering and Quality Diffusion in Spatial-Frequency Domain
76681A0D	An extensible scheme for direct searching in audiovisual archives: The divas system
15573BC4	Person Recognition Method Using Sequential Walking Footprints via Overlapped Foot Shape and Center-of-Pressure Trajectory( Papers Selected from 2003 International Technical Conference on Circuits/Systems, Computers and Communications(ITC-CSCC 2003))
0A897C05	Chapter 6 - Biometrics
7773A341	Role of Carbonic Anhydrase in Bone Resorption Induced by Prostaglandin E2 vitro
794F56CE	The second generation of digital commerce solutions
77170623	A biometric identification system based on the fusion of palmprint and speech signal
786C0878	Biologically inspired 3D face recognition from surface normals
160765CF	Novelty detection for class imbalance : LVQ-based algorithm and its applications to security and CRM
8144C56B	Robust facial expression recognition using improved sparse classifier
76193E6D	Iris pattern recognition using biorthogonal Wavelet Packet Analysis
5B16AAFF	Tampering detection in digital video - a review of temporal fingerprints based techniques
78A266B7	Design and Preliminary Test of a Palm Bio-impedance Spectroscopy Measurement System for Biometric Authentication
7F2F377F	Results of a reforestation experience using tree species of canarian laurel forest
7C6ED3D5	Time-Resolved Luminescence Imaging: Application To Latent Fingerprint Detection
766EFDC9	Range-Free Localization Algorithm for IEEE802.11 WLAN Based on K-NN
59256A3D	Biometric Security and Privacy Using Smart Identity Management and Interoperability: Validation and Vulnerabilities of Various Techniques
816DBCDC	An industry-academia team-teaching case study for software engineering capstone courses
7ABC3F30	Raman and photothermal spectroscopies for explosive detection
77FAB191	Novel Variable length Teager Energy Based features for person recognition from their hum
5BA921F2	Improving fingerprint based access control system using quick response code
54277F4C	A New Multimodal Biometric Identification Approach
7A6817A1	Development of a fiber-based Raman probe for clinical diagnostics
7F376068	An Advanced Scheme For Wireless Network Authentication System
5BDD3F27	Metody wykrywania człowieczeństwa w systemach biometrycznych
8151C28F	A Simple Iterative Algorithm for Wellness Applications
76B0DD3B	Insights on identity documents based on the Belgian case study
77BD9DEC	Audio fingerprinting in UbiComp environments — performance measurements and applications
2E817778	Remote sensing - A new view for public health
8007D4E2	An Architecture for Secure VoIP and Collaboration Applications
7C3D571B	Fusion of Palm Dorsal Vein and Hand Geometry for Personal Identification Based on Linear Discriminant Analysis
5DEB4CA1	Criminal Background Screening of Navy Recruits,
7CCB39EE	A fingerprint comparison of different Prisoner's Dilemma payoff matrices
2ECA874A	Behawioralne metody biometryczne - dynamika pisania na klawiaturze
7C4A87D0	Learning framework for examiner-centric fingerprint classification using spectral features
7AB30C25	Fuzzy pattern recognition method applied in droplet fingerprint recognition
26299DD8	Teeth Image Recognition for Biometrics(Image Recognition, Computer Vision)
81427609	Fuzzy logic decision in partial fingerprint recognition
7BAEFD9C	Scanning pupil tolerancing
59D5AF9A	An energy minimisation approach to the registration, matching and recognition of images
58F3E536	Person identification using face and speech biometrics
7B64D863	Empirical Bayes block shrinkage of wavelet coefficients via the noncentral χ-super-2 distribution
7F9D6A9B	Separating a gas Mixture into its Constituent Analytes Using FICA
76B76457	Access Control Based on a Distributed Fingerprint Recognition System
7E721997	Overview of the Operation for the Proposed Locomotive Worker Identification with Cameras
7E650416	Asymptotic Biometric Analysis for Large Gallery Sizes
84F212C8	Autenticação pessoal baseada no som da assinatura
262566D2	TSA unveils TWIC program requiring security checks
792EA288	Identity crisis: Global challenges of identity protection in a networked world
7CDCFCBB	Indoor localization system based on fingerprint technique using RFID passive tag
5E6F74E3	A new detection method of singular points of fingerprints based on neural network
7E6A3787	Distinguishing falsification of human faces from true faces based on optical flow information
59FEB657	A novel fingerprint image enhancement algorithm using phase preserving
229D6043	BioVault : a protocol to prevent replay in biometric systems
7B7309A3	Multimodal person authentication on a smartphone under realistic conditions
78F34802	Gait recognition system using decision-level fusion
31186C2A	Attention, effort, and fatigue: Neuropsychological perspectives
7F0AC1D9	Design and C# implementation of fingerprint-based authentication system in networking environment
7B786EDE	Blood vessel structure segmentation from retinal scan image using Kekre's fast codebook generation algorithm
7533349E	An image identification system of seal with fingerprint based on CMOS image sensor
76D945EE	Fingerprints in the spectrum: Spectral analysis and detection of VoIP traffic
761EB21A	Implementation and evaluation of NIST Biometric Image Software for fingerprint recognition
725B9B42	재발급 가능한 바이오인식 정보를 이용한 개인인증용 표준 포맷 설계 및 구현
3013375A	Research on fingerprint identification algorithm based on embedded system
771EE496	Biometric based audio ownership verification using discrete wavelet transform and SVD techniques
75DF6D34	Robust fingerprint acquisition: a comparative performance study
77B6CE4F	Enhanced homeland security and disaster emergency operations based on biometrics and RFID
7B4356FD	Broadband 2.5-6μm frequency comb source for dual-comb molecular spectroscopy
77BFF50C	Automatic identification of wildlife using Local Binary Patterns
7ABEDC9B	Guest Editors' Introduction: Special Section on Mining Large Uncertain and Probabilistic Databases
85E17596	Passive UHF RFID tag for spectral fingerprint measurement
8014F172	Stochastic Process Algebra with Value-Passing
7B051BEB	Personal identification credential system (PICS)
7784B27F	Sensing with mid-infrared frequency combs: a novel modality for ultrasensitive detection of hazardous materials
84A43D11	Plant species biometric using feature hierarchies
6CB48011	AN APPEARANCE-BASED METHOD FOR IRIS DETECTION
7542E6BE	Next generation grids for science and industry
78B620BA	Face recognition under pose variations
7ED4CE23	Fuzzy clustering in parallel universes
78698ECC	Fingerprint Image Segmentation Using Active Contour Model
7BB11D52	Determination of pasture biomass using four indirect methods
848CBE07	Bezkontaktní systémy detekce a identifikace osob
803E7CC7	Three-dimensional face recognition system - system configuration
76F39C88	Raman discrimination of bacterial strains using multilayered microcavity substrates
7C39513B	Separation of high-resolution samples of overlapping latent fingerprints using relaxation labeling
7799327C	Picosecond time-resolved resonance Raman spectroscopy of bacteriorhodopsin: structure and kinetics of the J, K, and KL intermediates
7AC5D7C0	Comparative analysis of iris segmentation methods along with quality enhancement
7B0E4519	A study on the effectiveness of biometrics based alternative communication tool
807F77E3	NUEVO MODELO DE EVALUACIÓN ASISTIDA POR ORDENADOR EN EDUCACIÓN A DISTANCIA
7E3A053C	Characterization of Integrated Tin Oxide Gas Sensors With Metal Additives and Ion Implantations
5D5FCA21	Fingerprint classification using scale-invariant feature transform
7B6BFF4E	Characterization of the pigment xanthomonadin in the bacterial genus Xanthomonas using micro- and resonance Raman spectroscopy
7A3018B5	Biometric Authentication for Intrusion Detection Systems
7D412D1C	Fusion based approach for thermal and visible face recognition under pose and expresivity variation
7F259794	Experiments with Fingerprint Image Quality
7A256FDC	A new simultaneous compression and encryption method for images suitable to recognize form by optical correlation
7B65874E	An extensive research on robust digital image watermarking techniques: a review
75274189	Effect of mask 3D and scanner focus difference on OPC modeling and verification
7AAF4C88	Biometric Template Protection Using Universal Background Models: An Application to Online Signature
80312A4D	Improving biometric identification through quality-based face and fingerprint biometric fusion
7569DC01	400- and 750-MHz one- and two-dimensional nuclear magnetic resonance spectra of x-ray-degraded poly(methyl methacrylate): comparison with UV-degraded material
7AE9C918	Epibiosis on cerith shells in a seagrass bed : correlation of shell occupant with epizoite distribution and abundance
793246C7	An efficient method for Finger-Knuckle-Print recognition based on information fusion
7756FC25	Forensic Identification of People from Images and Video
7CCB760D	A new method for number recognition based on feature extract
80E64FFF	Effectiveness of Multi-Perspective Representation Scheme on Support Vector Machines
813BF12F	Reversible watermarking with digital signature chaining for privacy protection of optical contactless captured biometric fingerprints - a capacity study for forensic approaches
7C7E23EA	Fingerprint Clustering for Forensic Data Indexing
75928017	Trends in AFIS technology: past, present, and future
765F0167	Face segmentation: A comparison between visible and thermal images
75DB1D0F	New Approaches For Identification Of Small Particles
77F7F890	A new method about operating system identification
7BACDE27	Fingerprint orientation reconstruction from minutiae points
7B298D35	Experimental proximity matching of ArF scanners
7D769392	Improving Security of Internet Services through Continuous and Transparent User Identity Verification
7D8146D9	Robust image watermarking: an invariant domain approach
806ABD8D	Preprocessing media to facilitate later insertion of a watermark
780E8BF3	Random forgery attacks against DTW-based online signature verification algorithm
2EFE7696	Training of cosmonauts and astronauts
2F102D15	Performance analysis of multimodal biometric fusion
75B44C90	Enhanced information security employing orthogonal code, steganography, and joint transform correlation
811D3336	Some fingerprints of ideal memristors
76D5EDC0	Soft information fusion of correlation filter output planes using support vector machines for improved fingerprint verification performance
7AAE868D	A-MAKE: An Efficient, Anonymous and Accountable Authentication Framework for WMNs
7CC643F2	Biometrics and kinematics of a four legged crawler robot
7794B6A8	Gait recognition based on the body's natural features
7A852B69	Influence of availability of shade on testicular characteristics of Santa Ines rams - doi: 10.4025/actascianimsci.v35i.18479
3B3B5365	Fingerprint identification by using artificial neural network with optical wavelet preprocessing
807ED102	Defining a physically accurate laser bandwidth input for optical proximity correction (OPC) and modeling
07664FEF	Mosquito size and multiple transmission of avian malaria in the laboratory
7F94F815	M-Vote: A Reliable and Highly Secure Mobile Voting System
7947091A	Editor's remarks - We need you...
81056416	A secure biometric authentication based on PEKS
808656C1	Gait-based human age estimation
5BF14877	Wireless/Website Traffic Analysis & Fingerprinting: A Survey of Attacking Techniques and Countermeasures
793A4128	Interoperability in fingerprint recognition: A large-scale empirical study
5FB9C4C0	Security Analysis of a Biometric Authentication System Using UMLsec and JML
7C47003E	On combining information from both eyes to cope with motion blur in Iris Recognition
7E8A3F2E	Deflection Angle Detection Method Study for Two Fingerprint Images Based on the Fingerprint Character Ring
7D361C54	3D Face Reconstruction Using a Single or Multiple Views
765099AA	Securing fingerprint template by watermarking
7BD42351	Sir Francis Galton e os extremos superiores da curva normal
7D96DE24	Information hiding for EC: public key traitor tracing for digital copyright protection
5D9D3089	퍼지서명볼트스킴을 이용한 인증 프로토콜
7F9C5EC1	A Duplicate-Aware Data Replication
75861D43	Optimization of illuminating system to detect optical properties inside a finger
762A4BA8	Gazela: asesor digital de redes sociales para adolescentes
7C4F9009	Theory of the biometric-based technology in the field of e-commerce
7DB0BCC4	Research on RSS based Indoor Location Method
766DD1D8	Newborn and infant footprint crease pattern extraction
7D5FB094	Semi-Supervised Bilinear Subspace Learning
77E59284	Using crypts as iris minutiae
60BF82F0	Recognition accuracy of the new fingerprint construct based on a compact minutiae pattern
81020879	Moisture effect of fingerprint using total internal reflection digital in-line holography
605D23D5	Modelling the relationship between constituents and anti-RSV effect of Baikal skullcap root
0BF474BC	A Secure Communication System Using Biometric Identity Verification (Special Issue on Biometric Person Authentication)
7A764174	PLC-cache: Endurable SSD cache for deduplication-based primary storage
0F80A447	A human factors evaluation of Extravehicular Activity gloves
7E178803	Location approximation of a wireless device in a wireless local area network
7649246E	Advanced multimedia security solutions for data and owner authentication
79904E38	Development of a multiplexing fingerprint and high wavenumber Raman spectroscopy technique for real-time in vivo tissue Raman measurements at endoscopy
7643852F	A video digital watermarking algorithm based on DCT domain
7A158F37	Using micro-Raman spectroscopy for nasopharyngeal cancerous tissue detection
7626A8E1	Pulse-Length Modulation Achieves Two-Phase Writing in Matrix-Addressed Liquid-Crystal Information Displays
61B78921	A Comparative Study of Gaussian Mixture Model and Radial Basis Function for Voice Recognition
7AF00118	Finger vein recognition using linear Kernel Entropy Component Analysis
77E61A66	Temporal normalization of videos using visual speech
7BA9AE6D	Acoustic fingerprints of dye-labeled protein submicrosphere photoacoustic contrast agents
7C134656	An efficient multispectral palmprint identification system using radial basis function
0183F586	Technical, Legal, Economic and Social Aspects of Biometrics for Cloud Computing
7C004CE4	0.7-NA DUV step-and-scan system for 150-nm imaging with improved overlay
7DC14BD1	Remote authentication of software based on machine's fingerprint
7AD85D6B	Authentication Protocol using Fuzzy Eigenface Vault based on MoC
77F2B44C	Secure OTP and Biometric Verification Scheme for Mobile Banking
80D8D9CB	Research of topology-based fingerprint matching algorithm
7CE05B35	A novel algorithm for fingerprint identification using ellipse method
777D1AFB	Privacy considerations for a pervasive eye tracking world
7C380D22	Building Technologically Based Online Trust: Can the Biometrics Industry Deliver the Online Trust Silver Bullet?
7F54C791	Pi: a path identification mechanism to defend against DDoS attacks
80575478	Fingerprinting Traffic Log
5FB0D7FF	Design of network entrance guard system based on fingerprint recognition technology
778E1C8D	Prolog To Fingerprint Features: Statistical Analysis And System Performance Estimates
83F0FC8B	Research on data fusion of the Internet of Things
75F250C5	On Interoperation of Hybrid Cloud
0C3487C1	Measuring Usability via Biometrics
7845A214	Biometric Advisory System to Analyze a User's Post-Disaster Stress Management
7B6C311D	An enhancement of Bayesian inference network for ligand-based virtual screening using minifingerprints
7F680988	Kansei Engineering Framework to Construct a Kansei Service Model: Extension of Kansei Information Related Ontology
77E9AD66	Trusted Network Connection Based on Object Fingerprints
7E91C7E8	TCP HandOff: A Practical TCP Enhancement for Heterogeneous Mobile Environments
7C7764BB	A New Fractional Random Wavelet Transform for Fingerprint Security
7EF75F71	The Design of Wireless Students Management System Based on Fingerprint Sensor
76A56492	Liquid analysis based on fiber micro-drop sensors
78CB3F49	ASPDD: An Efficient and Scalable Framework for Duplication Detection
59CE4527	Authors of Keynote Papers: Khalid Saeed
7EEC5ADA	Protein Changing of Rice Mutants after Space Flight
7B553AAB	Plasmonic aptamer–gold nanoparticle sensors for small molecule fingerprint identification
7DD59D7B	Biometrics and e-identity (e-passport) in the European Union: end-user perspectives on the adoption of a controversial innovation
85F960F7	A behavioral biometric system based on human-computer interaction
7F9DC818	Biometric key generation with a parametric linear classifier
153E3D14	29P-B-9 キーストローク認証手法における静電容量式タッチスクリーンの適用性評価(知的システム,一般講演)
787D3892	Fingerprint registration for small fingerprint sensors
5E58656B	Pattern Recognition Using Modular Neural Networks and Fuzzy Integral as Method for Response Integration
7B68A95C	A Palm Vein Recognition System
00CB1FFB	Automatic gait recognition via statistical approaches
83099B7E	An Efficient Cascaded Filtering Retrieval Method for Big Audio Data
788A3E5D	Auto-biometric for M-mode echocardiography
09FA952F	Clinical ophthalmic ultrasound improvements
5E79D20D	Locating facial features with color information
78ED85EB	Off-line English and Chinese signature identification using foreground and background features
785164D3	Biometric Template Security for Personal Information Protection
861CC52A	Personal verification using palmprint and hand geometry biometric
7D724B57	A Fingerprinting Utilizing Chaos-Based Watermarking Techniques
76100E91	Using 3D pose alignment tools in forensic applications of Face Recognition
75DC3731	Optical fingerprinting to protect data: a proposal
7C2A0E34	Indoor navigation using WiFi for smartphones: An improved Kalman filter based approach
7E295286	Designing a Bio-Capsule secure authentication system
58BEA224	Fingerprints: Recognition, Performance Evaluation and Synthetic Generation
5C5EEA81	Sweat collection capsule
7DDEE942	Understanding the role of facial asymmetry in human face identification
7DEF45A3	Using Biometric Technology in Rural Credit Markets : The Case of Malawi
79340B89	Modeling pixel process with scale invariant local patterns for background subtraction in complex scenes
5D489321	Face recognition from color images using sparse projection analysis
70A09709	Fingerprint image compression
7A913553	Authentication System Using EEG Biometric for Smart Home
7F776F15	An approach to improve the ZS thinning algorithm
77B110DF	In vivo hyperspectral CARS and FWM microscopy of carotenoid accumulation in H. Pluvialis
78E73DD9	New Pathways in Identity Management
75E8B866	The algorithm studies of Hidden Markov Model in face distinguishing
788A9226	Audio fingerprinting based on dynamic subband locating and normalized SSC
7C6AF256	Explosive detection in the presence of clutter by processing Raman spectra with a kernel adatron
6BAAE88F	La guerra de las huellas dactilares: identidades, jerarquías y cuerpos
7B932D7A	Compensation of geometrical deformations for watermark extraction in digital cinema application
7514580F	Benchmarking the performance of SVMs and HMMs for accelerometer-based biometric gait recognition
788F6470	Computation of axonal elongations: towards a new brain injury criterion
799E8054	Adaptive weighted local textural features for illumination, expression, and occlusion invariant face recognition
6E75E739	Functional hard-coat for cartridge-free DVR-blue
49EEEB02	YieldStar based reticle 3D measurements and its application
76B7A3F6	A Study on a Fingerprint Identification System Complemented with Additional Three-Dimensional Information
5B91D0F9	An effective algorithm for fingerprint reference point detection based on filed flow curves
8200B678	Text Indicated Speaker Recognition Using Separate Models of Lip Movement
7B0B542A	Spam filtering cloud platform based on sharing fingerprints
550147D6	Gender and Ethnicity Classification Using Partial Face in Biometric Applications
785DD539	Fingerprint recording with bolometric detectors
5AC06A39	Multimodal Interaction in Biometrics: Technological and Usability Challenges
761BB5F3	Selecting optimal classification features for SVM based elimination of incorrectly matched minutiae
7C034A7C	Network simulation for MAC spoofing detection, using DTF method
77AFA69A	Computational intelligence techniques for reflections identification in iris biometric images
71253DCA	Unofficial hacking algarithms
113D3B3F	Cardiovascular examinations and observations of deconditioning during the Space Shuttle orbital flight test program
7B915BC6	An investigation into the technical, legal and ethical issues associated with biometrics in the UK (application to biometrics module for computing programmes)
8441450D	An application of fuzzy logic and neural network to fingerprint recognition
81B5EA88	Protecting medical images with biometric information
81DE8222	Secure Multimodal Biometric Recognition Using Watermarking Scheme
7B6E2316	Gold-coated nanoporous substrates for SERS studies
78D0D553	Security enhancement of biometrics, cryptography and data hiding by their combinations
85F2DC3E	Predicting large population data cumulative match characteristic performance from small population data
7D6FD200	Link analysis approach to improve detection of fragmentation attacks in Misuse IDS
7CC021DE	Face Recognition on Consumer Devices: Reflections on Replay Attacks
789C3429	Automatic chaptering of VoD content based on DVD content
7F6E9530	Image and video descriptors
5D5AFDA4	Improving versatility in keystroke dynamic systems
7D2FA844	Fingerprint identification system by optical joint transform correlator
5CF5EF0A	Cox, Gertrude Mary
7A510C62	Hand-dorsa vein recognition based on partition Local Binary Pattern
7C9EEE43	Solution for high-order distortion on extreme illumination condition using computational prediction method
76F468E9	Digital Fingerprinting on Executable File for Tracking Illegal Uproaders
0C027321	An Automatic Offline Signature and Forgery Detection System
757FA1C3	Surface enhanced vibrational spectroscopy for the detection of explosives
7C45C023	Secure access system using signature verification over tablet PC
7710DE0E	An efficient DCT based fingerprinting scheme for thwarting collusion attacks
5723E785	The history of econometric ideas: Conclusion
75C2B22F	The Detection And Photography Of Fluorescent Marks
78EEFDA4	A multimodal biometrics system implemented using open source technology
6898869C	New operators for optimized orientation estimation
779D7E8C	Implementation of authenticated and secure online voting system
752D79D8	A simple model for biometric identification technology using fingerprint scanning
5BCD31EB	Fast polynomial reconstruction attack against fuzzy fingerprint vault
7877A31B	A MODEL-BASED APPROACH TO HAIR REGION SEGMENTATION
04F79A61	Tests Results Advanced Development Models of BISS Identity Verification Equipment. Volume V. Miscellaneous.
330EDE51	Security check : an increase in spending on security does not necessarily mean that safety and standards have improved
80B2771C	Guest Editors' Introduction: Evolving Critical Systems
76217BD5	Application of terahertz spectroscopy and imaging
77699059	A video surveillance system for fingerprint acquisition
7902CF8D	Double encryption based secure fuzzy vault construction using fingerprint biometric features
315378CC	Two Factor Face Authentication Scheme with Cancelable Feature
75D86046	Detecting Man-in-the-Middle and Wormhole Attacks in Wireless Mesh Networks
58F06585	Iris structure acquisition method
733B0878	IDENTIFIKASI PERSONAL BERDASARKAN CITRA STRUKTUR TANGAN
80EEF888	A Complementary Ordering Method for Class Imbalanced Problem
2E812EBB	The Undeniable Digital Multi-Signature Scheme based on Biometric Information
8042531B	Feature Extraction by Best-Basis and Wavelet Methods.
80279338	A hybrid data fusion based cooperative localization approach for cellular networks
6164C9AB	Fingerprint Recognition System for On-line User Authentication
8204D587	Real-time indoor navigation using smartphone sensors
774F5A5E	Research on the Application of Image Fusion in Material Evidence Photography
7C86DB15	Trends and Challenges in Mono and Multi Biometrics
5DEEB712	The costs and benefits of using complex 2-D Gabor filters in a filter-based fingerprint-matching system
7EA2B219	Robust Radial Face Detection for Omnidirectional Vision
055AFDD9	Digital identity toolkit : a guide for stakeholders in Africa
756D5958	Biometria da parte aérea da cana soca irrigada no Submédio do Vale do São Francisco
7B807C16	Sex Differentiation of Yellow-legged Gull (Larus michahellis lusitanius): the Use of Biometrics, Bill Morphometrics and Wing Tip Coloration
77CA9D4D	Considering Social Implications of Biometric Registration: A Database Intended for Every Citizen in India [Commentary]
0BBAE5F3	A potable biometric access device using dedicated fingerprint processor
5E86388E	On the vulnerability of finger vein recognition to spoofing
315CB1F4	Objective techniques for psychological assessment, phase 2. [techniques for measuring human performance during space flight stress
7EF96EFE	A distributed and cooperative user authentication framework
792A8E82	Extracting features to recognize partially occluded objects
7A2A61E5	Recognizing human gait in video sequences
7F05B2CF	A brief review of some applications of coherent optical processing to image improvement
78ED47B7	Tryptophan as key biomarker to detect gastrointestinal tract cancer using non-negative biochemical analysis of native fluorescence and Stokes Shift spectroscopy
7705E5EC	The development of destination-specific biometric authentication
7D62578A	Cancelable Face Recognition Using Random Multiplicative Transform
81489B61	Extracting repeats from media streams
80E427B7	Molecular-based processing and transfer of information in the terahertz domain for military and security applications
7801AEA1	Raman spectroscopy for the detection of explosives and their precursors on clothing in fingerprint concentration: a reliable technique for security and counterterrorism issues
7D0D8B8D	Interval Scanning Photomicrography of Microbial Cell Populations
80D75857	Hospitality Review Volume 31 Issue 3 2014
7F520F35	Robust face recognition by multiscale kernel associative memory models based on hierarchical spatial-domain Gabor transforms
5F33F1E2	Fusion of global and local feature based iris recognition
75BB826E	Palmprint Recognition with Multiple Correlation Filters Using Edge Detection for Class-Specific Segmentation
7B9D8B6A	Accountability for Perfection
80EB69BF	Software framework for an ocular biometric system
772D234D	Resonance Raman spectroscopy for human cancer detection of key molecules with clinical diagnosis
6F6A9D9C	A Survey on Distributed System Security using Three Factor Authentication
79B214D2	FingerPhone: smart interphone integrated with a fingerprint sensor
7601FF7A	A fast key generation method based on dynamic biometrics to secure wireless body sensor networks for p-health
7B53F0C1	Robot 2D self-localization using range pattern matching via the Discrete Fourier Transform
808E66CE	Security scheme research of digital products online transactions
136B7EF9	Individual authentication through hand posture recognition using Multi-Hilbert Scanning Distance
77BD65AE	Adaptation vs. constraint : intraclutch egg-mass variation in birds
7D686004	Study on Algorithm of Eyelash Occlusions Detection Based on Endpoint Identification
7A87E506	Personal Information Protection for Biometric Verification based TeleHealth Services
58E8EC82	Legal challenges of biometric immigration control systems
7678DAF8	The 2013 CLSR-LSPI seminar on electronic identity: The global challenge - Presented at the 8th International Conference on Legal, Security and Privacy issues in IT Law (LSPI) November 11-15, 2013, Tilleke & Gibbins International Ltd., Bangkok, Thailand
7A1FE734	A study of the mushrooms of boletes by Fourier transform infrared spectroscopy
77DF65EC	Copy image detection based on local keypoints
2EFC4E94	Self Assembled Structures by Directional Solidification of Eutectics
7B30146C	Web server for Web page fingerprinting
7EF612F4	Intelligent Biometric System using PCA and R-LDA
770B6F49	Ear Biometrics: A Survey on Ear Image Databases and Techniques for Ear Detection and Recognition
7CCF0585	Robust method to identify the speaker using lip motion features
3489EA1E	Measuring Level of Difficulty of Fingerprint Database based on Sample Quality
7D0FC14B	Palmprint Recognition Based on Slope Orientation Map
75251224	What Surprises Do Identical Twins Have for Identity Science?
7BF5B04E	The conclusive role of postmortem computed tomography (CT) of the skull and computer-assisted superimposition in identification of an unknown body
78DA295D	Mobile Cloud Computing for Biometric Applications
7849459C	Responses and ramifications of rice canopy leaf stratification
3297A36A	IN DEPTH ANALYSIS OF PREPROCESSING, MINUTIAE EXTRACTION AND POST PROCESSING IN FINGERPRINT SYSTEM
7AF7AFBB	THE ANALYSIS OF RECURRENT FAILURE TIMES: THE TIME-DEPENDENT YULE PROCESS APPROACH
7E473FB3	HPLC-fingerprint study on medicinal Folium Fici Microcarpae of Guangxi
81D6FC17	Performance of Biometric Palm Print Personal Identification Security System Using Ordinal Measures
234EC6A0	Trialling Large-Scale Biometric Systems
7A9EB517	Response of endemic Clarias species’ life-history biometrics to land use around the papyrus-dominated Mpologoma riverine wetland, Uganda
2632782A	Multi-Layer Biometric System for the Port of Los Angeles
761C48BB	Sphere packing lower bound on fingerprinting error probability
80C304A1	Adaptive smoothing tangential direction fields on polygonal surfaces
75436660	Determining the transfer function of a mask fabrication process
5BC13B30	The Right to Know and the Right Not to Know: The right to know and the right not to know: the emerging debate
790C1656	An efficient approach of 3D ear recognition
779381B6	Measurement of Active State in Human Action and Detection of the Movement Promotion Point
7C66E683	FKP biometrics for human authentication using Gabor Wavelets
7988CBA9	CREM monitoring: A wireless RF application
7A75C5AA	Two barriers to realizing the benefits of biometrics: a chain perspective on biometrics and identity fraud as biometrics' real challenge
75E635B2	Composite Hazard Functions Reflecting Competing Latent Processes
7BB3B0EC	Biometric person authentication method using features extracted from pen holding style
8045CB95	A new Dynamic Key Generation Scheme for Fraudulent Internet Payment Prevention
7A4F751F	Robust FPGA intellectual property protection through multiple small watermarks
77D4191C	An environment adaptive ZigBee-based indoor positioning algorithm
81269EE8	The Effect of Variable Base on Perceiving Gender Kansei of 3D-Shape
814CF585	An Analysis of Biometric Technology as an Enabler to Information Assurance
7DA4204C	Contrast enhanced amplified imaging by photorefractive recycling
82693F4B	Using Wi-Fi/magnetometers for indoor location and personal navigation
77D94B74	SecurePhone: a mobile phone with biometric authentication and e-signature support for dealing secure transactions on the fly
7B4F852A	A wearable, ambient sound-based approach for infrastructureless fuzzy proximity estimation
21D5FA29	TSA expands TWIC program
85C4FA6F	An overview of ICA (independent component analysis) applications in remote sensing data
76F09150	Experimental Analysis: Hybrid Scheme for Face Recognition Using KPCA a SVD
586474B9	Exercising identity: agency and narrative in identity management
7DA9DAA9	A novel approach of fingerprint recognition based on multilinear ICA
326D7A26	Automatic Extraction of Legal and Courtesy amount, Payee Name and signature in Bank Cheque Processing System
7CEA268F	Server-side reconstruction trajectory generation methods for hand written objects authentication - A comparative review
7F451F2E	Efficient fingerprint extraction for high performance Intrusion Detection System
812800A6	Fusion of support vector classifiers for parallel gabor methods applied to face verification
7711F259	Proposal for novel 3D password for providing authentication in critical web applications
18568FC1	Morphometric and Meristic Characteristics and Food Habits of the Knifefish in Lekki Lagoon, South Western Nigeria
7B71DC26	Semiparametric Estimation Methods for Panel Count Data Using Monotone B-Splines
5F0E17B4	Unconditionally Secure Approximate Message Authentication
848CB193	BookReviews: Biometric Security Solutions
7E407A5B	Extracting Digital Fingerprints from Chinese Documents
81F92F32	Olaniyan et al – A Proposed Multiple Scan Biometric Based System forEe-Voting A Proposed Multiple Scan Biometric-Based Based System for Electronic Voting
7FE29AE3	A conceptual model for graphical authentication
76C58EBE	Electromagnetic induction spectroscopy for detecting and identifying buried objects
0F888B40	RESUMEN DE TESIS DOCTORAL Alpha-Beta Bidirectional Associative Memories Memorias Asociativas Bidireccionales alfa-beta
7A3F4690	A novel measure of fingerprint image quality using the Fourier spectrum
80B80AE0	Robust thinning algorithm without artefacts for pattern recognition and 3D plant modelling
81107AE5	Preprocessing of two-dimensional fingerprint images for fingerprint recognition
5A8201DC	A fast audio search method based on skipping irrelevant signals by similarity upper-bound calculation
75BF44F9	Mach’s phenomenalism and the British reception of mendelism
8015BD77	Extraction of 3D Transform and Scale Invariant Patches from Range Scans
6B5F540E	Contactless Fingerprint Recognition Based on LDP
7F2D076D	Signature Searching in a Networked Collection of Files
