0B80918E	The Rascal Language Workbench
5AE07CD0	Using Graph Models in Retargetable Optimizing Compilers for Microprocessors with VLIW Architectures
7ADD2F23	OSSIE-based GRA testbed
042F15FC	F#3.0 - Strongly-Typed Language Support for Internet-Scale Information Sources
79977586	Dynamic probability based instruction scheduling for low-power embedded system
7E7FF626	Automation of grid service code generation with AndroMDA for GT3
7DCFD5CB	Optimizing method of C compiler for TRON architecture
80CAF07B	Eliminating dead-code from XQuery programs
800069D4	Parallel condition-code generation for high-frequency PowerPC microprocessors
7DB4CD2D	Error-resilient scalable compression based on distributed video coding
7AE73C36	An optimization strategy for 5-axis high-speed milling prostheses based on STL modeling
76CA2B2D	MOD2-SCM: A model-driven product line for software configuration management systems
7BF4379E	Automatic synthesis of high performance mathematical programs
75D4BE47	MDA-based tool chain for web services development
80FCEA82	A Chipless RFID Sensor System for Cyber Centric Monitoring Applications
5B598B37	Automated code generation for integrated layer processing
759BF8C7	Well-typings for Java λ
2703A059	Automatic code generation by model transformation from sequence diagram of system’s internal behavior
08A85BB0	Flattening VLIW code generation for imperfectly nested loops
7F28305E	Reconfigurable Hardware Structures for Spreading and Scrambling Operations
79538456	Non-Systematic Complex Number RS Coded OFDM by Unique Word Prefix
7D9A6938	LHC GCS: A MODEL-DRIVEN A PPROACH FOR AUTOMATIC PLC AND SCADA CODE GENERATION
7A0CE45A	Generation of all-fiber optical Manchester code using nonlinear polarization rotation
5E6203C3	Some Modest Proposals for Challenging Established Dress Code Jurisprudence
7787D7E2	Ground demonstration of an optical control system for a space-based sparse aperture telescope
7A924CC4	Keynote II: Formally verifying a compiler: Why? How? How far?
7D248AE3	Ambulance call triage outcomes for patients reporting pain: a retrospective cross-sectional analysis of pain score versus triage level
7F25402F	Combined partitioning and data padding for scheduling multiple loop nests
7ECEA817	Rapid prototyping of transition management code for reconfigurable control systems
08188AC3	MetaVM: A Transparent Distributed Object System Supported by Runtime Compiler
7871E65E	5-Bit Quasi-Sinusoidal Voltage Waveform Synthesized Using Single-Flux-Quantum Pulse-Frequency Modulation
7921BEE2	Power-optimal encoding for DRAM address bus (poster session)
7E56E697	Automatic HTML generation from formal hypermedia specifications
7FEC1FE3	The loading time scheduling problem
7F1AE2E4	VHDL code generation for FPGA implementation of digital control with co-simulation step
61105E74	Digital Synthesizer and Code Generator.
8059A352	Generating correct and efficient equality and hashing methods using JEqualityGen
78D301EA	Secular decreases in fracture rates 1986–2006 for Manitoba, Canada: a population-based analysis
72B99789	An adaptive synchronization method for unpredictable communication patterns in dataparallel programs
0422E292	A 4GL for Multiple Platform GUI Code Generation
7E1E060A	Splice: A Standardized Peripheral Logic and Interface Creation Engine
76E674EC	Frances: a tool for understanding code generation
7D2D7003	Shape matching based real-coded genetic algorithm for grasping construction
5E1E6237	Scene text area detection from video
5DF465D6	Code generation and separate compilation in a parallel program debugger
7C282216	Reliable software for unreliable hardware: embedded code generation aiming at reliability
80366F46	A versatile time-domain Reed-Solomon decoder
7C6A7CDE	Image algebra preprocessor for the MasPar parallel computer
7DFD642C	Molecular Genetics Information System (MOLGENIS): alternatives in developing local experimental genomics databases
752B2DDA	Elementarteiler von Inzidenzmatrizen symmetrischer Blockpl?ne
7C99AD36	Health-connect: An ontology-based model-driven information integration framework and its application to integrating clinical databases
7D4FF0EF	A hybrid synchronous language with hierarchical automata: static typing and translation to synchronous code
810361F8	A quantitative analysis of model-driven code generation through software experimentation
5B87BC3F	If-Conversion in SSA Form
010D88B5	The Lilith Architecture, Its Design in View of Code Generation
5EE1742D	Analysis of Intelligent Transportation Systems Using Model-Driven Simulations
7D8514A5	System Design with Object Oriented Petri Nets Formalism
7D63E0CA	Surface Wave Device Applications in Microwave Communication Systems
7B39A893	Computer-Aided Software Design for Spacecraft Guidance, Navigation and Control
805E55BC	A code generation tool for simulation and control, based on colored Petri nets
8145BC1A	Automatic Application of Last-Touch Instructions for Leakage Energy Reduction
7B826E7B	A SQL: 1999 code generator for the pathfinder xquery compiler
803AA287	An Automated Test Code Generation Method for Web Applications using Activity Oriented Approach
80B27914	Multi-purpose code generation using fingerprint images
033DA52D	Correct Code-Generation in a Generic Framework
7F0E3F9A	Scalable Java Communication Middleware for Hybrid Shared/Distributed Memory Architectures
6AFB5864	A new coding technique: integer multiple mark modulation (IMMM)
7C99176E	Echtzeit-Implementierung eines algebraischen Ableitungsschätzverfahrens (Realtime Implementation of an Algebraic Derivative Estimation Scheme)
03FB4CED	A First Implementation of Modular Smalltalk
583E4F8A	Experiences with co-array fortran on hardware shared memory platforms
7A09C889	A Code Generation Toolkit for C++ Web Services Development
683074F8	Java Frameworks and Components: Integrated Development Environments
5BC0A11D	Performance study on multimedia fingerprinting employing traceability codes
5CDC4EF3	An optimising compiler for generated tiny virtual machines
59F0C793	Code Generators for Automatic Tuning of Numerical Kernels: Experiences with FFTW
7DB9ECE8	Performance Analysis of Variable-Weight, Multilength Optical Codes for Wavelength-Time O-CDMA Multimedia Systems
7B011052	Validation of Distributed Real-Time and Embedded System composition in UniFrame
76E04889	A Model Driven Approach for the Alignment of Business and Information Systems Models
7BA9A020	Power minimization derived from architectural-usage of VLIW processors
7ED77358	Correlation analysis of the gold codes and walsh codes in CDMA technology
80A52DB4	Enabling flexible medium access design for wireless sensor networks
057873BE	Loop Partitioning on the TMS320C6x
619033BD	Using Symbolic Algebra for the Generation of Orbit Simulation Codes from Hamiltonians
7E5F228E	Analysis of multiply censored run-in data
7535A4D2	Comparison of Six Ways to Extend the Scope of Cheddar to AADL v2 with Osate
778D3F04	ASSL: A Software Engineering Approach to Autonomic Computing
220B3EC3	A variant metamodel language to support software product
811092AD	Real time formal specification using VDM/sup ++/
7E4B68FC	Writing Interruptible Looped Code for the TMS320C6x DSP
766C1FB8	Code optimization for tagged-token dataflow machines
75128237	Experiences of using the Dagstuhl Middle Metamodel for defining software metrics
7FF97F39	Formalizing DSL semantics for reasoning and conformance testing
7B558038	An MDE-Based Process for the Design, Implementation and Validation of Safety-Critical Systems
73889384	A reduced-state soft input soft output algorithm based on state partitioning
5CA49FB8	Object-Oriented Refactoring of Existing Immune Models
7A0EB312	Deterministic tests for detecting singleV-coupling faults in RAMs
764CD37A	Does size matter?: a preliminary investigation of the consequences of powerlaws in software
7A51ED46	Integrated instruction selection and register allocation for compact code generation exploiting freeform mixing of 16- and 32-bit instructions
5F814589	A Generalized Class of Boosting Algorithms Based on Recursive Decoding Models
7A5BFD21	QoE/QoS Improvement in Wireless Internet
80289C79	Simulation tool for the study of PMSM control techniques
76B3408B	Autonomous mapping of HL7 RIM and relational database schema
79556542	ADLs and dynamic architecture changes
782E21F8	Ada abstraction, generation, verification
77DDFE32	A Model Driven Software Framework for Zigbee Based Energy Saving Systems
809CA1D1	MetaEdit+: defining and using integrated domain-specific modeling languages
77895CE9	90° ‐ Rotationally Invariant Multilevel Convolutionally Encoded QAM
8052B60E	Compiling on Horizon
770595B8	Embedded C Code Generation Platform for Electric Vehicle Controller
8139A83F	A retargetable optimizing code generator for digital signal processors
03B89D2C	OPUS; power plant performance and price study. [UNIVAC1108; FORTRAN IV]
716C9B9C	Software synthesis with evolutionary algorithms
77DE30F0	NUMERICAL SIMULATION OF SLOSHING IN RECTANGULAR TANK WITH VOF BASED ON UNSTRUCTURED GRIDS
768CD037	Quantum Memory using the Multi-single-photons Storage within a Micro-waveguide System for Security Camera Use
77426C16	Experiments with Prolog design descriptions and tools in CAEDE: an iconic design environment for mutltitasking, embedded systems
80147EA6	A low-noise flexible integrated system for recording and analysis of multiple electrical signals during sleep–wake states in rats
7B4DF83E	Translation and Optimization in the Verification of Real-Time Systems
7FDC462E	LOTOS code generation for model checking of STBus based SoC: the STBus interconnection
7B21E445	Parallelism for free: efficient and optimal bitvector analyses for parallel programs
5D1AF38D	A novel information hiding scheme based on BTC
7C65028B	Cleanroom: Edit-Time Error Detection with the Uniqueness Heuristic
78CD9112	DEMOS: a tool for declarative executable modeling of object-based systems
5FA80E2D	An Instruction Stream Compression Technique
06EF4AC5	A Transformational Approach to Code Generation for Numerical Simulation: the SimGen System
7AE1965C	Hardware compilation of sequential ada
8321C33F	High-level microprogramming: an optimizing C compiler for a processing element of a CAD accelerator
7D204A73	SAW Quadraphase Code Generator
7D748AD8	The robust implementation of sequence‐controlled iteration
5ED4C324	L2 OSTC-CPM: Theory and design
59016A2A	A Unified Code Generation Approach Using Mutation Scheduling
811EDC2B	A Template-Based MHP Authoring Tool
7646277B	Raising family is a good practice
7D43677F	Optimal digital design of signal processing applications using hybrid architectures
5EC48695	S1—A Simple Compiler
7B0D7F41	Correlation radar: optimisation of code generator architecture
7A05B574	Generating Java Code from Design Patterns Formalized in BPSL
7E7FBC8F	From object-oriented modeling to code generation for rapid prototyping of embedded electronic systems
78C0D2ED	Burst error correcting 2k‐ary cyclic an codes generated by natural number A1·p
807D95AF	Prediction of composite elastic modulus and polymerization shrinkage by computational micromechanics
7EC215CE	Incremental OCL to C# code generation
5D0BF582	Integer Linear Programming versus Dynamic Programming for Optimal Integrated VLIW Code Generation
0BD030BC	Supercritical wing sections. III. [codes K and corrections to H, in FORTRAN IV for CDC 6600]
79C133A6	Research of Equipment Support Simulation Federate Automatically Generating Framework
77AD9A30	Predictable parallel real-time code generation
6F93EECF	Machine code generating to speed-up the circuit simulation
5ADCF164	The Paraguin compiler - message-passing code generation using SUIF [Stanford University Intermediate Format]
7F93F42B	Architecture and programming of a VLIW style programmable video signal processor
7622FC26	A universal intermediate representation for massively parallel software development
5B0B0D96	Moby/plc — A design tool for hierarchical real-time automata
0B78FA72	KORRIGAN: a Formalism and a Method for the Structured and Mixed Formal Specification of Components
7CCA447F	A Systematics generator
731D0410	A Flexible Model-Driven Game Development Approach
78926DC3	Design and implementation of automatic verification for PLC systems
5F31E55A	Classification Based Revocable Biometric Identity Code Generation
7D0D08B5	Rapid prototyping through communicating Petri nets
75F7E7D6	AN INTEGRATED FRAMEWORK FOR RAPID SYSTEM PROTOTYPING AND AUTOMATIC CODE D ISTRIBUTION
7D33BB15	Autocoding: an enabling technology for rapid prototyping
8116CEA6	Mulit-level system integration based on AUTOSAR
7BDB6468	An Intelligent Framework for Plotting Using Functions
5D1DB4AE	A Domain-Oriented, Model-Based Approach for Construction and Verification of Railway Control Systems
7D2831C4	On optimal extraction of combinational logic and don't care sets from hardware description languages
65C18F8B	Using Formal Grammar and Genetic Operators to Evolve Malware
58DCA0FE	Meroon V3: A Small, Efficient And Enhanced Object System
7D7A208E	Equational code generation: implementing categorical data types for data parallelism
00FF1060	BOX: Icing the APIs
7E0E2FE6	On generation and measurement of combined Barker codes
78FFBF2A	A cooperative software-hardware approach for wireless body area network implementation
78A9F8B8	DIMAG: a framework for automatic generation of mobile applications for multiple platforms
7E0D1BA3	High-Level Abstraction Modeling for Detailed Analysis of Avionic Real-Time Systems
80BB0CDB	FlexCore: Utilizing Exposed Datapath Control for Efficient Computing
78E97072	Simulations of X-ray telescopes for eROSITA and IXO
7E7A52BD	Avoiding explosive search in automatic selection of simplest pattern codes
01D5E4FB	Code Generating Functional Language Modules for a Persistent Object Store
7BFD4D01	T -Matrix method for general star-shaped particles
7E4FAFC4	ISML: A language and MDE environment to model and generate web applications with integration of existing components
7A7B2CF6	Design EG-LDPC codes for soft error mitigation in memory
756A3FD3	New explicit bounds for ordered codes and (t,m ,s)-nets
7729AEF9	Embedding Smart Buffers for Window Operations in a Stream-Oriented C-to-VHDL Compiler
765D2B9E	A Mapping Simulation of Code Generation for Partitioned System
7A084C35	Simulation of Industrial Applications using the Execution Environment SCXML
79FA5130	Pairs of codes with prescribed Hamming distances and coincidences
5EA4C43D	Fast Correlation Attacks Based on Turbo Code Techniques
78893804	Distinct Signal Codes Generate Dendritic Cell Functional Plasticity
7E6C94CC	MaramaEML: An Integrated Multi-View Business Process Modelling Environment with Tree-Overlays, Zoomable Interfaces and Code Generation
7BA4C3A0	Design of a model-generated repository as a service for USDL
7E149EE1	Specification-based code generation
76ECDDE7	hcc —a portable ANSI C compiler (with a code generator for the PowerPCs)
80C10B9E	Performance comparison of asynchronous and synchronous code-division multiple-access techniques for fiber-optic local area networks
7FFBF9C8	Automation of Model-Based Testing through Model Transformations
7CB0BE01	Small time scale fatigue crack growth analysis
6ABFC50C	Prototyping object oriented specifications
8158A18C	Some Diversity Product Properties of A Family of Space-Time Trellis Codes with Asynchronous Full Diversity
81EFB38F	ADELFE Design, AMAS-ML in Action
017112F6	An approach to derivation of component-based implementations from data-oriented specifications
7C29AD48	Exploring the portability and extensibility of XML schema generated web applications
7E05B4BF	Pattern Description for the Energy-Efficient Code Generation
7E365FDB	A CAD environment for fuzzy systems HW/SW mapping
5D1A4947	Line codes generator for learning purposes
7CA8C11E	A chaotic SS code generating method and its application to a DS-UWB system
77782FBB	From Design Space Exploration to Code Generati on
76055054	Model-driven approach to Agilla Agent generation
7F9A55E3	TOAD-based all-optical gold code generator
0BF81A56	The eROSITA NRTA software
8156DF7B	The LRLTRAN language as used in the FROST and FLOE time-sharing operating systems
5DF852BC	Model-Based Software Engineering and Process-Aware Information Systems
7A76663A	Compositional model-driven design of embedded code for energy-efficient buildings
7CCB6B29	On the implementation of applicative languages on shared-memory, MIMD multiproce
7F6F2E0B	Object model driven code generation for the enterprise
7D53B04F	Rapid prototyping via automatic software code generation from formal specifications: a case study
66A5047C	The diagrammatic specification and automatic generation of geometry subroutines
760813F7	A transportable code generator generator system
78F11A7B	An Improved Automatic MPI Code Generation Algorithm for Distributed Memory Machine
7EAC55CB	Towards a new approach of model-based HCI conception
78C0C184	The automatic generation of test cases for optimizing Fortran compilers
5943A22C	Adaptive Constraint Handling with CHR in Java
5B8AD9C2	Optimizing a 3D image reconstruction algorithm: analyzing the capabilities of a modern compiler
80C56499	A Formal Framework to Integrate Timed Security Rules within a TEFSM-Based System Specification
5957E7D4	Porting GCC to Exposed Pipeline VLIW Processors
80C446B7	Executable visual software modeling---the ZOOM approach
8034EDCD	Supporting interoperability using the discrete-event modeling ontology (DeMO)
784D7FE0	Reducing Java internet project risks: a case study of public measurement of client component functionality in the user community
80D2DEB3	New Simulink control block for single phase shunt active power filters
0F814BE0	Code Generation - Concepts, Tools, Techniques, Workshop on Code Generation, Dagstuhl, Germany, 20-24 May 1991
5F86E65F	Automatic flow analysis for event-B
061C816A	Adaptive Compilation for Complex Uniprocessor Hardware
81290285	Dymola and Modelica_EmbeddedSystems in Teaching-Experiences from a Project Course
7F62FCAE	Addressing types and objects in Ada
7BA99883	Architectural Modeling to Verify Security and Nonfunctional Behavior
7BEDF3A0	Towards semi-automatic generation of training scenarios in industrial automated systems
7768FFCF	Compiling business process models for sensor networks
7F998922	A DOMAIN ARCHITECTURE FOR SOLVING SIMULTANEOUS NONLINEAR NETWORK EQUATIONS
7723893E	An FPGA-based fast classifier with high generalization property
06D5E919	Neutron decay electron injection into the magnetosphere. Master's thesis
1159373E	FTPCOP: A SAS procedure to access information in SAS data sets by generalized Fortran programs. [In PL/I for IBM 360]
7FC940F7	Lightweight support for the evolution of software design and development artifacts
78CF77F5	A subset FORTRAN compiler for a modified Harvard architecture
817138C9	An integrated environment for reengineering
63193F99	Quantum message authentication based on classical NP-complete problem
79E8F7BC	Rule-based translation of specifications to executable code
75848FAD	Dual-Issue Scheduling for Binary Trees with Spills and Pipelined Loads
752911A8	Simulated evolution based parallel code generations for programmable DSP processors
606B8131	Xputers: very high throughput by innovative computing principles
06982AD7	Generating Fast String Manipulating Code Through Transducer Exploration and SIMD Integration
635BF51A	Numeric implementation of matched asymptotic expansion for Prandtl flow
5B55217E	A Markup Language for Parallel Programming Model on Multi-core System
812F554E	Generating ECAD Framework Code from Abstract Models
7A260920	Automatic FFT code generation for FPGAs with high flexibility and human readability
7B905BB7	An Ultra-Wideband Pseudo-Noise Radar Family integrated in SiGe:C
77BE4234	Automatic checking of instruction specifications
7BBB1B13	P-N Code Generation Using S.A.W. Devices
7C9FC768	Generating Code Using Reflection in the Context of Computer-Assisted Legacy System Analyses and Reengineering
7AEC65FE	Semiautomatic shader code generation for rendering voxelized polygonal models
8156B09A	Backward adaptive tree coding of speech at 16 kbps
7DEFF6F7	Guardian agents to support student group projects
79676A35	Using Real Time Workshop for rapid and reliable control implementation in the Frascati Tokamak Upgrade Feedback Control System running under RTAI-GNU/Linux
7737FFF5	The teaching of computer programming and digital image processing in radiography
85E4C84B	DCG: An Efficient, Retargetable Dynamic Code Generation System
741F16B5	PLC 코드 작성을 위한 공정 분석 및 적용 방법
7E85DEC1	Retargeting the Open64 Compiler to PowerPC Processor
7BAD51BE	Optical code generation using longitudinal mode modulation of 40 Gbps mode-locked laser diode
810ACC84	An AGVS simulation code generator for manufacturing applications
6F1A4FCE	An automatic programming tool for heterogeneous multiprocessor systems
7CA744B2	Architecture for a simulation assembly language supporting sequential, distributed, and hardware operational modes
85ED0CF4	Designing Html Helpers To Optimize Web Application Development
02CA3C53	A code-generated Monte Carlo importance function
7ECBFA08	OBSearch: A High Performance Similarity Search Engine for Java
78D2F2E3	A parser-generating system for constructing compressed compilers
09CB9765	Natural Language Processing based Automatic Multilingual Code Generation
7CB28FD7	Towards autotuning by alternating communication methods
7E2A2B63	Ultra-Low-Power Application Development with RCore C and Assembler
7F61FF54	Dual loop digital control design and implementation of a DSP based high power boost converter in fuel cell electric vehicle
7FA9AB9A	Improved coded cooperation schemes for wireless communications
7DCBBCA1	ASADAL: a tool system for co-development of software and test environment based on product line engineering
75B743FA	Simulink-based hardware/software trade-off analysis technique
012F2D4D	Parallel on-the-fly configuration-interaction shell-model code
7E031AAB	RATS: a software tool to aid the transition from service idea to service implementation
785F44E9	An action compiler targeting Standard ML
058CC11E	Low-Complexity Coding and Decoding
056C8459	Ontology-Enabled Generation of Embedded Web Services
7734438A	Editorial message: special track on web technologies and applications
7A9DF35B	Teaching structured assembler programming
5C59B529	Real-Time Constraints Through the ProCoS Layers
793D85D3	Design and manufacturing of organic RFID circuits: coping with intrinsic parameter variations in organic devices by circuit design
019300B8	Code Generation for the Beehive ISA
8107F28E	Generating efficient protocol code from an abstract specification
0BEBFCE1	UDM: An Infrastructure for Implementing Domain-Speci c Modeling Languages
7DD354F7	A comparison between prolate spheroidal and Gaussian FIR pulse shaping filters
7C61BA33	FSMC+, a tool for the generation of Java code from statecharts
7E59BCAC	A code generation strategy for CORBA-based Internet applications
7A9A91FF	Ada 2005 code patterns for metamodel-based code generation
76FE7C4E	Tunable Lattice-Form Mach–Zehnder Interferometer for Arbitrary Binary Code Generation at 40 GHz
77FCB87D	A compiler for exploiting nested parallelism in OpenMP programs
631C01B0	Commercial winged booster to launch satellites from B-52
7AEE5554	Solution of the problem of telemetering comparisons of measures and measuring instruments
804365BF	Controlling a Mechatronic Set-up Using Real-time Linux and CTC ++
5A5012F4	VDMTools: advances in support for formal modeling in VDM
65220C5F	A generative approach for building data-oriented information systems
7DB3D6D7	Source code: automatic C library wrapping - Ctypes from the trenches
765936FB	CentiJ: An RMI Code Generator
5B99F2DE	Operational Semantics of Ada Ravenscar
7BCE09EF	A practical approach to software engineering by using an interaction handler and skeleton code generator
7DB63143	Logic Synthesis for Engineering Change
79A79D3D	A facility for the downward extension of a high-level language
7FC7B442	Near fine grain parallel processing of circuit simulation using direct method
032D6144	Frequency codes generator
5E217A99	IDK and ICARO to develop multi-agent systems in support of Ambient Intelligence
80445223	Modeling reflex-healing autonomy for large-scale embedded systems
7E1F8D7A	Fingerprint verification based on fixed length square finger code
23B14AFB	A pizza compiler for NET
7E5E5810	Adapting single-request/multiple-response messaging to Web services
85E976FE	Enhanced Modelling and Efficient Realisation of Cyber- Physical Systems
7F3CD884	Transforming UML static models into object-oriented code
78CF7EE5	Securing Java-Based Mobile Agents through Byte Code Obfuscation Techniques
77430BC3	A compositional approach to statecharts semantics
772BC5D0	Proposal of synthesisable analogue-to-digital converters from VHDL-AMS
77DA3680	Preliminary Results from the Application of Automated Adjoint Code Generation to CFL3D
7A8D4E20	Issues in optimizing Ada code
083F1BF9	Automating Performance Optimisation by Heuristic Analysis of a Formal Specification
7D632559	Investigating the dynamic behavior of biochemical networks using model families
04A9478F	Modeling with the Timing Definition Language (TDL)
814A808A	FlexCore: Utilizing Exposed Datapath Control for Efficient Computing
7F1F5982	Analysis and Generation of Test Sequences Based on Hamming Code and its Modifications
797C71B4	Transformation of SysML Structure Diagrams to VHDL-AMS
7776EB3B	A flexible development platform for enterprise application system evolution
7913B7AA	An agent structure for evaluating micro-level MAS performance
79A36F34	The evolution of Erlang drivers and the Erlang driver toolkit
78F68CCA	An inexpensive means of indexing magnetic tape for the computer processing of analogue physiological records
7EA8721C	Pre-filtering of self-encoded spread spectrum in dense multipath channels
5EBD34D8	Code generation for the attribute evaluator of the protocol engine grammar processor unit
3256BBF8	Code Generation from the Statechart Based on XMI
75B7DD7F	The Impact of Model Driven Development on the Software Architecture Process
7FB07CBC	Low cost multi-channel GPS receiver
7F869790	Code generation for Linux device driver
75F3882D	Evaluation of Arithmetic Expressions with Algebraic Identities
779B945A	Automatic computer code generation for hyperbolic and parabolic differential equations
7A13E91B	SLAW (abstract only): a language free environment—future directions and research
7E7106BF	Unidirectional error detection, localization and correction for DRAMs: Application to on-line DRAM repair strategies
5CB9F8DB	Programmable code processor for software defined radio
5909B254	Component Specification and Wrapper/Glue Code Generation with Two-Level Grammar Using Domain Specific Knowledge
75B73E6F	Importance of longitudinal contributions to backward inelastic electron scattering
7540BF8B	Automatic Performance Programming?
792EB876	Using the foxpro code generator in the development of a distributed data entry system
80E177CA	Gender Socialization in Chinese Kindergartens: Teachers’ Contributions
0AF949C3	Aspect-Orientation from Design to Code
7D54D974	Automated Software Defined Radio Deployment Using Domain Specific Modeling Languages
7AC4AEFC	Optimization of a lattice Boltzmann computation on state-of-the-art multicore platforms
7DF9D241	Requirements for OO design environments
785EA795	A unified code generator for multiple architectures
7FCF53D4	Integration of Code Scheduling, Memory Allocation, and Array Binding for Memory-Access Optimization
80318AE7	MetaEdit+: domain-specific modeling environment for product lines
7EB908C4	The MPOWER Tool Chain - Enabling Rapid Development of Standards-based and Interoperable Homecare Applications
7F8E7093	Interoperable domain‐specific languages families for code generation
59DE6962	Defining the Semantics of Conceptual Modeling Concepts for 3D Complex Objects in Virtual Reality
597F3E16	Deployment of SDL Systems Using UML
654677A6	On CASE tool usage at Nokia
7E9F4547	Automated Code Generation for Industrial-Strength Systems
5D558E70	On diversity improvements for ultra wideband communication systems
7F056921	Alexsa - Algorithm Explanation by Shape Analysis - Extensions to the TVLA System
7D4D16C6	Implementing movie control, access and management-from a formal description to a working multimedia system
7C362E6A	Integrating Model-Based Testing in Model-Driven Web Engineering
780D6350	OCSEGen: open components and systems environment generator
04E01596	Automatic Code Generation Through Model-Driven Design
58E7E56F	User Interface Code Generation for EJB-Based Data Models Using Intermediate Form Representations
751A4E7B	On the RDLP and IRDLP of a linear code and a linear subcode
77B6D915	Control system development for undergraduate exposure
601F40B9	Perpetual Adaptation of Software to Hardware: An Extensible Architecture for Providing Code Optimization as a Central System Service
7687E279	Precise detection of conflicting change operations using process model terms
7D58DD36	Using of Petri nets techniques in information systems design
8140A7DC	Experimental study on time-spread/wavelength-hop optical code division multiplexing with group delay compensating en/decoder
7B869208	Generating parallel code for SIMD machines
0A3BC3D5	MVCASE Tool - Working with Design Patterns
7CB7D612	Abstractions for Model-Based Testing
6011F113	Problems of Safety Codes Evaluation in Practical Applications
6811DD53	Datapath oriented codesign method of application specific DSPs using retargetable compiler
7611BC89	Applying Model-Driven Architecture to achieve distribution transparencies
7A134D7C	New extremal doubly-even [64, 32, 12] codes
80311655	Design of High Performance Quaternary Adders
777B7223	Double random phase encoding method using a key code generated by affine transformation
7D6B3A5D	A graphical model for predicting protein molecular function
81222EA6	Extending the code generation capabilities of the Together CASE tool to support Data Definition languages
79DD2DF2	An NC tool path translator for virtual machining of precision optical products
03E94FCB	Using GCC as an Efficient, Portable Back-End
5BEA0725	From standard to implementation denotational semantics
8136DD37	Self-designing software
7A7018B5	High precision automatic scheduling of periodic task sets for microcontrollers
5C0389FB	Code synthesis for timed automata: a comparison using case study
80F1415B	Symmetry properties of multilevel coded modulation
2E707379	Code generation for the openmp 4.0 accelerator model onto ompss
7187ADB8	Optimal code generation based on modular system descriptions
7ED43FC6	CAPSULE: language and system support for efficient state sharing in distributed stream processing systems
768A13CD	A New Design Method of Automotive Electronic Real-time Control System
7D86AB95	Saburo, a tool for I/O and concurrency management in servers
7E4E6030	Symbol Transitions in Discrete Systems
5ECF5AD8	EmCodeSyn: A visual framework for multi-rate data flow specifications and code synthesis for embedded applications
77E7FDA3	Using object-orientation as a common basis for system development education
7C4AE9DE	Automatic Multi-GPU Code Generation Applied to Simulation of Electrical Machines
7BAE8154	FTOS: Model-driven development of fault-tolerant automation systems
5EEEAA68	Wireless sensor network application programming and simulation system
04BD11E8	Concurrent Smalltalk compiler for the message-driven processor. Technical report
80FE688C	EMFStore: a model repository for EMF models
75E12F99	Performance and Power Spectrum Calculations for Convolutionally Coded Generalized MSK with Two Symbol Periods Pulse Shape Duration
7DEDD3C8	Research and Implementation of Code Generator for Information System Based on SOA
75642AC9	Tool support for code generation from a UMLsec property
7D52F899	Use of statecharts in the modelling of dynamic behaviour in the ATLAS DAQ prototype-1
7B0C7673	Software cultivation using the artificial intelligence design framework
5DA5BBFE	Dynamic transformations in optimized code generation for digital signal processors
7BEDC6FE	The canonical minimised Adder graph representation
5DB2426B	Automatic Generation of C++ Code for Neural Network Simulation
7D25826D	Towards Pragmatic Library-based Replay
5C591FB8	ArchWare: Architecting evolvable software
7F30C03D	A Model Based Heuristic Design of Web User Interface
81269232	A Behavioral Requirements Specification Approach for Interactive Multimedia Applications
6DF8A779	Experiences in deploying model-driven engineering
0990643C	Code Generation for Mercury
755741DB	TLtoSQL: Rapid post-mortem verification using temporal logic to SQL code generation in the Eclipse PDE
7A71B952	Domain specific modeling framework for agent development
77C2BC3C	Pulse-driven Josephson digital/analog converter [voltage standard]
7FF9873C	Migration From PLC to IEC 61499 Using Semantic Web Technologies
7D6780DD	Idempotent H.264 intraframe multi-generation coding
62C925B1	The clock and calendar/time code generator.
7D1EBCBB	Developing a Toolset Supporting the Construction of Reusable Components for Embedded Control Systems
7C692E7C	Design environment for the support of configurable Network Interfaces in NoC-based platforms
66EBAFD8	The Varieties of Programming Language Semantics
7D86C3CC	Organizing libraries of DFG patterns
7D1CE25C	Quantifying the Benefits of SSA-Based Mobile Code
0535EAEC	Generative Code Specialisation for High-Performance Monte-Carlo Simulations
7ED5600E	A BPMN-Based Design and Maintenance Framework for ETL Processes
7EDF3E90	Run time assurance of application-level requirements in wireless sensor networks
7906D22B	Automatic code-generation of SPWM of cascaded two H-bridge inverter base on Matlab
7D7C460D	Rapid and low-cost context-switch through embedded processor customization for real-time and control applications
5BB3D72F	Rapid Prototyping with APICES
5A0B2150	A fast algorithm to generate Beckett-Gray codes: Extended Abstract
80DDF3E4	Web Federates — Towards A Middleware for Highly Scalable Peer-to-Peer Services
00E8A85B	Strategies for Optimising DRAM Repair
081E7AFF	Nuclear data for well logging
7FE463F4	Automating programming via concept mining, probabilistic reasoning over semantic knowledge base of SE domain
7D40193B	Prototyping from SDL specifications using a real-time concurrent logic language
629F76A4	A specification-to-deployment architecture for overlay networks
7D8999C6	LFSR and PLA based complex code generator for stream cipher
77CC4DA3	Design of hardware correlator for BOC(1,1) baseband signal
7F375E12	On the self-interferences of SS codes generated by a Markov chain
76F1C48F	Analytical view of business data
7F0965A2	Accelerating ODE-Based Simulation of General and Heterogeneous Biophysical Models Using a GPU
7B17BF3C	Hardware-in-Loop Simulation of Direct Torque Controlled Induction Motor
7F89FC51	Spiral: Joint Runtime and Energy Optimization of Linear Transforms
