7D97E2A4	Information not present<--Symmetric clock synchronization in sensor networks
7DD21A26	IEEE Journal of Solid-state Circuits<--A 7 ps Jitter 0.053 mm $^{2}$ Fast Lock All-Digital DLL With a Wide Range and High Resolution DCC
7C8E8E67	International Symposium on Computers and Communications<--New Aspect of Beaconing in IEEE 802.11s Mesh Networks
7F4603CB	Computer Software and Applications Conference<--Distributed checkpointing using synchronized clocks
7AF716C7	Information not present<--A distance-bounding concept for bilateral IEEE 802.15.4 communication
5B542775	Information not present<--Towards Relativistic Atomic Physics and Post-Minkowskian Gravitational Waves
7D2277C7	IEEE Communications Letters<--Relative clock synchronization in wireless networks
797D3B25	Information not present<--Playback Synchronization Techniques for Networked Home Appliances
7F56D91E	Wireless Communications and Networking Conference<--Asynchronous Sampling of Correlated Data in Wireless Sensor Networks
8043F14F	Information not present<--Upgrade of NSLS timing system
75100629	Asia and South Pacific Design Automation Conference<--An alternative polychronous model and synthesis methodology for model-driven embedded software
5BAAB1D4	Symposium on Cloud Computing<--An autonomous multiple module clock synchronization methodology for SoC
6F420EC1	International Symposium on Parallel and Distributed Computing<--Designing modular services in the scattered byzantine failure model
7F4EDFE1	IEEE Transactions on Consumer Electronics<--Robust HD Video Stream Transmission for Wireless DTV
7BB4B1F9	Proceedings of SPIE<--Clock synchronization in software MPEG-2 decoder
810B18F6	IEEE Transactions on Automatic Control<--Abstractions, Architecture, Mechanisms, and a Middleware for Networked Control
785A2B50	Information not present<--A case study in clock synchronization for distributed camera systems
0885CD15	Information not present<--Interface arrangement suits digital processor to multiprocessing
015800F4	Information not present<--Performance Evaluation of Clock Synchronization Algorithms
80661EE6	International Journal of Pervasive Computing and Communications<--A Fully Distributed Multi‐Channel MAC Protocol for Ad Hoc Networks Based on Location Information
785D364E	Information not present<--Development of a test bed for UWB radio indoor localization of first responders
7E6A75CB	International Conference on Communications<--DSA: Distributed Semi-Asynchronous Sleep Scheduling Protocol for Mobile Wireless Networks
8041DEF0	Information not present<--A system architecture for use with free space optical interconnects in a 3D stacked processor environment
7EC31BD3	International Conference on Communications<--Clock synchronous multicarrier demodulator for multi-frequency TDMA communications satellites
8080DD1E	IEEE Transactions on Signal Processing<--Nonuniform Linear Regression With Block-Wise Sample-Minimum Preprocessing
7F7FC54A	IEEE Transactions on Computers<--Timing constraint remapping to achieve time equi-continuity in distributed real-time systems
6276AF01	Information not present<--Anticipated uncertainty budgets of PRARETIME and T2L2 techniques as applied to ExTRAS
5DF76A95	International Conference on Principles of Distributed Systems<--Optimal clock synchronization revisited: upper and lower bounds in real-time systems
618DC6FE	Information not present<--Enhancing the Oakley key agreement protocol with secure time information
602509D7	Information not present<--On the use of differential GPS corrections at the ground transmitters
58B536F5	Information not present<--Long-Term Evaluation of GPS Timing Receiver Failures
75ECA347	International Journal of Information Technology and Decision Making<--GLOBAL CONVERGENCE IN PARTIALLY FULLY CONNECTED NETWORKS (PFCN) WITH LIMITED RELAYS
81453326	Robotics and Biomimetics<--On Internet-based Control System Design with Clock Synchronization
7937ECF9	ACM Transactions on Modeling and Computer Simulation<--Parallel simulation of chip-multiprocessor architectures
5D6FA36F	Information not present<--Gossip-based clock synchronization for large decentralized systems
6045850B	Information not present<--SS-TDMA networking via ISL
794A9CDC	Information not present<--A high-throughput, metastability-free GALS channel based on pausible clock method
75EA445F	Information not present<--Influence of the packet size on the one-way delay on the down-link in 3G networks
8121F403	Information not present<--IEEE 1588 style synchronization over wireless link
78E4531B	Information not present<--Simulation study for commercial time transfer service over geostationary satellite
62D97B00	Information not present<--Monitoring Sea Level At L'Estartit, Spain
76A134C2	Nature Geoscience<--Rock clock synchronization
7EB314BC	Information not present<--Research and design of railway clearance measurement system based on non-contact sensors
5DB71019	Information not present<--On the Feasibility of Response Time Predictions --- An Experimental Evaluation
75AB00FF	World of Wireless, Mobile and Multimedia Networks<--A Simple Algorithm for Clock Synchronization in Wireless Sensor Networks
7FBC5DE3	High Level Design Validation and Test<--Causality analysis of synchronous programs with refined clocks
7D77D463	IEEE Circuits & Devices<--Designing on-chip clock generators
6302AC73	Information not present<--Mechanical Verification of Clock Synchronization Algorithms
7B1A37B5	ACM Special Interest Group on Data Communication<--Accelerated virtual switching with programmable NICs for scalable data center networking
7A498B15	European Dependable Computing Conference<--How to Speed-Up Fault-Tolerant Clock Generation in VLSI Systems-on-Chip via Pipelining
5DDE6ADB	International Conference on Principles of Distributed Systems<--Optimal clock synchronization under energy constraints in wireless ad-hoc networks
78B53E13	Information not present<--A method of task synchronization in a distributed system using FlexRay
7AD01898	Physical Review A<--Satellite test of special relativity using the global positioning system
5A16146E	Information not present<--A study of time dissemination via satellite in India
840EFDB7	International Parallel and Distributed Processing Symposium<--Flease - Lease Coordination Without a Lock Server
7B372781	Information not present<--A New data coding method for wireless command transmission BPSK modulator in implantable neural signal acquisition system
5DDEBC98	Information not present<--Bluetooth Throughput Improvement Using a Slave to Slave Piconet Formation
7F90C116	IEEE Transactions on Communications<--Coding, decoding, and recovery of clock synchronization in digital multiplexing system
79DDE037	Information not present<--BAPUC: A broadcast authentication protocol for ubiquitous computing
7D8FFD5D	Information not present<--The Spatial Diversity Algorithm of Sampling Clock Synchronization in MIMO-OFDM Systems
775DA0C8	IEEE Transactions on Instrumentation and Measurement<--An Analysis and Demonstration of Clock Synchronization by VLBI
795B8FFA	Mathematical Social Sciences<--De-Synchronized Clocks in Preemption Games with Risky Prospects
7A34CBA9	Information not present<--IR-UWB technology on next generation RFID systems
7D39F53B	Physical Review D<--Clock synchronization and isotropy of the one-way speed of light
7DD0F4B6	IEEE Transactions on Instrumentation and Measurement<--A general circuit for resistive bridge sensors with bitstream output
7AC34334	Telecommunications and Radio Engineering<--Assessment of the Signal/Noise Ratio of Received Noise-Like Signals in Channels with Signal Depression and an Unstable System of Clock Synchronization
806188BA	IEEE Transactions on Signal Processing<--Synchronization by Two-Way Message Exchanges: Cramér-Rao Bounds, Approximate Maximum Likelihood, and Offshore Submarine Positioning
79A60E76	IEEE Transactions on Power Systems<--Procedure Analysis of IEC 870-5-101 Clock Synchronization and One of Its Improved Algorithms
721207F0	Embedded and Real-Time Computing Systems and Applications<--A time synchronization method for NTP
7C4C4AFF	Physical Review A<--Limits to clock synchronization induced by completely dephasing communication channels
5CF7AB5E	Information not present<--A look at Einsteins clocks synchronization
774D93A9	International Conference on Image Processing<--Coupled distributed arithmetic coding
80E94C47	IEEE Transactions on Very Large Scale Integration Systems<--GALDS: a complete framework for designing multiclock ASICs and SoCs
5F1DF734	Journal of the American College of Cardiology<--Cascaded Clock-Synchronized Diode Amplifier
8162EB2B	American Control Conference<--Stability of phase locked oscillations in the circadian clock
7FEB03BE	Conference on Decision and Control<--Networked clock synchronization based on second order linear consensus algorithms
7FEE3072	International Conference on Computer Communications<--On-demand time synchronization with predictable accuracy
80C161B5	Global Communications Conference<--Phase and frequency detectors for clock synchronization in high-speed optical transmission systems
7F681E01	Information not present<--A fully digital feedforward demodulator for vector signal analyzers
7C42DFA4	Computer and Information Technology<--Multi-Phase Correlator-based Realistic Clock Synchronization for Wireless Networks on IEEE 802.15.4
811D9B6F	Information not present<--Application of the chirp-z transform to fractional interpolation in DMT modems
816D7F63	Information Processing in Sensor Networks<--Gradient clock synchronization in wireless sensor networks
7E2370F2	Advanced Information Networking and Applications<--Delay Asymmetry Correction Model for Master-Slave Synchronization Protocols
5939D3C5	Information not present<--A Fault-Tolerant Real-Time Multicast Protocol RFRM/X
7DE75557	Physical Review D<--Probes of Lorentz Violation in Neutrino Propagation
7C494336	Proceedings of the IEEE<--Asynchronous Techniques for System-on-Chip Design
7C91DDD3	Personal, Indoor and Mobile Radio Communications<--Beaconing for MDA Support in IEEE 802.11s Mesh Networks
5B329FAE	Dependable Systems and Networks<--Design time reliability analysis of distributed fault tolerance algorithms
797429D4	International Symposium on Circuits and Systems<--A clock synchronization system with IEEE 1588–2008 adapters over existing Gigabit Ethernet equipment
7F663B69	IEEE Communications Magazine<--Using IEEE 1588 and boundary clocks for clock synchronization in telecom networks
8078514C	Information not present<--On the implementation of a capacity estimator for wireless ad hoc networks
7D81196F	Annals of Emergency Medicine<--Measuring Response Intervals in a System With a 911 Primary and an Emergency Medical Services Secondary Public Safety Answering Point
75E63A0C	Chinese Physics B<--A new synchronization scheme based on time division multiplexing and wavelength division multiplexing technology for practical quantum key distribution system
7B51762A	Information not present<--A Power Management Protocol for Multi-Hop Ad Hoc Networks
7AD78FBF	International Journal of Modern Physics D<--GENERALIZED RADAR 4-COORDINATES AND EQUAL-TIME CAUCHY SURFACES FOR ARBITRARY ACCELERATED OBSERVERS
7E73A4C6	Wireless Communications and Networking Conference<--Low Complexity Clock Synchronization Algorithm for Wireless Sensor Networks with Unknown Delay
5AD0DA31	Information not present<--Ranging and Synchronization between Nominally Co-Orbital Satellites
778E73D5	Journal of the ACM<--Invited Article Foreword
5DAA7DF5	Information not present<--Formal Verification of the Interactive Convergence Clock Synchronization Algorithm
7F2A70BE	IEEE Transactions on Broadcasting<--On the synchronization techniques for wireless OFDM systems
79C86691	Information not present<--Optimal estimation and control of clock synchronization following the Precision Time Protocol
7EA129BE	International Conference on Intelligent Computing<--Research on Failure Detector in Remote Disaster-tolerant System
7943CC11	Principles of Distributed Computing<--Lower bounds for convergence function based clock synchronization
621F09D7	Information not present<--On Real-Time Systems Using Local Area Networks.
06CD7FA7	Information not present<--Scalable Network Based Clock Synchronization for Digital PET System
0C267322	Information not present<--Formalization of a generalized protocol for clock synchronization in Isabelle/HOL
78BE96A4	Journal of Systems Architecture<--Modeling distributed real-time systems with MAST 2
61BACA16	Information not present<--Implementation of phasor measurements in state estimator at Sevillana de Electricidad
810EE3C0	Information not present<--On pulse-coupled discrete-time phase locked loops forwireless networks
5A28EAA3	International Conference on Communications<--AUTHMAC_DH: A New Protocol for Authentication and Key Distribution
80D42121	Personal, Indoor and Mobile Radio Communications<--A Wireless Sensor MAC Protocol for Bursty Data Traffic
5DC72B11	Information not present<--A Complex Electronics System Built-in-Test Based on Time-Triggered CAN Bus
6132E476	Information not present<--Time information from the Global Positioning System
7FB65357	IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems<--Using Launch-on-Capture for Testing BIST Designs Containing Synchronous and Asynchronous Clock Domains
5F243F45	International Conference on Parallel Processing<--Time Warp on a Shared Memory Multiprocessor
046E65E9	Information not present<--Open Architecture for Quality of Service Monitoring at a National Research and Education Network
768859AF	Information not present<--ポスター講演 圧縮センシングを用いた差分遅延トモグラフィにおける基準経路選択に関する研究 (高信頼制御通信) -- (特集セッション 無線分散ネットワーク)
80B2CAD6	Information not present<--Synchronized Control of Aggregated Reservation States for Resource Management in Diffserv Networks
5AF684CD	Information not present<--Gravity-Based Local Clock Synchronization in Wireless Sensor Networks
8541A734	Information not present<--Sparse Sensing for Statistical Inference: Theory, Algorithms, and Applications
807ED0B1	Computer Communications<--On estimating clock skew for one-way measurements
754A0ABF	Physics Letters A<--Broken Lorentz invariance and conventionality of clock synchronization
0152D58D	Information not present<--Critical issues in the design of distributed, fault-tolerant, hard real-time systems
81063FB5	IEEE Transactions on Mobile Computing<--Parameter estimation and error reduction for OFDM-based WLANs
77B2116E	Information not present<--ATM over passive optical networks: system design and demonstration
7FE00CB8	Information not present<--Clock synchronization of distributed computers in building automation networks using an AC power supply
7DFF519F	Information not present<--Timing verification for two-phase, level-clocked synchronous circuitry
780188A0	International Journal of Communication Systems<--Analysis of a clock‐recovery technique for circuit emulation services over packet networks
73FDB54F	Asia and South Pacific Design Automation Conference<--A CMOS delayed locked loop (DLL) for reducing clock skew to under 500 ps
76464D0C	International Conference on Acoustics, Speech, and Signal Processing<--Joint node localization and time-varying clock synchronization in wireless sensor networks
8055FD4A	IEEE Journal of Solid-state Circuits<--A 110 MHz to 1.4 GHz Locking 40-Phase All-Digital DLL
80027607	IEEE Transactions on Consumer Electronics<--Energy-efficient and rapid time synchronization for wireless sensor networks
0861F35F	Information not present<--Scheduling and Clock Synchronization in CAN-based Distributed Systems
7CF1F447	Information not present<--Evaluation of fault-tolerant distributed Web systems
789F9EE3	Information not present<--Propagation time estimation between underwater acoustic modems during data exchange via synchronous instant messages
814B5700	IEEE Transactions on Communications<--On the Joint Synchronization of Clock Offset and Skew in RBS-Protocol
764A582C	Computers & Security<--Robust remote authentication scheme with smart cards
760A45A6	Journal of Geophysics and Engineering<--Design of a large remote seismic exploration data acquisition system, with the architecture of a distributed storage area network
7B1A39D5	Advances in Computing and Communications<--Experimental validation of a new moving horizon estimator approach for networked control systems with unsynchronized clocks
5DC496DF	Information not present<--Synchronization and Communication Results in Safety-Critical Real-Time Systems
5DDC19FA	International Conference on Intelligent Robotics and Applications<--Timestamp Based Predictive Robot Control System over Real-Time Industrial Ethernet
66D7B971	Conference on Current Trends in Theory and Practice of Informatics<--Clock Synchronization: Open Problems in Theory and Practice
747D2D34	Information not present<--무선 센서 네트워크에서 비잔틴 오류를 허용하는 클럭 동기화 기법
76D1FAAD	Journal of Lightwave Technology<--Simultaneous Prescaled Clock Recovery and Serial-to-Parallel Conversion of Data Signals Using a Polarization Modulator-Based Optoelectronic Oscillator
5ADB5CF0	Static Analysis Symposium<--Proving the Properties of Communicating Imperfectly-Clocked Synchronous Systems
5FC23D38	Information not present<--Entangled States as Reference Frames
0C41E327	Information not present<--A monolithic 1 GHz 0.6�m CMOS low jitter PLL
816A6720	Information not present<--Clock Synchronization Algorithms and Scheduling Issues
80059FB3	IEEE Transactions on Vehicular Technology<--A fully digital feedforward MSK demodulator with joint frequency offset and symbol timing estimation for burst mode mobile radio
5B301049	International Conference on Parallel Processing<--Accurate multihop clock synchronization in mobile ad hoc networks
63A81A36	Information not present<--Expanding Universe and its manifestations beyond the General Relativity
7A078443	Concurrency and Computation: Practice and Experience<--A clock synchronization algorithm for the performance analysis of multicomputer systems
77D1A777	Information not present<--An improvement on distributed detection in clock synchronization for MLAT sensor network
5ED1B5A6	International Solid-State Circuits Conference<--A 833 Mb/s 2.5 V 4 Mb double data rate SRAM
77FE6498	Physical Review A<--Optimized multiparty quantum clock synchronization
58FDA7B1	Information not present<--Self-Stabilizing Clock Synchronization in the Presence of Byzantine Faults
587921B3	European Conference on Parallel Processing<--Low-Cost Hybrid Internal Clock Synchronization Mechanism for COTS PC Cluster (Research Note)
812E1CDC	International Parallel and Distributed Processing Symposium<--Limits and power of the simplest uniform and self-stabilizing phase clock algorithm
77182A4A	Information not present<--TEAM: Trust-extended authentication mechanism for vehicular ad hoc networks
80A27F46	Real-Time Systems Symposium<--Integration of internal and external clock synchronization by the combination of clock-state and clock-rate correction in fault-tolerant distributed systems
7B50C386	Principles of Distributed Computing<--Brief announcement: gradient clock synchronization in sensor networks
7CF49201	International Conference on Telecommunications<--Clock Drift Estimation in Networks with Symmetric Exponential Link Delays
0C5CB204	Parallel and Distributed Processing Techniques and Applications<--Simulation Study of Clock Synchronization in Distributed Systems
752645BF	Wireless Communications and Networking Conference<--CIRF: Constructive interference-based reliable flooding in asynchronous duty-cycle wireless sensor networks
79BEE757	Advanced Materials Research<--The Hardware Design of Measurement System of Transmission Lines Based on Wireless Communication
5A10459C	International Conference on Distributed Computing Systems<--An Election Algorithm for a Distributed Clock Synchronization Program
7A096063	Information not present<--Time-Triggered Ethernet and IEEE 1588 Clock Synchronization
770FC222	Principles of Distributed Computing<--Fast self-stabilizing byzantine tolerant digital clock synchronization
79D0AF8D	Computer Networks and Isdn Systems<--Pseudo-isochronous cell forwarding
5B53B678	Information not present<--The PSL/Sugar Specification Language A Language for all Seasons
7C12138E	European Journal of Physics<--Elementary relativity with 'everyday' clock synchronization
7E488CA5	Russian Physics Journal<--Kinematical properties of topologically nontrivial models of space-time
7D269E98	Information not present<--Clock Synchronization for Wireless Positioning of COTS Mobile Nodes
78F80572	ACM/IEEE International Conference on Mobile Computing and Networking<--Poster: An Insomnia Therapy for Clock Synchronization in Wireless Sensor Networks
7E055BAF	Information not present<--Use of femtosecond synchronization system with long-term stability over optical infrastructure
6E92ED6B	Information not present<--NASA Langley's research program in formal methods
7CA9801E	ACM Symposium on Parallel Algorithms and Architectures<--Experience with an adaptive globally-synchronizing clock algorithm
7A203928	Advanced Materials Research<--Research and Implementations of the IEEE 1588 Precision Time Protocol Based on ARM-Linux
8072748C	IEEE Journal on Selected Areas in Communications<--Control Channel Establishment in Cognitive Radio Networks using Channel Hopping
5E980045	Information not present<--Reconfiguration and transient recovery in state machine architectures
7847BA6A	International Conference on Networks<--Cross-Layered Synchronization Protocol for Wireless Sensor Networks
7A185230	International Journal of Geometric Methods in Modern Physics<--Dust in the York canonical basis of ADM tetrad gravity: The problem of vorticity
7E30CCD7	Information not present<--High Precision Frequency and Clock Synchronization Techniques on an International Basis
7523819B	International Conference on Computer Communications<--Jump-stay based channel-hopping algorithm with guaranteed rendezvous for cognitive radio networks
7E968E73	Information not present<--Boundaries of Ethernet layer 2 hardware timestamping
78AA1E43	Journal of Physics: Conference Series<--Dark Matter as a Relativistic Inertial Effect in Einstein Canonical Gravity?
7B645B6B	Information not present<--Clocks, power and synchronization in duty-cycled wireless sensor nodes
7E37315E	Emerging Technologies and Factory Automation<--Clock synchronization of PTP-based devices through PROFINET IO networks
7F683BD1	Information not present<--Synchronous parametric amplification for regeneration of 160Gbit/s OTDM signal
056C55BD	Information not present<--Clock synchronization experiment via Symphonie satellite
7DA4004D	Information not present<--A low-power geographically distributed data acquisition system with WWVB synchronization
7534DD1F	IEEE Transactions on Consumer Electronics<--Homenet: A Control Network for Consumer Applications
5A1243FD	Information not present<--Accuracy and Fairness in Dead Reckoning Based Distributed Multiplayer Games
76DB1BAE	Information not present<--Based on MLE of Pairwise Broadcast Clock Synchronization for Wireless Sensor Network
7D57462A	Field Programmable Gate Arrays<--MONTAGNE: An FPL for Synchronous and Asynchronous Circuits
606DDDF3	Information not present<--Development of TDMA baseband equipment for SS/TDMA applications
79291B39	International Journal of Communication Systems<--Clock synchronization for packet networks using a weighted least‐squares error filtering technique and enabling circuit emulation service
034BD336	Information not present<--Logical clock synchronization method for duplicated database control
7AB89298	Information not present<--High Precision Clock Synchronization and Control Based on GPS
7DA2F970	International Conference on Distributed Computing Systems<--Self-stabilizing clock synchronization in a hierarchical network
60E6774E	Information not present<--The Fundamentals of the Relativity Theory
07075406	Information not present<--Fault-Tolerant Internal Clock Synchronization
8109989E	Pacific Rim International Symposium on Dependable Computing<--Model-based clock synchronization in networks with drifting clocks
7F106817	Information not present<--Clock synchronization through handshake signalling
7FEA6464	Information not present<--A Scalable Communication Protocol for Multi-layered Groups
5AC17A8D	Information not present<--Power consumption measurement and clock synchronization on low-power wireless sensor networks
7C803D14	Performance Evaluation<--The accuracy of the clock synchronization achieved by TEMPO in Berkeley UNIX 4.3BSD
7753DF90	IEEE Transactions on Computers<--Transmission delays in hardware clock synchronization
04443F67	Information not present<--Modelling and analysis of computer network clocks
79E069C6	IEEE Transactions on Computers<--Clock Synchronization of a Large Multiprocessor System in the Presence of Malicious Faults
7C7A5DCD	International Conference on Communications<--On clock offset and skew estimation with exponentially distributed delays
7BCFA381	International Journal of Wireless & Mobile Networks<--Energy Efficient Global Clock Synchronization for Wireless Sensor Networks
5D6A32E8	Principles of Distributed Computing<--Knowledge, Timed Precedence and Clocks
80A3DACF	IEEE Lts<--Broadband photonic switching using guided-wave fabrics
7D1E977A	Symposium on Reliable Distributed Systems<--Checkpointing and rollback recovery in a distributed system using common time base
615D5A37	Information not present<--Statistical analysis of time transfer data from Timation 2
7BD7E579	Information not present<--Quantum limited measurements with optical frequency combs
7C3529F8	IEEE Transactions on Computers<--An improved hardware implementation of the fault-tolerant clock synchronization algorithm for large multiprocessor systems
5D6BD114	Clinical Orthopaedics and Related Research<--Fundamentals of Large Sensor Networks: Connectivity, Capacity, Clocks and Computation
7C85446A	Information not present<--Distributed clock synchronization algorithm for industrial networks
7B27DF3B	IEEE Transactions on Circuits and Systems I-regular Papers<--Die-to-Die Clock Synchronization for 3-D IC Using Dual Locking Mechanism
7F34A8FB	IEEE Transactions on Very Large Scale Integration Systems<--Pausible clocking-based heterogeneous systems
7D4B5A0D	Information not present<--Fault tolerant IC chip for crystal oscillators
780F8312	Information not present<--End-to-end one-way delay estimation using one-way delay variation and round-trip time
7D2C15F9	Information not present<--Relativity in Astrometry, Celestial Mechanics and Geodesy
7D1C4FDD	Sensor, Mesh and Ad Hoc Communications and Networks<--Practical Multi-Channel MAC for Ad Hoc Networks
7A40288F	Information not present<--Synchronous links organization evaluating platform in PTN networks
7F7B4F08	Information not present<--Joint carrier phase and symbol timing synchronization for burst satellite communications
5B833E23	Information not present<--Optimal Wait-Free Clock Synchronisation Protocol on a Shared-Memory Multi-processor System
7747DF77	Proceedings of SPIE<--Suboptimum bit synchronization in high-speed communications
7893C281	American Control Conference<--Clock synchronization for wireless sensor network with communication delay
7563C55D	Electronics and Communications in Japan Part I-communications<--Hybrid clock synchronization: the pull‐in range of a ring network
7DA004E2	IEEE Transactions on Industrial Informatics<--Safely Stimulating the Clock Synchronization Algorithm in Time-Triggered Systems–A Combined Formal and Experimental Approach
810349C6	Symposium on Reliable Distributed Systems<--Dynamic node management and measure estimation in a state-driven fault injector
8137E6B7	IEEE Transactions on Instrumentation and Measurement<--Sync & Sense: VoIP Measurement Methodology for Assessing One-Way Delay Without Clock Synchronization
7D5D3815	Information not present<--The measuring information processing at operational analysis of jitters on an input of clock synchronization devices of telecommunication networks
618245FD	Information not present<--Measured tunneling photon wavepacket dynamic vector velocity equivalence to the cosmic microwave background Doppler shift
7EDFF13F	Information not present<--A new clock synchronization algorithm for multi-hop wireless ad hoc networks
765DDE0F	Transactions of The Korean Society of Mechanical Engineers A<--Evaluation of EtherCAT Clock Synchronization in Distributed Control Systems
778448EA	Information not present<--The analysis of Clock Synchronization Protocol on Ethernet
7E6028BD	IEEE\/ACM Transactions on Networking<--Robust synchronization of absolute and difference clocks over networks
7A9FBA82	Information not present<--Using clock accuracy to guide model synthesis in distributed systems: An application in power grid control
7C033CDF	International Conference on Wireless Communications and Mobile Computing<--Behavior of clock-sampling mutual network synchronization in wireless sensor networks
7F9A7D87	International Conference on Network Protocols<--A synchronization and compensation protocol for multimedia communication systems
80E49FF5	Custom Integrated Circuits Conference<--A 1.4 V 60 MHz access, 0.25 μm embedded flash EEPROM
5B83D40D	Information not present<--ZigBee를 이용한 무선 네트워크 환경에서의 정밀 시각 동기 기법 설계 및 구현
7965108B	Information not present<--Analysis and solution of frequency difference in IEEE1588 clock synchronization systems
76DBBF1C	Advanced Materials Research<--Research of the Wireless Distributed Test System Based on WLAN
7DAA835B	Information not present<--Synchronous data collection from diverse hardware
80F46B2F	IEEE Communications Letters<--Experimental demonstration of an active quantum key distribution network with over gbps clock synchronization
80DA2A54	IEEE Transactions on Computers<--Reliable real-time communication in cooperative mobile applications
5C8A569A	Real-time Systems<--Report Dagstuhl Seminar on Time Services SchloßDagstuhl, March 11. – March 15. 1996
7CFA8228	IEEE Photonics Technology Letters<--Multi-Data-Rate System Performance of a 40-GHz All-Optical Clock Recovery Based on a Quantum-Dot Fabry–PÉrot Laser
7FD1E439	Information not present<--Efficient fault tolerant broadcasting algorithm for the cube-connected cycles network
7ACB8ACD	IEEE Photonics Technology Letters<--40-Gb/s optical clock recovery using an injection-locked optoelectronic oscillator
7D4B4535	International Conference on Acoustics, Speech, and Signal Processing<--A probabilistic approach to clock synchronization of cascaded network elements
7AAB7E1E	Information not present<--An Research of Ping-Pong Clock Synchronization Based on Quantum Optics
0A33B4FC	Information not present<--Keynote: A Perspective of Fault-Tolerant Clock Synchronization
7DFA8688	Design, Automation, and Test in Europe<--An efficent dynamic multicast routing protocol for distributing traffic in NOCs
7F9A849C	Information not present<--Set-valued consensus for distributed clock synchronization
7F506251	Information not present<--A Time Synchronization Protocol in WSN Applied in RAMR
7B979413	Information not present<--Clock period optimization technique using multiple clocking domains
7A860FCC	Information not present<--Dynamical Clock Synchronization in Einstein's Theory:. Implications for the Aces Mission of ESA
7E92BB19	Conference on Decision and Control<--Fundamental limits on synchronization of affine clocks in networks
607CBC16	IEEE Transactions on Circuits and Systems I-regular Papers<--Synchronization in Moving Pulse-Coupled Oscillator Networks
80D42660	Information not present<--Self-stabilizing Byzantine digital clock synchronization
7518B18F	IEEE Journal of Solid-state Circuits<--0.56 V, –20 dBm RF-Powered, Multi-Node Wireless Body Area Network System-on-a-Chip With Harvesting-Efficiency Tracking Loop
7567675D	Journal of Statistical Physics<--Evaluation of Effective Resistances in Pseudo-Distance-Regular Resistor Networks
7F205035	Electronics Letters<--Simple baseband synchronisation scheme for tamed frequency modulation
5B8A8DF9	International Conference on Concurrency Theory<--Input/Output Automata: Basic, Timed, Hybrid, Probabilistic, Dynamic,...
77881AE4	Principles of Distributed Computing<--Optimal gradient clock synchronization in dynamic networks
60DDFE35	Information not present<--The very long baseline interferometry. II - VLBI systems
7E4AC92A	IEEE Transactions on Computers<--Degradable Byzantine agreement
5DF5357A	Information not present<--Spread Spectrum Time Transfer Experiment via INTELSAT,
762CF4DC	Electronics and Communications in Japan Part I-communications<--Hybrid clock synchronization: Condition for the existence of steady state in a ring network
80F2DA25	IEEE Signal Processing Letters<--Local and broadcast clock synchronization in a sensor node
75620C89	Symposium on the Theory of Computing<--A theory of clock synchronization (extended abstract)
7F7EA65E	IEEE Communications Letters<--A Quorum-based Mechanism as an Enhancement to Clock Synchronization Protocols for IEEE 802.11 MANETs
802A8CC4	Information not present<--Semiconductor manufacturing equipment data acquisition simulation for timing performance analysis
7DACF641	International Conference on Networking, Sensing and Control<--Sampling Clock Offset Estimation Algorithm Based on IEEE 802.11n
8006C5D4	Information not present<--Quality monitoring in clock synchronized distributed systems
791FD316	General Relativity and Gravitation<--A test theory of special relativity: II. First order tests
77FBCED5	Information not present<--Energy Conservation in Large-Scale Sensor Networks through Wakeup Mechanism and Clustering Aggregation
7CF95A36	IEEE Transactions on Wireless Communications<--A New Approach for Time Synchronization in Wireless Sensor Networks: Pairwise Broadcast Synchronization
6323D8D5	Information not present<--Clock synchronization system for on-board regenerative satellite communication
0C54D057	Information not present<--Clock Synchronization using Packet Streams?
732940CF	Real-Time Systems Symposium<--A priority forwarding router chip for real-time interconnection networks
7841391A	Autonomic Computing and Communication Systems<--A theoretical evaluation of peer-to-peer internal clock synchronization
7978E99C	Physical Review Letters<--Comment on "Quantum Clock Synchronization Based on Shared Prior Entanglement"
7ED8B0F7	Information not present<--Smart clocks have a hand in the smart grid
7D16CB64	Information not present<--Safe estimation of time uncertainty of local clocks
80C888C7	IEEE Transactions on Signal Processing<--Robust Time-Based Localization for Asynchronous Networks
5F870B9B	Information not present<--Secure and Self-stabilizing Clock Synchronization in Sensor Networks
7AC115E6	Molecular and Cellular Biology<--Functional Evolution of the Photolyase/Cryptochrome Protein Family: Importance of the C Terminus of Mammalian CRY1 for Circadian Core Oscillator Performance
7D29F0B0	IEEE Transactions on Industrial Informatics<--Orthogonal, Fault-Tolerant, and High-Precision Clock Synchronization for the Controller Area Network
7BD762A6	International Conference on Control and Automation<--XY-expansion: Joint search and clock synchronization for wireless sensor and actor networks
7BDADF1B	Information not present<--A Power management for probabilistic clock Synchronization in Wireless Sensor Networks
06264A45	Principles of Distributed Computing<--Optimal Clock Synchronization under Different Delay Assumptions (Preliminary Version)
7F296F93	Information not present<--A test structure for the measurement of fast internal signals in CMOS VLSI circuits
59E7BEE2	Information not present<--The Asynchronous Bounded-Cycle Model
76CE2325	Physical Review A<--Quantum clock synchronization: Multiparty protocol
7F0F7624	IEEE Transactions on Computers<--Hardware-assisted software clock synchronization for homogeneous distributed systems
764D6838	Signal Processing<--MA HOS modelization from samples of band-limited third-order stationary signals
758AF3EF	Information & Computation<--Interval-based clock synchronization with optimal precision
