7538AFB4	Signal Processing-image Communication<---A region-based subband coding scheme
7584078F	Multimedia Signal Processing<---Motion Compensation Complexity Model for Decoder-Friendly H.264 System Design
790F38A0	IEEE Transactions on Image Processing<---Region-based fractal image compression
79B66029	Information not present<---A novel fast intermode decision algorithm with rate-distortion optimization for H.264/AVC
807CDF54	IEEE Transactions on Circuits and Systems for Video Technology<---Fast Decision of Block Size, Prediction Mode, and Intra Block for H.264 Intra Prediction
75BE0B42	Information not present<---A Joint Optimized Transmission Scheme Based on M-QAM and UEP for Wireless Scalable Video
771410B3	IEEE Transactions on Circuits and Systems for Video Technology<---Efficient Algorithm for H.264/AVC Intra Frame Video Coding
7F20074C	International Conference on Computer Communications and Networks<---EBCOT using energy efficient wavelet transform
7D687567	IEEE Transactions on Circuits and Systems for Video Technology<---SSIM-Motivated Rate-Distortion Optimization for Video Coding
7A033A63	Information not present<---Complexity-constrained rate-distortion optimization of Wyner-Ziv video coding
5A13C2BD	Advances in Multimedia<---Mode decision for high-quality H.264/AVC video downscaling transcoding
7EA9B6B1	Designs, Codes and Cryptography<---Optimal buffer-constrained bit allocation using marginal analysis
7F1F2469	IEEE Transactions on Circuits and Systems for Video Technology<---Segmentation-based video coding system allowing the manipulation of objects
7CEF2645	IEEE Transactions on Image Processing<---Iterative Rate-Distortion Optimization of H.264 With Constant Bit Rate Constraint
7C5C6893	Wuhan University Journal of Natural Sciences<---An improved intra-prediction algorithm for H.264
7F71A568	Information not present<---RATE SHAPING FOR VIDEO WITH FRAME DEPENDENCY
76A027F6	International Symposium on Circuits and Systems<---Rate-distortion optimization with adaptive weighted distortion in high Efficiency Video Coding
09637918	Information not present<---Architectures of incorporating MPEG-4 AVC into three-dimensional wavelet video coding
7FD95E53	Information Security<---Rate-Distortion Optimized Frame Dropping Based on Dynamic Frame Concealment
7FA761EB	Pacific Rim Conference on Multimedia<---Optimum End-to-End Distortion Estimation for Error Resilient Video Coding
80D67C48	Global Communications Conference<---Joint Diversity- and Rate-Control for Video Transmission on Multi-Antenna Channels
7F7AAFCE	International Conference on Acoustics, Speech, and Signal Processing<---Iterative R-D optimization of H.264
7AA319FE	Multimedia Signal Processing<---Enhanced Low Complex Cost Function for H.264/AVC Intra Mode Decision
5F87859E	International Conference on Image Processing<---Rate-distortion optimization for VBR environments using a motion compensated wavelet coder
5D926515	Clinical Orthopaedics and Related Research<---Quantization using Compressive Sensing
81113D0F	International Conference on Machine Learning and Cybernetics<---Fast Intra Prediction Mode Decision by Adaptively Selecting Fewer Number of Modes
7AAAF3BD	International Conference on Image Processing<---Efficient wavelet packet basis selection in JPEG2000
7AFE9EC1	Information not present<---A joint coding method of video plus depth based on H.264
7723AD89	Information not present<---Novel precompression rate-distortion optimization algorithm for JPEG 2000
80F4D271	International Conference on Acoustics, Speech, and Signal Processing<---A rate-distortion optimal hybrid scalable/multiple-description video codec
76168D1E	Signal Processing<---On performance gains in MPEG-2 video coding via a rate-distortion optimal route
7FEDFE11	IEEE Transactions on Circuits and Systems for Video Technology<---Rate Distortion Data Hiding of Motion Vector Competition Information in Chroma and Luma Samples for Video Compression
80E1E9F5	International Conference on Image Processing<---Rate-distortion optimization for automatic sprite video coding using H.264/AVC
807809AC	IEEE Transactions on Circuits and Systems for Video Technology<---Optimum bit allocation and rate control for H.264/AVC
7675D2AD	Journal of Visual Communication and Image Representation<---Depth and depth-color coding using shape-adaptive wavelets
7D98B107	IEEE Signal Processing Letters<---Perceptual coding of digital monochrome images
6EAFBAC7	International Conference on Image Processing<---Improving the performance of hierarchical vector quantization using segmentation
7CACC4DC	International Conference on Image Processing<---Analysis and Effective Parallel Technique for Rate-Distortion Optimization in JPEG2000
7BB353C6	Genetic and Evolutionary Computation Conference<---A low cost hardware oriented motion estimation algorithm for HDTV
75F91C1A	Proceedings of SPIE<---Rate-distortion optimized color quantization for compound image compression
7EB102DD	Ieice Transactions<---Fast Intra Mode Decision Using DCT Coefficient Distribution in H.264/AVC
7D947B7C	EURASIP Journal on Advances in Signal Processing<---A fast and efficient topological coding algorithm for compound images
7F65E128	International Conference on Multimedia and Expo<---Maximum a Posteriori Based (MAP-Based) Video Denoising VIA Rate Distortion Optimization
7E8FC7D9	Information not present<---Quality versus intelligibility: Studying human preferences for american sign language video
781507C1	Signal Processing-image Communication<---Perception-oriented video coding based on image analysis and completion: A review
7E91D802	IEEE Transactions on Circuits and Systems for Video Technology<---MultiStage: A MINMAX Bit Allocation Algorithm for Video Coders
800AFBC7	International Conference on Acoustics, Speech, and Signal Processing<---Optimal Wavelet Packets Decomposition Based on a Rate-Distortion Optimality Criterion
79B82F07	Signal Processing<---Complexity scalable control for H.264 motion estimation and mode decision under energy constraints
79B0CC17	Signal Processing-image Communication<---Rate-distortion optimization of scalable video codecs
7D4351F1	Pacific Conference on Computer Graphics and Applications<---Rate-Distortion Optimized Progressive 3D Reconstruction from Multi-view Images
7EC9FCDF	International Conference on Acoustics, Speech, and Signal Processing<---Efficient post-compression error-resilient 3D-scalable video transmission for packet erasure channels
7C46C233	Signal Processing-image Communication<---Low-complexity rate-distortion optimal transcoding of MPEG I-frames
7FD67DB4	Canadian Conference on Electrical and Computer Engineering<---Lagrange multiplier selection for video coding with varying quantization
7E100EC3	Asia Pacific Conference on Circuits and Systems<---A bit-allocation model using on-line rate-distortion optimization in MPEG-4 rate control
7FCDE00C	IEEE Transactions on Circuits and Systems for Video Technology<---Rate-distortion optimal bit allocation for object-based video coding
6FA8F5E0	International Conference on Image Processing<---A simplified rate-distortion optimization procedure relying on statistical subband and noise modelling
597EB3E2	Network and Parallel Computing<---Real-Time Video over Programmable Networked Devices
812FBA06	IEEE Transactions on Image Processing<---3-D wavelet compression and progressive inverse wavelet synthesis rendering of concentric mosaic
78E4942A	International Conference on Acoustics, Speech, and Signal Processing<---Rate distortion optimization for bidirectional scalable motion model
80FFFAF1	IEEE Transactions on Image Processing<---Perceptual Color Image Coding With JPEG2000
7D675EEB	Designs, Codes and Cryptography<---Constrained wavelet packets for tree-structured video coding algorithms
784FCCE5	Asia Pacific Conference on Circuits and Systems<---Progressive Technique for Rate Distortion Optimization in JPEG2000
7CF8297B	International Conference on Image Processing<---Pricing-based decentralized rate allocation for multiple video streams
7F0BC3DE	Asia Pacific Conference on Circuits and Systems<---Fast multiple reference frame selection method for motion estimation in JVT/H.264
7E85EC0E	IEEE Transactions on Circuits and Systems for Video Technology<---Novel Inter-Mode Decision Algorithm Based on Macroblock (MB) Tracking for the P-Slice in H.264/AVC Video Coding
8094E8BB	IEEE Transactions on Circuits and Systems for Video Technology<---Efficient rate-distortion estimation for H.264/AVC coders
801D1780	International Symposium on Multimedia<---Computation-Aware Intra-mode Decision for H.264 Coding and Transcoding
8123DAD2	Information not present<---An Efficient Fast Mode Decision Algorithm for H.264/AVC Intra Prediction
80F70DE6	IEEE Transactions on Consumer Electronics<---Intra prediction mode selection for flicker reduction in H.264/AVC
5BF7664A	International Conference on Image Processing<---Rate distortion optimized adaptive multiscale vector quantization
773065B3	Information not present<---B-picture coding with motion-compensated frame rate upconversion
7A3B6D15	Information not present<---Rate Estimation, Using Forward Adaptive Quantization: H.264 Fast Intra Mode Selection at High Data Rates
77CACE4B	International Journal of Electronics and Telecommunications<---Wavelet-based Entropy Measure for Rate-Distortion Optimization in Image Coding
8048C190	International Conference on Multimedia and Expo<---Frame level rate control for H.264/AVC with novel Rate-Quantization model
7AE52DDC	Journal of Electronics (china)<---Wavelet-based Fine Granularity Scalable video coding
5AB20952	International Conference on Image Processing<---Rate-distortion optimized video streaming with multiple deadlines
7B2AD942	International Conference on Multimedia and Expo<---Rate-distortion Optimized Trellis-Coded Quantization
5F2C8529	Information not present<---Document image segmentation and compression
7ED4FD4E	International Conference on Image Processing<---Stochastic frame buffers for rate distortion optimized loss resilient video communications
0939432C	Information not present<---Receiver- and Channel-adaptive Compression for Remote Browsing of Image- Based Scene Representations
74586C52	Information Sciences, Signal Processing and their Applications<---Wavelet image compression based on significance clustering and rate distortion optimization
7FE3308D	Global Communications Conference<---Content-Aware Distortion-Fair Video Streaming in Networks
763D2BE4	International Conference on Acoustics, Speech, and Signal Processing<---Slice-level rate-distortion optimized multiple description coding for H.264/AVC
76356359	IEEE Transactions on Image Processing<---Fast H.264/AVC FRExt Intra Coding Using Belief Propagation
7F9F6242	Information not present<---Rate-distortion efficient amplitude modulated sinusoidal audio coding
086261EE	Information not present<---ON THE DEPENDENCIES OF MEDIA PACKET SCHEDULES IN A RATE-DISTORTION OPTIMIZED FRAMEWORK
8170C11B	IEEE Signal Processing Letters<---A novel multiple description coding scheme compatible with the JPEG2000 decoder
656ECA98	International Conference on Image Processing<---Rate distortion optimized document coding using resolution enhanced rendering
7F9B4C57	International Conference on Multimedia and Expo<---A rate-distortion optimized error control scheme for scalable video streaming over the Internet
7674B00A	Proceedings of SPIE<---Adaptive dynamic programming for auto-resilient video streaming
80889469	Information not present<---MINMAX Optimal Video Summarization and Coding with Frame Skip Constraint
7572F3E7	International Conference on Image Processing<---A Fully Scalable Motion Model for Scalable Video Coding
7015F29A	Multimedia Signal Processing<---A real-time encoding/decoding system (REDS) for HDTV editing
7DD277BC	IEEE Transactions on Circuits and Systems for Video Technology<---An MPEG-2 to H.264 Video Transcoder in the Baseline Profile
7787FED5	Signal Processing-image Communication<---New rate-distortion modeling and efficient rate control for H.264/AVC video coding
804F0436	IEEE Transactions on Circuits and Systems for Video Technology<---Direct mode coding for bipredictive slices in the H.264 standard
80B14D5D	International Conference on Image Processing<---Rate-distortion optimized JPEG2000-based scalable interactive video (JSIV) with motion and quantization bin side-information
766C474D	Information not present<---Adaptive EZW coding using a rate-distortion criterion
7E19F574	Information not present<---Adaptation of vision model based distortion metrics to perceptual image coding
7613F545	IEEE Transactions on Circuits and Systems for Video Technology<---Error Resilient Video Coding Using Redundant Pictures
71D729DC	Information not present<---Low-complexity rate-distortion optimal transcoding from MPEG-2 to MPEG-1 in DCT-domain
80AE5D6B	Multimedia Signal Processing<---On bit allocation and Lagrange Multiplier adjustment for rate-distortion optimized H.264 rate control
7F91C497	International Symposium on Circuits and Systems<---Fast wavelet packet basis selection for block-partitioning image coding
7F1C7C0C	IEEE Transactions on Image Processing<---High performance scalable image compression with EBCOT
7B74424D	Information not present<---Fast inter mode selection for H.264/AVC using large block and zero motion consistency history
5D37651C	Information not present<---Three-dimensional embedded subband coding with optimized truncation
7ADB00FE	Visual Communications and Image Processing<---MINMAX rate control with a perceived distortion metric
7E2EC742	Designs, Codes and Cryptography<---Highly Accurate Distortion Estimation for JPEG2000 through PDF-Based Estimators
810D47CD	International Conference on Image Processing<---A binary Markov model for the quantized images and its rate/distortion optimization
7775298F	International Conference on Image Processing<---Global and local rate-distortion optimization for Lapped Biorthogonal Transform coding
7F9DFFA7	Canadian Conference on Electrical and Computer Engineering<---Joint rate distortion optimal shape and texture coding
811298B5	International Journal of Communication Systems<---Comparing the streaming of FGS encoded video at different aggregation levels: frame, GoP, and scene
58A06EC7	Journal of Information Science and Engineering<---On Parallelizing H.264/AVC Rate-Distortion Optimization Baseline Profile Encoder *
812E0840	International Conference on Communications<---Packetized media streaming over multiple wireless channels
7E310ED1	International Conference on Multimedia and Expo<---Fast mode decision algorithm based on thread-level parallelization and thread slipstreaming in H.264 video coding
80EBB84C	International Conference on Image Processing<---Coupled pre-/post-processing filters for predictive video coding
805335D7	IEEE Transactions on Circuits and Systems for Video Technology<---Fast Selective Intra-Mode Search Algorithm Based on Adaptive Thresholding Scheme for H.264/AVC Encoding
7199F9AF	International Conference on Image Processing<---Complexity-regularized image denoising
7C11B910	Journal of Visual Communication and Image Representation<---A rate-distortion optimization model for SVC inter-layer encoding and bitstream extraction
7859BE15	International Conference on Acoustics, Speech, and Signal Processing<---Application layer error correction coding for rate-distortion optimized streaming to wireless clients
8134AF32	Information not present<---Rate Estimation of RD Optimization for Intra Mode Decision of H.264/AVC
77FA4597	Picture Coding Symposium<---A generalization of quad-trees applied to lossy image coding
7704C6FF	Signal Processing-image Communication<---Rate-distortion based real-time wireless video streaming
77FEA401	Visual Communications and Image Processing<---Spatio-temporal rate allocation for hybrid video coding
79C16F8E	International Conference on Acoustics, Speech, and Signal Processing<---SSIM-based adaptive quantization in HEVC
7F11ADF3	Consumer Communications and Networking Conference<---Fast adaptive inter mode decision method for P slices in H.264
78E61A2B	IEEE Transactions on Very Large Scale Integration Systems<---Cost-effective multiresolution motion estimation algorithm for rate distortion optimized high definition video encoder
7645A43F	Proceedings of SPIE<---EEM quantization revisited: asymptotic optimality for variable rate coding
7E9F8A10	IEEE Transactions on Multimedia<---Effective bandwidth based scheduling for streaming media
80E11B11	IEEE Transactions on Signal Processing<---A rate-distortion optimal alternative to matching pursuit
7DAFB6D2	International Conference on Acoustics, Speech, and Signal Processing<---RD Optimal Temporal Noise Shaping for Transform Audio Coding
7CFF48E1	Designs, Codes and Cryptography<---Computing rate-distortion optimized policies for streaming media with rich acknowledgments
814AC5B0	IEEE Signal Processing Magazine<---Rate-distortion optimization for video compression
7C5466B1	Signal Processing-image Communication<---Joint optimization coding for level and map information in H.264/AVC
69EFC25A	Multimedia Signal Processing<---Packetized wavelet video coding and error control for receiver-driven layered multicast: an integrated approach
7EF3D754	Pacific Rim Conference on Multimedia<---A novel low-complexity packetization method for fine-granularity scalable (FGS) video streaming
7F6330A0	Intelligent Information Technology Application<---An Efficient Fast Mode Decision Algorithm Based on Motion Cost for H.264 Inter Prediction
6D5DFD27	International Conference on Image Processing<---Rate-distortion optimized motion smoothing for MPEG-2 encoding
7AB3A7FE	Information not present<---Visual attention guided bit allocation in SSIM based video coding
5DBAE95F	Computational Intelligence and Security<---A Study on Motion Prediction and Coding for In-Band Motion Compensated Temporal Filtering
7F1B0372	Information not present<---A spatio-temporal competing scheme for the rate-distortion optimized selection and coding of motion vectors
764EE908	Information not present<---Rate distortion optimization for efficient watermarking in the DCT domain
7EC2A91B	IEEE Transactions on Communications<---Application layer error-correction coding for rate-distortion optimized streaming to wireless clients
7EB95B80	IEEE Transactions on Circuits and Systems for Video Technology<---Memory efficient progressive rate-distortion algorithm for JPEG 2000
807F297C	International Conference on Acoustics, Speech, and Signal Processing<---Fast Mode Decision Algorithm for Intra Prediction in H.264/AVC
7EBD8A84	International Conference on Image Processing<---Rate-distortion optimized delivery of JPEG2000 compressed video with hierarchical motion side information
7ECD3091	International Conference on Acoustics, Speech, and Signal Processing<---Open loop rate-distortion optimized audio coding
7D1A6688	International Conference on Multimedia and Expo<---Rate-Distortion Optimized Packet Scheduling Over Bottleneck Links
7DFAB2D6	IEEE Transactions on Circuits and Systems for Video Technology<---Fast mode decision algorithm for intraprediction in H.264/AVC video coding
80B1EC43	Picture Coding Symposium<---Inter-layer prediction for backwards compatible high dynamic range video coding with SVC
802E600E	Information not present<---Efficient Selection of Candidates for Fast Inter Mode Decision in H.264
7F7DB3FC	International Conference on Computer Graphics and Interactive Techniques<---Geometry compression of normal meshes using rate-distortion algorithms
79A3BA0E	Optical Engineering<---H.264/AVC error detection scheme using fragile, rate-distortion optimized watermarking
7CD13E6D	International Conference on Multimedia and Expo<---A low-complexity hardware-oriented mode decision scheme based on rate-distoration estimation
7F212083	IEEE Transactions on Circuits and Systems for Video Technology<---Quad-Tree Motion Modeling With Leaf Merging
59CA2A46	International Symposium on Circuits and Systems<---Statistical rate-distortion estimation for H.264/AVC coders
7808B883	Information not present<---A fast inter mode decision algorithm in H.264/AVC for IPTV broadcasting services
7A489006	Aeu-international Journal of Electronics and Communications<---Joint QoS control for video streaming over wireless multihop networks: A cross-layer approach
763C25DD	Information not present<---Pareto-Optimal Macroblock Classification for Fast Mode Decision in H.264
778A5500	Information not present<---Fast intra-prediction mode decision algorithm for high efficieny video coding
7708504A	International Conference on Multimedia and Expo<---A background proportion adaptive Lagrange multiplier selection method for surveillance video on HEVC
7AC57170	Picture Coding Symposium<---Depth map compression via edge-based inpainting
800AB9E4	Information not present<---Buffer constraints for rate-distortion optimization in mobile video communications
7E8BF143	International Conference on Image Processing<---Multidimensional SVC bitstream adaptation and extraction for rate-distortion optimized heterogeneous multicasting and playback
7646D4A9	International Conference on Multimedia and Expo<---Rate-distortion optimized 3D reconstruction from noise-corrupted multiview depth videos
5B74FE6C	Information not present<---A Joint Source-Channel Rate-Distortion Optimization Algorithm for H.264 Codec in Wireless Networks
815191CF	IEEE Transactions on Circuits and Systems for Video Technology<---Fast Coding Mode Selection With Rate-Distortion Optimization for MPEG-4 Part-10 AVC/H.264
7F880F93	Advances in Multimedia<---Fast mode decision based on RDO for AVS high definition video encoder
7DC9B1A0	International Conference on Multimedia and Expo<---Globally Optimal Uneven Erasure-Protected Multi-Group Packetization of Scalable Codes
7FE82335	Information not present<---Rate-distortion optimization based skip mode early detection in H.264
7EC4EDD1	International Conference on Image Processing<---A study on fast rate-distortion optimized coding mode decision for H.264
7F7D8B3F	International Conference on Multimedia and Expo<---Progressive rendering from RDTC optimized streams
0288D988	IEEE Transactions on Circuits and Systems for Video Technology<---Generalized rate-distortion optimizations for motion-compensated video coding
78637973	Journal of Signal Processing Systems<---Algorithm and Software Optimization of Variable Block Size Motion Estimation for H.264/AVC on a VLIW---SIMD DSP
8002306B	International Symposium on Circuits and Systems<---Performance optimization for motion compensated 2D wavelet video compression techniques
5B2114C6	Information not present<---A Fast Block Type Decision Method for H.264/AVC Intra Prediction
79455688	International Conference on Image Processing<---JPEG XR optimization with graph-based soft decision quantization
7E134998	Information not present<---A Low Complexity Fast Intra Mode Decision Algorithm for H.264/AVC
7CF92BBB	IEEE Transactions on Image Processing<---Trellis-based R-D optimal quantization in H.263+
7A29564A	IEEE Transactions on Image Processing<---Bidirectional Scalable Motion for Scalable Video Coding
7EACDFA1	Picture Coding Symposium<---Video encoding with the original picture as the reference picture
730A9B68	International Conference on Image Processing<---Efficient scalable DCT-based video coding at low bit rates
78381F5D	Picture Coding Symposium<---Lagrange multiplier selection for rate-distortion optimization in SVC
7DDF35B1	IEEE Transactions on Image Processing<---Video Coding Focusing on Block Partitioning and Occlusion
75CFA4A9	Information not present<---Statistical motion prediction with drift
7CB94763	Multimedia Tools and Applications<---Rate-distortion optimized mode selection method for multiple description video coding
843347C1	International Conference on Model Transformation<---Research on scalable coding technology application in video compression based on H.264 standard
7ED1C332	IEEE Transactions on Circuits and Systems for Video Technology<---A New Coding Mode for Hybrid Video Coders Based on Quantized Motion Vectors
8048EDA2	Multimedia Signal Processing<---Low-complexity frame-level joint source-channel distortion optimal, adaptive intra refresh
693B3E6B	International Conference on Image Processing<---Rate-distortion-optimal parameter choice in a wavelet image communications system
6F105BB1	International Conference on Image Processing<---A rate-distortion optimal video pre-processing algorithm
7D792FE2	International Conference on Image Processing<---RD-Optimized View Synthesis Prediction for Multiview Video Coding
7EE45B7A	IEEE Transactions on Information Technology in Biomedicine<---Wavelet-based space-frequency compression of ultrasound images
59FC7C2A	International Conference on Acoustics, Speech, and Signal Processing<---Prediction and search techniques for RD-optimized motion estimation in a very low bit rate video coding framework
7B433943	Information not present<---Combined data partitioning and fine granularity scalability for channel adaptive video transmission
781F4AA7	Journal of Visual Communication and Image Representation<---Multi-path content delivery: Efficiency analysis and optimization algorithms
795A8C07	Multimedia Signal Processing<---Rate-distortion optimized low-delay 3D video communications
7D42FF9D	IEEE Transactions on Circuits and Systems for Video Technology<---Full RDO-Support Power-Aware CABAC Encoder With Efficient Context Access
7CA25DAA	Journal of Visual Communication and Image Representation<---Progressive compression and transmission of PointTexture images
811BBD2B	International Conference on Image Processing<---Very low rate DCT-based video coding using dynamic VQ
802C1382	Multimedia Information Retrieval<---Macroblock mode decision for H.264
76BB378C	International Conference on Image Processing<---High definition video intra-only coding based on node-cell macroblock pixel structure and 2-D interleaved DCT
762A55A1	Signal Processing-image Communication<---Bit-stream allocation methods for scalable video coding supporting wireless communications
7CE60ED4	Information not present<---An adaptive selection algorithm of macroblock coding candidate modes
124CA582	Information not present<---Rate Distortion Improved Mode Decision Method for H.264 Intra Coding
7F979162	Picture Coding Symposium<---Coding efficient improvement by adaptive search center definition
7D14410E	IEEE Transactions on Circuits and Systems for Video Technology<---Rate-distortion optimization of hierarchical displacement fields
800CD972	International Conference on Multimedia and Expo<---Concealment aware mode selection for power-rate-distortion optimized H.264/AVC encoder
5AC0C457	Information not present<---A rate-distortion optimized real time intra-update method for packet video transmission
75374F35	International Conference on Acoustics, Speech, and Signal Processing<---Image coding using concentration and dilution based on seam carving with hierarchical search
812FF6A7	Picture Coding Symposium<---Fast rate-distortion optimized transform for Intra coding
75A92B9A	Information not present<---A New Algorithm of Fast Intra Prediction Mode Decision in H.264/AVC
8015072B	International Conference on Image Processing<---Rate distortion optimized curve determination for curved wavelet image coding
7D067465	IEEE Transactions on Circuits and Systems for Video Technology<---Sorting Rates in Video Encoding Process for Complexity Reduction
7AAAF555	IEEE Transactions on Multimedia<---Efficient Rate-Distortion Optimized Media Streaming for Tree-Structured Packet Dependencies
0E6B8BCD	Information not present<---Spatial and Temporal Resolution Selection for Bit Stream Extraction in H.264 Scalable Video Coding
7DEF3D73	Fuzzy Information and Engineering<---A novel FPGA-based H.264/AVC intra prediction
7D8472F3	International Conference on Acoustics, Speech, and Signal Processing<---Buffer-constrained R-D model-based rate control for H.264/AVC
7EA7B8DA	IEEE Signal Processing Letters<---Low Complexity JPEG2000 Rate Control Through Reverse Subband Scanning Order and Coding Passes Concatenation
7983124B	Vehicular Technology Conference<---Real-Time Optimization of Video Transmission in a Network of AAVs
7DB63858	Signal Processing-image Communication<---Real-time and rate-distortion optimized video streaming with TCP
80415620	Information not present<---A belief-propagation based fast Intra coding algorithm for the H.264/AVC FRExt coder
78994BD6	International Journal of Computer Applications<---Adaptive Selection of Motion Estimation Block Size for Rate-Distortion Optimization
7E423606	Multimedia Signal Processing<---Distortion estimation for optimized delivery of JPEG2000 compressed video with motion
80FCF668	IEEE Transactions on Circuits and Systems for Video Technology<---Efficient CABAC Rate Estimation for H.264/AVC Mode Decision
064BFB3E	Information not present<---Transmitting video surveillance sequences based on JPEG 2000 conditional replenishment
76785D05	Intelligent Information Hiding and Multimedia Signal Processing<---Optimized State-Distortion Extraction for Scalable Extension of H.264/AVC
7F3B6DFE	International Symposium on Circuits and Systems<---Rate-distortion optimal boundary encoding using an area distortion measure
764E3831	Visual Communications and Image Processing<---Rate distortion optimized transform for intra block coding for HEVC
0EC46A96	Information not present<---On the techniques for 3-D pointtexture image and sequence compression
7F8D7C59	IEEE Transactions on Circuits and Systems for Video Technology<---Rate-Distortion Optimized Pixel-Based Motion Vector Concatenation for Reference Picture Selection
767083D6	International Conference on Image Processing<---Video Streaming to Multiple Clients Overwireless Local Area Networks
77A198D6	Designs, Codes and Cryptography<---Spatial Constant Quantization in JPEG XR is Nearly Optimal
764AED62	International Conference on Image Processing<---A novel distortion model for depth coding in 3D-HEVC
80B0B21D	International Conference on Image Processing<---Multilayer document compression algorithm
6F716813	International Conference on Image Processing<---Rate-distortion-efficient video compression using a 3-D head model
794512CF	International Conference on Image Processing<---Entropy-constrained design of quadrate video coding schemes
8176FC7D	International Symposium on Circuits and Systems<---Efficient dictionary based video coding with reduced side information
5DD3DB7C	Information not present<---A New Algorithm of Fast Intra Prediction Mode Decision in H.264/AVC
807D9234	International Conference on Multimedia and Expo<---Temporal scalable video transmission using multi-reference prediction chain coding
7F43747E	IEEE Signal Processing Letters<---Frame Complexity Guided Lagrange Multiplier Selection for H.264 Intra-Frame Coding
7E5FE29C	International Conference on Computer Communications and Networks<---Complexity-Rate-Distortion Optimization for Real-Time H.264/AVC Encoding
07AD1BB1	Advances in Mobile Multimedia<---A Novel Region-of-Interest Coding Based on Rate-Distortion Optimization
7560F517	Signal Processing<---Satellite image compression by post-transforms in the wavelet domain
5864E183	Journal of Systems Engineering and Electronics<---Improved algorithm for RDO in JPEG2000 encoder and its IC design
8135FA74	IEEE Transactions on Image Processing<---Rate distortion optimal bit allocation methods for volumetric data using JPEG 2000
81722D32	International Conference on Multimedia and Expo<---Fast mode decision for adaptive prediction error coding
790408B7	Advances in Mobile Multimedia<---Transrating-assisted MPEG-4 video resizing with rate-distortion optimization
80967306	World of Wireless, Mobile and Multimedia Networks<---Rate-distortion optimized network coding for cooperative video stream repair in wireless peer-to-peer networks
5D94337F	Information not present<---Rate-distortion optimized image coding via least square estimation quantization (LS-EQ)
7BAE1EE6	Visual Communications and Image Processing<---Three-dimensional subband scalable video coding embedded with H.264/AVC codec
75AA08BD	International Conference on Multimedia and Expo<---Bit Depth Scalable Coding
795B6489	IEEE Transactions on Circuits and Systems for Video Technology<---Dependent R/D Modeling Techniques and Joint T-Q Layer Bit Allocation for H.264/SVC
7C5BA7F8	Information not present<---Spatially adaptive bases in wavelet-based coding of semi-regular meshes
7D192F81	International Conference on Acoustics, Speech, and Signal Processing<---A novel hybrid technique for discrete rate-distortion optimization with applications to fast codebook search for SVQ
71523A69	Advances in Multimedia<---SSIM-Based error resilient video coding over packet-switched networks
815C9E2A	International Conference on Communications<---Implementation of H.264 integer motion estimation using simple square patterns
09D79F4C	Information not present<---A Perceptual Rate-Distortion Based Quantization Level Adjustment Algorithm
7EE8D83C	IEEE Transactions on Image Processing<---An embedded still image coder with rate-distortion optimization
5F7ADA9C	Advanced Concepts for Intelligent Vision Systems<---A New Rate-Distortion Optimization Using Structural Information in H.264 I-Frame Encoder
7A5AA28E	Information not present<---Depth map coding based on a optimal hierarchical region representation
8084FC98	International Conference on Image Processing<---Optimal block boundary pre/post-filtering for wavelet-based image and video compression
6672E690	International Symposium on Circuits and Systems<---A novel fast algorithm for intra mode decision in H.264/AVC encoders
81235551	International Conference on Acoustics, Speech, and Signal Processing<---Backward Drift Estimation with Application to Quality Layer Assignment in H.264/AVC Based Scalable Video Coding
77EE1F32	Information not present<---Optimized scalable video transmission based on conditional replenishment of jpeg2000 code-blocks with motion compensation
7CE8F7CA	Designs, Codes and Cryptography<---JPEG2000 Arbitrary ROI Coding through Rate-Distortion Optimization Techniques
77B72226	Ieice Transactions<---An Efficient Rate-Distorsion Optimization Scheme for JPEG2000
79EE8C4B	Information not present<---Adaptive disparity and motion estimation for Multiview Video Coding
79B404C1	Information not present<---Multiple global affine motion model for H.264 video coding with low bit rate
5F68895E	International Symposium on Circuits and Systems<---Rate-distortion optimized bit allocation for error resilient video transcoding
7D3E9FFD	Information not present<---Fast rate-distortion optimization in H.264/AVC video coding
7EAD214E	International Conference on Acoustics, Speech, and Signal Processing<---One-pass multi-layer rate-distortion optimization for quality scalable video coding
7E2C415F	International Conference on Acoustics, Speech, and Signal Processing<---On rate distortion optimization using SSIM
5F5D7D97	International Conference on Image Processing<---Rate-distortion motion compensated noise filtering for low bit rate video coding
7D0DD43C	IEEE Transactions on Image Processing<---Bit-Rate Allocation for Multiple Video Streams Using a Pricing-Based Mechanism
71A7E0E9	Designs, Codes and Cryptography<---Computing rate-distortion optimized policies for streaming media to wireless clients
5F2241E5	Information not present<---Dense motion field reduction for motion estimation
813E2405	International Conference on Acoustics, Speech, and Signal Processing<---Rate-distortion optimized transform for intra-frame coding
8020E1E9	IEEE Transactions on Image Processing<---Edge-Oriented Uniform Intra Prediction
80669F68	Canadian Conference on Electrical and Computer Engineering<---Rate-distortion optimization of spatial filters for motion-compensated video coding
7E02D333	EURASIP Journal on Advances in Signal Processing<---Unbalanced Multiple-Description Video Coding with Rate-Distortion Optimization
5EB137F7	Information not present<---Wavelet Domain Steganography for JPEG2000
66AB49A5	Information not present<---Design and Analysis of H.264 Intra-Prediction and Mode-Decision Architecture Using Rate-Distortion Optimization
0069378B	Information not present<---Context-based rate distortion estimation and its application to wavelet image coding
8131A1B6	Information not present<---Conducting Rate-Distortion Optimization in Data-Driven P2P Video Streaming
