7F1A1204	Information not present<--Active mitigation of induced phase distortion in a GSM SoC
0F2ADD1D	Information not present<--SWEPT FREQUENCY MODULATION. A MEANS OF REDUCING THE EFFECTS OF IMPULSE NOISE
1859D6CA	Information not present<--VOICE COMMUNICATION DEGRADATION STUDYY.
79375898	IEEE Transactions on Biomedical Engineering<--Influence of Running Stride Frequency in Heart Rate Variability Analysis During Treadmill Exercise Testing
1278261B	Information not present<--An Evaluation of Possible Effects of Modulated 76 Hz Electric Fields on Behavior and EEG of Monkeys. Phase 2. Frequency Modulation
7BBE0F64	Animal Feed Science and Technology<--Effect of inclusion of lactulose and Lactobacillus plantarum on the intestinal environment and performance of piglets at weaning
8080766D	Information not present<--Period doubling of torus in an acousto-optically modelocked Ti:sapphire laser
80636E2A	Information not present<--Micro-Doppler analysis and application of radar targets
812C1FB4	Journal of Lightwave Technology<--Smoothly wavelength-tunable picosecond pulse generation using a harmonically mode-locked fiber ring laser
7AEDA008	IEEE Journal of Quantum Electronics<--Broadband optical coupling modulation
5A283DC2	Information not present<--Sounding Rocket and Balloon Systems Support.
752A133E	IEEE Spectrum<--Consumer electronics: Component television: This systematic approach is designed to help untangle the maze of wires and cables in many U.S. living rooms
7787623A	IEEE Aerospace and Electronic Systems Magazine<--Target motion compensation in synthetic aperture radar
58596DE6	Information not present<--ATENCIÓN INTEGRAL DE LA UNAM A NIÑOS CON VIH
7CF4B647	IEEE Transactions on Vehicular Technology<--Performance analysis of multicarrier frequency-hopping (MC-FH) code-division multiple-access systems: uncoded and coded schemes
5EE19414	Information not present<--Combining modern spectral estimation with Time-Frequency representation
7553CC0C	IEEE Transactions on Vehicular Technology<--Bidirectional Cooperative Relay Strategies for Transmitted Reference Pulse Cluster UWB Systems
7FFC95C3	Information not present<--Wideband signal detection by employing differential sampling rates
7B4E88C4	Information not present<--Design method of outcome based learning for an inverter experiment in a power electronics subject
8058A2A1	IEEE Transactions on Magnetics<--Combined Frequency-Amplitude Nonlinear Modulation: Theory and Applications
80BF5402	Information not present<--Sliding DFT based ultrasonic ranger
7D4A2F29	IEEE Transactions on Neural Networks<--Neural Network Learning Without Backpropagation
77E0B481	Information not present<--Flat-top optical frequency comb block generation using InP-based Mach-Zehnder modulator
7DB08D66	International Conference on Machine Learning and Cybernetics<--Nonlinear control of electrolysis velocity based on stair-like and fuzzy model
798C9E59	IEEE Journal of Quantum Electronics<--Circuit modeling of the effect of diffusion on damping in a narrow-stripe semiconductor laser
6E2D11E1	The Case Manager<--Multiple frequency modulated pulse Iidar system
7F064A45	Information not present<--Research on key tchnologies for collision avoidance automotive radar
32A8A6C9	Information not present<--A study on the frequency modulation doppler global velocimetry system
820E8133	IEEE Transactions on Circuits and Systems I-regular Papers<--An Analog-Mode Impulse Radio System for Ultra-Low Power Short-Range Audio Streaming
78BD69B8	Information not present<--Detection of radio-frequency modulated optical signals by two and three terminal microwave devices
7A6E37D9	Information not present<--Application of Fabry-Perrot modulator to modulated LIDAR system for underwater detection
7C0DDE0F	Vehicular Technology Conference<--Adjacent channel interference in FM communications systems
7E49E181	IEEE Transactions on Signal Processing<--Time-Varying Autoregressive (TVAR) Models for Multiple Radar Observations
5E06719A	European Solid-State Circuits Conference<--A 10.7-MHz N-Path Fourth-Order Bandpass Sigma-Delta Modulator
7D1C16D3	Information not present<--Estimating a spectral correlation function and its errors owing to inexact frequencies
10846D52	Information not present<--A Passive Radar for Atmospheric Remote Sensing Using Commercial FM Broadcasts
7E421AD9	IEEE Transactions on Industrial Electronics<--Envelope simulation by SPICE-compatible models of electric circuits driven by modulated signals
7F2102A3	Information not present<--Pyroelectric infrared sensor for intruder detection
80EA50C1	Proceedings of The Institute of Radio Engineers<--An Experimental Study of the Tetrode as a Modulatfd Radio-Frequency Amplifier
8145A590	IEEE Transactions on Communications<--Differential detection of quadrature frequency/phase modulated signals
79713A8B	International Geoscience and Remote Sensing Symposium<--Refocusing of ship signatures and Azimuth speed estimation based on FRFT and SAR SLC imagery
7A7A05E8	Proceedings of The Institute of Radio Engineers<--The Analytic Signal Representation of Modulated Waveforms
80AA1A02	Information not present<--Method to remove the interference in reflected wave of passive radar based on the improved FastICA
80B10E88	Information not present<--Multi-port technology for microwave and optical communications
7B95C13C	International Conference on Communications<--CPM-based spread spectrum systems for multi-user communications
7D593CFE	International Conference on Acoustics, Speech, and Signal Processing<--Time-varying waveform selection and configuration for agile sensors in tracking applications
7C796A64	Information not present<--A novel spectrum occupancy anomaly detection method based on time series analysis theory
60D041A1	Information not present<--Coherent versus noncoherent signaling for satellite-aided mobile communications
792FEBAD	Information not present<--The research of GLONASS signal and base-band processing techniques
7E240E0C	Information not present<--Impact of pump-phase modulation on fibre-based parametric wavelength conversion of coherently detected PSK signals
7E36B7EA	Information not present<--Adapting multitaper spectrograms to local frequency modulation
77EBC335	Information not present<--Analysis of output voltage of switching frequency modulated DC-DC converter operating in discontinuous conduction mode
7FD0C5D7	International Conference on Acoustics, Speech, and Signal Processing<--Motion effect modeling in multipath configuration using warping based lag-Doppler filtering
7A3B6893	International Symposium on Multiple-Valued Logic<--Revisiting Ultraproducts in Fuzzy Predicate Logics
7D78C6FC	Information not present<--Optimal low switching frequency modulation of a front-end inverter feeding induction motors
6CE406AC	Information not present<--A novel simulation technique for the analysis of digital asynchronous pulse width modulation
77A25D9B	Information not present<--Property of New Periodic Binary Codes Compressed to Several Chips
72EF6535	Information not present<--Space-time modulated nonreciprocal mixing, amplifying and scanning leaky-wave antenna system
79BF2387	Information not present<--A Superconducting Cavity Stabilized Oscillator
7D9A4798	IEEE Transactions on Power Electronics<--A novel method for elimination of line-current harmonics in single-stage PFC switching regulators
7AFA475C	Information not present<--Microwave life detector for buried victims
73644816	Information not present<--LA POBREZA INCREMENTA LA INCIDENCIA DE DIVERSAS ENFERMEDADES
5F369FA7	Information not present<--NUEVO LIBRO SOBRE ADMINISTRACIÓN DE LA ATENCIÓN MÉDICA. ÚNICO EN AMÉRICA LATINA
8069D685	IEEE Communications Magazine<--Communications and the law
80FB7CE8	Information not present<--All phase-FFT signal detection method for QAM system in fast-moving wireless channel
7B62F4E5	Information not present<--Integrated Transmitter with Amplitude and Phase Modulations
80ED3338	IEEE Transactions on Antennas and Propagation<--Pulse compression by reflection from inhomogeneous ionized media
7B4AAFAB	IEEE Photonics Technology Letters<--A Novel Optical Coupler Design With Graded-Index Photonic Crystals
7E6A8585	Information not present<--Bandwidth dependence of CW ranging to UHF RFID tags in severe multipath environments
7E71D048	International Symposium on Circuits and Systems<--A BICMOS PDF notch circuit for FM-DCSK communication over selective channels
5918714D	Information not present<--A threshold criterion for phase locked loop design.
5A700ACE	Information not present<--A new design method of linear-phase paraunitary filter banks with an odd number of channels
8112F703	International Conference on Communications<--Conducted EMI suppression by Random Carrier Frequency modulation techniques
7D6987F5	Information not present<--Constant frequency PWM capacitor voltage clamped series resonant power supply
78716064	Information not present<--PAPR reduction techniques in LTE/LTE-A systems
7A4B455E	Electronics Letters<--Frequency-modulated single-mode laser
76D65D13	IEEE Journal of Quantum Electronics<--Analysis of frequency modulation of junction lasers by ultrasonic waves
76CAC537	International Conference on Bioinformatics and Biomedical Engineering<--Measuring the Effect of Chromate Pollution on Duckweed Half-Fronds by Chlorophyll Fluorescence
7F0B4653	Journal of Lightwave Technology<--Acoustooptic modulators for single-mode fibers
7F4BB31F	Biotechnology Advances<--High Frequency Light Modulators
5A82B4F1	Information not present<--Self-referencing a 10 GHz electro-optic comb
817101CB	IEEE Journal of Quantum Electronics<--A comparison of the performance of different laser amplifier media
0B94F933	Information not present<--Analysis and improvement of the spectral properties in mid-infrared semiconductor quantum cascade lasers
7F39488B	IEEE Transactions on Industry Applications<--A Microcomputer-Based Control Signal Generator for a Three-Phase Switching Power Inverter
76779A23	IEEE Journal of Solid-state Circuits<--A 15-mW fully integrated I/Q synthesizer for Bluetooth in 0.18-/spl mu/m CMOS
79373DE0	IEEE Journal of Quantum Electronics<--Extremely narrow spectral linewidth and low chirping of the MQW-DFB-PPIBH laser diode
7C7E2221	Information not present<--Management of tourism group and technology of the personalized tour based on RFID
816C8E9D	International Geoscience and Remote Sensing Symposium<--High resolution airborne FM-CW SAR: digital signal processing aspects
817B0C2C	Information not present<--ANDRÉS BENDESKY, PREMIO NACIONAL DE LA JUVENTUD
80C9D88A	IEEE Transactions on Antennas and Propagation<--A new technique for electronic scanning
73640BE9	The Journal of Pediatrics<--The Effects of Sex and Pubertal Maturation on Cardiovagal Baroreflex Sensitivity
7DD34C5B	European Conference on Circuit Theory and Design<--Pulse width modulation of multilevel delta-sigma output for class S power amplifier
7FDEC2C7	IEEE Transactions on Instrumentation and Measurement<--High order modulation stripping for use by synchronization algorithms in communication systems
5ED1D87F	Information not present<--A design of phase nonlinear chirp waveform using FPGA for pulse compression radar
81EBC91F	Information not present<--True time delays using conversion/dispersion with flat magnitude response for wideband analog RF signals
58B2FF21	Information not present<--CELEBRAN 200 AÑOS DE LA MEDICINA MEXICANA
817458EB	Information not present<--Jitter Frequency Modulation - A Technique that Can Reduce EMI Noise Level of Switch Mode Power Supply Effectively
812ACBDB	IEEE Journal of Quantum Electronics<--Design and optimization of strained-layer-multiquantum-well lasers for high-speed analog communications
73D77673	Information not present<--Estimating human hearing thresholds using potentials that follow sinusoidally amplitude modulated (SAM) tones
7D96D665	Autonomic and Trusted Computing<--Direct modulation of an opto-electronic oscillator: Towards radio over fiber
751C8349	Intelligent RObots and Systems<--Tuning fork based in situ SEM nanorobotic manipulation system for wide range mechanical characterization of ultra flexible nanostructures
5BFB374D	Information not present<--A mobile standard of frequency deviation unit in frequency modulation signals
807FA8AA	IEEE Transactions on Signal Processing<--Modulated Oscillations in Three Dimensions
58F9A3C7	Information not present<--The subjective effect of multiple co-channel frequency modulated television interference
7636403B	IEEE Transactions on Terahertz Science and Technology<--A Novel Interferometric Sub-THz Doppler Radar With a Continuously Oscillating Reference Arm
8114655D	IEEE Transactions on Instrumentation and Measurement<--Crosstalk analysis of 1 m to 10 m laser phase-shift range finder
813BDFEB	International Conference on Acoustics, Speech, and Signal Processing<--Adaptive window in the PWVD for the IF estimation of FM signals in additive Gaussian noise
81071719	IEEE Photonics Technology Letters<--Reconfigurable Multiwavelength Source Based on Electrooptic Phase Modulation of a Pulsed Laser
8110B6DA	IEEE Transactions on Instrumentation and Measurement<--Impact of slave clock internal noise on Allan variance and root mean square time interval error measurements
78236AE8	Information not present<--SC/FDE combined with MIMO: An improved out of band power and performance via tamed frequency modulation
7E4BE2DF	IEEE Transactions on Sonics and Ultrasonics<--Time Sidelobe Performance of Low Time-Bandwidth Product Linear FM Pulse Compression Systems
7A4A1ACD	IEEE Transactions on Communications<--Mean-Square Crosstalk in Tamed Frequency Modulation
7D58699A	Information not present<--Spatially-modulated radar waveforms inspired by fixational eye movement
7E69EB11	Information not present<--External modulation of Terahertz Quantum Cascade Lasers using electrically-driven active metamaterials
7BEC41A8	Information not present<--Analogue intensity modulation of high-definition television for single-mode fiber transmission
7ED3B1D3	Information not present<--Diagnostic accuracy of handgrip strength in the assessment of malnutrition in hemodialyzed patients
751834DC	IEEE Transactions on Aerospace and Electronic Systems<--An extended Frank code and new technique for implementing P3 and P4 codes
792C0BBE	Information not present<--Tunable mode-locked laser source based on a semiconductor TWLA at 1.3 μm
7889617C	Information not present<--Study on military shortwave frequency planning
7D104CA8	Proceedings of the IEEE<--The power spectrum of an FSK signal due to fast random jitter in the carrier frequency
7B74D6B6	Advances in Computing and Communications<--Experimental digital control of a magnetic suspension
77A2F39E	Information not present<--Recent results in receiving and decoding signals from the Beidou system
055D1A2C	Information not present<--Acoustic Scattering by Axisymmetric Finite-Length Bodies with Application to Fish: Measurement and Modeling
75941327	Information not present<--Influence of Parameters on Communication Satellite Signal Interference Modelling
794E3CEE	Information not present<--Sagnac birefringent fiber strain sensor with FMCW technique
814E0E65	Information not present<--Noise in Homodyne FMCW radar systems and its effects on ranging precision
66773F27	Information not present<--Application of Weighted Distance Discrimination Criterion to Optimization of Supporting Program for Deep Foundation Pit
8008A900	Information not present<--Performance of digital modulation formats in radio over fiber systems based on the sideband injection locking technique
7D125057	Information not present<--Semi-Cooperative Spectrum Fusion (SCSF) for aerial reading of a correlated sensor field
7F39AE41	Journal of Lightwave Technology<--Analytical Study of RIN Transfer in Pulse-Pumped Raman Amplifiers
80686547	Information not present<--Three-phase rectifier using a Sepic DC-DC converter in continuous conduction mode for power factor correction
7D96604A	Information not present<--Application of kalman filters as a tool for phase and frequency demodulation of IQ signals
80442A32	IEEE Transactions on Industrial Electronics<--Design and Implementation of a Single-Stage High-Frequency HID Lamp Electronic Ballast
5F277FF0	Information not present<--Proton-radiation damage in Gunn oscillators
75DED914	Information not present<--A 1-V low-noise readout front-end for biomedical applications in 0.18-µm CMOS
7CC60568	Information not present<--The evolution of plant process control in Taiwan
7E19AD40	Information not present<--Array antennas based joint beamforming for IEEE 802.11n Wi-Fi
8054890B	Information not present<--Electrochemical detection of salivary RNA
09CCEDF0	Information not present<--Symptoms, Diagnosis, and Treatment of Fibromyalgia
77044DE8	Information not present<--A flux-modulated low-speed motor with an improved structure and its performance analysis using finite-element method
7890F268	Information not present<--1.4 mA (70 mV) peak-to-peak drive of 1.25 Gb/s frequency modulated laser for WDM coherent access networks
816C7287	International Symposium on Circuits and Systems<--A digital frequency modulator circuit for a dual-mode cellular telephone
7D45F579	Information not present<--Which one is more sensitive to carrier frequency offsets - OFDMA or SC-FDMA?
7B036888	Information not present<--Single-pump FWM-wavelength conversion in HNLF using coherent receiver-based electronic compensation
315E7268	Information not present<--High Speed Operation and Testing of a Fault Tolerant Magnetic Bearing
5DB58363	Information not present<--PERANCANGAN ALAT PENGIRIM DAN PENERIMA PESAN PENDEK MENGGUNAKAN HT BERBASIS MIKROKONTROLER AT89C52
831B7901	Information not present<--Enhancement of remote sensing capability of HF skywave radar by correcting the signal for frequency modulations
860FACBB	The Internet of Things<--Performance evaluation of different OFDM transmission schemes
7D430E77	Information not present<--Assessment of potentiality of adjacent channel interference mitigation in a low-rate TDMA system
80B5F98E	Information not present<--Evaluation of Existing VOR, Localizer, and Glideslope Receiving Equipment. Volume II, Book 1. Individual Test Results in 50-kHz/150-kHz Environment.
802551FE	IEEE Photonics Technology Letters<--A high-performance optically injected synchronous oscillator
62475055	Information not present<--Evaluation Of NTSC Ghost Cancelation Systems
6FB5BCCC	IEEE Transactions on Magnetics<--Synthesis and Magnetic Properties of , , and Ceramics
79D96EEE	Information not present<--Seismic Exploration with VCSEL Based on Doppler Self-Mixing Effect
806DAEEE	IEEE Transactions on Power Electronics<--Multi-loop control for quasi-resonant converters
7862279F	Information not present<--Doppler radar non-contact measurement of rotational movement in both macro- and micro- scales
710E5543	Information not present<--FACTIBLE UN NUEVO MODELO DE TELEVISION EDUCATIVA
7F9890B0	Information not present<--Time-Frequency-Modulation Representation of Stochastic Signals
77AD8B9B	Information not present<--High-Frequency Characteristics of 40Gb/s Electroabsorption Modulator-Integrated DFB Lasers: Effect of Traveling-Wave Electrode and Tilted Facet
77D88812	Information not present<--Research and Implementation of the combined three-phase inverter with wideband and low-distortion
77B9F60A	Information not present<--Short-Range Burst Mode Wireless Optical Interconnection System of Moving Object
63C143E0	Information not present<--Operation of the Rapid Scan Particle Spectrometer SC5 on the SCATHA Satellite.
0DDAEC1D	Information not present<--Effects of Ground Reflections on Frequency Modulated Signals
7B239D8B	IEEE Transactions on Power Electronics<--Performance Analysis of Delta Modulated PWM Inverters
7F8489F9	Information not present<--A fully functional Ramsey-CPT atomic clock
5A2A769F	International Geoscience and Remote Sensing Symposium<--Radar profiling above pine forests
7EC262BC	Information not present<--Development of DGPS system based on FM subcarrier data link
7AA7B167	Information not present<--An Analog CMOS Double-Edge Multi-Phase Low-Latency Pulse Width Modulator
61CA58F2	Information not present<--A Digitally Tuned AM/FM Radio.
79E6E40F	IEEE Transactions on Broadcast and Television Receivers<--A unique method of rendering television intermediate frequencies independent of tuner osciallator drift
7E535F03	Information not present<--A pseudo-noise coded constant-off-time (PNC-COT) control switching converter with maximum 18.7 dBm peak spur reduction and 92% efficiency in 40 nm CMOS
783E4075	Information not present<--Millimeter-wave antenna pattern measurement using high extinction ratio Mach-Zehnder modulator
7C74A7A4	IEEE Transactions on Consumer Electronics<--Sound PCM Decoder LSls for Japanese DBS
81086F76	International Conference on Image Processing<--Multichannel dual domain infrared target tracking for highly evolutionary target signatures
805520A4	International Conference on Acoustics, Speech, and Signal Processing<--Structurally discriminative graphical models for automatic speech recognition - results from the 2001 Johns Hopkins Summer Workshop
80E527C9	IEEE Transactions on Communications<--Power allocation for OFDM using adaptive beamforming over wireless networks
7E59B1A2	Canadian Conference on Electrical and Computer Engineering<--Power inverter control for induction heating by pulse density modulation with improved power factor
7BC901D9	Information not present<--High Quality Directional Audio System
5F4278CF	Ieice Transactions<--Variable Cutoff Frequency Pre-Modulation Filter for PCM/FM Transmission System
80D821EC	Journal of Lightwave Technology<--Low Noise Optically Tunable Opto-Electronic Oscillator With Fabry–Perot Etalon
5AA7E769	Information not present<--A high-efficiency resonant solar micro-inverter
78F952A2	Information not present<--A Markoff envelope process
792C69F7	Information not present<--Suppressed carrier modulation with tunnel diodes
7BCB67E2	Information not present<--Carrier-envelope phase double stabilization with eight attosecond residual timing jitter
7AFE01ED	Electronics Letters<--FM noise and linewidth reduction in semiconductor laser weakly coupled to a single-mode fibre resonator
791CC9A1	Electronics Letters<--Frequency modulated bandpass ΣΔ chirp synthesiser for sensor applications
78B87643	IEEE Transactions on Industrial Electronics and Control Instrumentation<--A Nonlinear Modulator Using Delta Modulation Principles
8558B557	Information not present<--A Life-Cycle Model for Contracted Information Exchange
78A0F2F2	IEEE Transactions on Circuits and Systems I-regular Papers<--Electronically Tunable Doherty Power Amplifier for Multi-Mode Multi-Band Base Stations
59F9844B	Information not present<--Analysis of Modern Digital Modulation Techniques.
80D960EA	Proceedings of the IEEE<--A pulse compression system employing a linear FM Gaussian signal
80A1A048	Iee Proceedings-communications<--Digital techniques for mobile radio chirp sounders
7A2C7110	High Performance Computing and Communications<--Cramer-Rao Lower Bound for Non-data Aided Carrier and Symbol Synchronization over Flat Rayleigh Fading Channel
781ACF03	Electronics Letters<--Reduction of FM threshold effect by inband noise cancelling
80656869	Information not present<--A low complexity Ultra-Wideband, Orthogonal Frequency Division Multiplexing communication system
7E3CD279	International Symposium on Signal Processing and Information Technology<--Multiple wavelet analysis of amplitude/frequency modulated images
7AC87571	Information not present<--Saw Stabilized 1680 Mhz Microwave Oscillator
5F2435E7	Information not present<--Shot-noise limited detection using two-tone frequency modulation spectroscopy
7F2CFCD3	IEEE Transactions on Consumer Electronics<--FM audio IC for VHS VCR using new signal processing
78D015AC	Ultrasonic Imaging<--Power-spectrum centroid detection for doppler systems applications
6F33A911	Information not present<--Simulation Model of Hydraulic Turbine Speed Control System and Its Parameters Identification Based on Resilient Adaptive Particle Swarm Optimization Algorithm
7B15D1B9	Information not present<--Investigation of current harmonics using FEM on different rotor types of PMSMs
76EDC993	Information not present<--Frequency Modulation Of Short Laser Pulses As A Method Of Image Transfer
789C2A29	Information not present<--Low cost virtual flickermeter
77E53DB2	Information not present<--Space vector modulation based on virtual indirect control for high frequency AC-linked matrix converter
7EFD5D51	International Conference on Networks<--Pulse time modulation for subcarrier multiplex (SCM) systems
7CF0A4D0	IEEE Transactions on Communications<--On the Capacity of Intensity-Modulated Direct-Detection Systems and the Information Rate of ACO-OFDM for Indoor Optical Wireless Applications
80C699E3	Information not present<--Performance of variable-speed DC drive with sinusoidal PWM control
7904B26A	Information not present<--New DC/AC high power cell structure improve performances for sine generator
5BD74D9A	Information not present<--IV REUNION PANAMERICANA DE PATOLOGIA OFTALMICA
771617EA	Information not present<--Relative and absolute hybrid motion control strategy investigation on active magnetic bearings_analysis of system performances
7F7A17C8	Canadian Conference on Electrical and Computer Engineering<--A comparison of bipolar and CMOS mixer structures for direct conversion modulation at microwave frequencies
81700F5D	Information not present<--Co-ordinate interleaving in the OFDM system and performance improvement in fading channel
7C10F3A9	Transactions of The American Institute of Electrical Engineers<--Low-Voltage D-C Measurements on Electrical Insulating Oils
026396EE	Information not present<--8021 大学施設の講義室利用の検討とキャンパスFMの可視化 : 工科系大学のキャンパスFMに関する研究(FM・施設管理,建築社会システム)
77A56735	Information not present<--Study on jamming random pulse position modulation PD Fuze based on channel leak
7C9A957D	Information not present<--Modulation control and spectral shaping of supercontinuum generation in the picosecond regime
784E490E	IEEE Transactions on Communications<--Analysis of FM Systems with Co-Channel Interference Using a Click Model
7D4F8ED4	Information not present<--A 14b 23MS/s 48mW resetting ΣΔ ADC with 87dB SFDR 11.7b ENOB & 0.5mm 2 area
757B03A7	IEEE Journal of Selected Topics in Quantum Electronics<--Very Large-Mode-Area, Symmetry-Reduced, Neodymium-Doped Silicate Glass All-Solid Large-Pitch Fiber
75A63F53	International Conference on Telecommunications<--SC ΣΔ converter for vibration sensor processing system
7B27DB9D	International Conference on Robotics and Automation<--Preliminary study of advanced fault detection scheme
5A489D1B	International Conference on Image Processing<--Active contour segmentation guided by AM-FM dominant component analysis
7E1F94AD	Information not present<--Regularization-based learning of the Choquet integral
77579AB0	IEEE Microwave and Wireless Components Letters<--A X-Band ${\rm I}/{\rm Q}$ Upconverter in 65 nm CMOS for High Resolution FMCW Radars
6DE25616	Information not present<--Coherent optical driving of electron transition for realization of amplification without inversion at gamma-ray transition
80A9E441	Information not present<--Maximum likelihood sequence estimation and its VLSI implementation
7F93D738	IEEE Electron Device Letters<--On Gate Capacitance of Nanotube Networks
7B004B0C	Information not present<--Modal noise reduction in analog fiber optic links by superposition of high-frequency modulation
38E5314D	Information not present<--How Australia Decides: The popular public sphere
78034457	Information not present<--A Miniature, High-Resolution Laser Radar Operating at Video Rates
75587B02	Frontiers in Human Neuroscience<--The relationship of phonological ability, speech perception, and auditory perception in adults with dyslexia
7B7B89C3	Electronics Letters<--Generation of transform-limited optical pulses up to 20 GHz from a monolithic electroabsorption modulator/DFB laser
7A173A1C	Proceedings of the IEEE<--An active butterworth frequency discriminator
61BE72AA	IEEE Transactions on Consumer Electronics<--Sparse channelizer for FPGA-based simultaneous multichannel DRM30 receiver
59330B78	Information not present<--Current ripple reduction in synchronous machines driven from multi-functional converter systems
32D6869B	Translational Research<--MicroRNA expression profiles differentiate chronic pain condition subtypes.
7E9C0447	International Conference on Intelligent Computing<--Digital Electro-hydraulic Proportional Control for Bulldozer Working Device
76813A77	Ire Transactions on Instrumentation<--Simplifed Transistorized FM Magnetic Tape System for Recording Ground Vibrations
7C2607AB	Information not present<--A comparison between instantaneous frequency estimation methods of frequency modulated signals covered with Gaussian noise
85CD959C	Information not present<--LA ASOCIACIÓN DEL FETO CON LA MADRE
768BBEF8	Autonomic and Trusted Computing<--Vietnam spectrum occupancy measurements and analysis for cognitive radio applications
7F7D6470	International Conference on Communications<--Performance analysis of multiple carrier M-ary FSK system with diversity combining over generalized fading channels
76666D8F	IEEE Transactions on Electron Devices<--Electronic-Frequency-Tuning Magnetron
79480795	BioMedical Engineering and Informatics<--Dissolved oxygen control of the activated sludge wastewater treatment process using Hedge Algebraic control
77C3974F	Information not present<--Multifunction CO2 Waveguide Laser For Application In Systems
797667F7	Electronics Letters<--Novel second-order Δ-Σ modulator/frequency-to-digital converter
7851496D	Proceedings of the IEEE<--Surface state charge effects on very low current transistor characteristics
7C089C2B	IEEE Transactions on Instrumentation and Measurement<--Comparative Study of Square and Sine-Wave Excitation Methods for the Measurement of Aerosol Particles Charge and Size Distribution Using Phase Doppler Anemometry
7ECD0232	Design Automation Conference<--Transformer: a functional-driven cycle-accurate multicore simulator
79C08322	Proceedings of The Institute of Radio Engineers<--The CAA Doppler Omnirange
806CC980	Computer Supported Cooperative Work in Design<--Team Composer: Assembling groups through social matching
6275AF65	Information not present<--Fractional harmonic radiation from a prebunched free electron laser
7EE30A7F	Applied Optics<--Broadband Michelson fiber-optic accelerometer
80E3E91B	IEEE Journal of Solid-state Circuits<--An IF-to-Baseband Modulator for AM/FM/IBOC Radio Receivers With a 118 dB Dynamic Range
7FB6185B	IEEE Transactions on Communications<--Distortion of FM Signals Caused by Channel Phase Nonlinearity and Amplitude Fluctuation
776F5193	IEEE Sensors Journal<--Response of Colloidal Quantum Dot Infrared Photodetectors to Modulated Optical Signals
7ECA7639	Information not present<--Laser modulating technology realizing harmonic examination of coal mine gas concentration
586F1746	Information not present<--Radiation Damage in Polarized Ammonia Solids
72BC461E	Information not present<--An interoperable antenna for GPS and GLONASS services on a car
7E4B353D	International Geoscience and Remote Sensing Symposium<--On radar polarimetry in FM-CW radar
7E762830	Information not present<--Multi reader/multi-tag SAW RFID systems combining tagging, sensing, and ranging for industrial applications
7DC82BB4	Proceedings of The Institute of Radio Engineers<--High Quality Radio Broadcast Transmission and Reception
7EBF0BA1	Information not present<--Use of reference limits in the Feature Selective Validation (FSV) method
7CB9B11F	Journal of Dairy Science<--Proteolysis During Ensilage of Forages Varying in Soluble Sugar Content
752DC089	IEEE Journal of Quantum Electronics<--A dual wavelength optical distance measuring instrument which measures air density
595741C3	International Conference on Acoustics, Speech, and Signal Processing<--Frequency hopping waveforms for continuous active sonar
7FA45444	Computer Systems: Science & Engineering<--Design of Halftone-Based AR Markers under Infrared Detection
7D28A179	Optical Engineering<--Phase noise reduction of a semiconductor laser in a composite optical phase-locked loop
774817FD	IEEE Transactions on Instrumentation and Measurement<--Group Delay Measurements at Audio Frequencies
77ACB101	International Conference on Communications<--Exploration of a distributed approach for simulating spectrum sensing in cognitive radio
5890B42B	Information not present<--EL CARTEL POLACO
5F266EC0	Information not present<--Compressive orthogonal frequency division multiplexing waveform based ground penetrating radar
7685DA7F	IEEE Transactions on Antennas and Propagation<--Backscattering measurements by an FM radar method
2FD9C602	Information not present<--Fine structure of the lower atmosphere as seen by high resolution radar
7F74FF0C	Information not present<--Interference cancellation in receivers with interference frequency estimation
81367516	Information not present<--The application of Aspectual Feature Module in hardware description language - A perspective
7CE95C48	Information not present<--Sea Ice Radar Backscatter Modeling, Measurements, and the Fusion of Active and Passive Microwave Data.
59B9D912	International Conference on Acoustics, Speech, and Signal Processing<--Prof-Life-Log: Analysis and classification of activities in daily audio streams
7E79AB5B	IEEE Engineering in Medicine and Biology Magazine<--Overview of Biomedical Telemetry Techniques
71EEF6CF	Information not present<--Theory of regenerative frequency dividers using double-balanced mixers
58AFB110	IEEE Transactions on Aerospace and Electronic Systems<--Polarimetric passive coherent location
80AF1392	IEEE Transactions on Communications<--Phase-Ambiguity Resolution in a Four-Phase PSK Communications System
8002E66D	Information not present<--A 4.6mW 6.25–8.25 GHz RF transmitter IC for FM-UWB applications
81206E51	IEEE Transactions on Automatic Control<--A nonlinear discrete system equivalence of integral pulse frequency modulation systems
808C2C8E	Information not present<--Evaluation of breast cancer risk by using formal reasoning algorithm
7DE1934F	Information not present<--Mode energy transfer in intracavity-frequency-doubled solid-state lasers
7DDB0B99	IEEE Journal of Solid-state Circuits<--A 3.5 GHz Spread-Spectrum Clock Generator With a Memoryless Newton-Raphson Modulation Profile
5A2A7A09	Information not present<--Exploiting new horizons of the synergistic radar concept for new outdoor perimeter sensor applications
6985CC4B	International Conference of the IEEE Engineering in Medicine and Biology Society<--Sensor signal telemetry for functional electrical stimulation
81ACBE4C	Information not present<--A frequency locked grid-controlled magnetron for amplitude and frequency modulation
85933BA5	Information not present<--International Investment Agreements and Their Impact on Foreign Direct Investment: Evidence from Four Emerging Central European Countries
7680D210	Information not present<--Reduction of the acoustic noise in PMSM drives by the periodic frequency modulation
7D6D2AD0	Epilepsy & Behavior<--Evolution of localization in frequency for modulated light pulses in a recirculating fiber loop
